"Affiliate Banners","Geaffilieerde baniere"
"Fixed amount","Vaste bedrag"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas die reël slegs toe as aan die volgende voorwaardes voldoen word (laat blankes vir alle produkte)"
"Condition","toestand"
"Conditions","voorwaardes"
"Discounts","afslag"
"Discount","afslag"
"Apply","aansoek doen"
"Discount Amount","Korting Bedrag"
"Apply to Shipping Amount","Dien toe op Posgeld"
"Discount Description","Korting Beskrywing"
"Save Group","Stoor Groep"
"New Group","Nuwe Groep"
"Group Information","Groep Inligting"
"Group","groep"
"label","etiket"
"Reset banner traffic","Stel bannerverkeer terug"
"Save Transaction","Stoor transaksie"
"New Transaction","Nuwe transaksie"
"Please select an affiliate account","Kies asseblief 'n geaffilieerde rekening"
"Transaction Information","Transaksie-inligting"
"Amount","bedrag"
"Add or subtract affiliate's balance. E.g: 99 or -99","Voeg of trek die geaffilieerde se saldo by. Bv .: 99 of -99"
"Holding Transaction For","Hou transaksie vir"
"Transaction","transaksie"
"Are you sure you want to cancel this transaction?","Is jy seker jy wil hierdie transaksie kanselleer?"
"Are you sure you want to complete this transaction?","Is jy seker jy wil hierdie transaksie voltooi?"
"Complete","volledige"
"View Transaction '%1'","Bekyk transaksie '%1'"
"Affiliate Account","Geaffilieerde rekening"
"Type","tipe"
"Order","Orde"
"Created by","Gemaak deur"
"This transaction will be holed to","Hierdie transaksie sal geheg word aan"
"Created Time","Gemaakte tyd"
"Save and Approve","Stoor en keur"
"Save","Save"
"New Withdraw","Nuwe Onttrek"
"Withdraw Information","Onttrek inligting"
"Include fee.","Sluit fooi in."
"Fee","fooi"
"If empty, configuration value will be used.","As leeg, sal die konfigurasie waarde gebruik word."
"Payment Method","Betalings metode"
"Payment Detail","Betaalbesonderhede"
"Withdraw","onttrek"
"Edit Withdraw '%1'","Redigeer onttrek '%1'"
"Transfer Amount","Oordragbedrag"
"Real amount will be transfer to affiliate.","Reële bedrag sal oordrag na geaffilieer word."
"Affiliate Discount","Geaffilieerde korting"
"Please input your friends email address.","Voer asseblief jou vriende se e-pos adres in."
"Saved successfully!","Suksesvol gestoor!"
"Something went wrong while saving the Account.","Iets het verkeerd gegaan terwyl die rekening gestoor is."
"Your account is not active. Please contact us.","Jou rekening is nie aktief nie. Kontak ons ​​asseblief."
"You have to agree with term and conditions.","U moet met terme en voorwaardes saamstem."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Veels geluk! U het suksesvol geregistreer. Ons sal u geaffilieerde rekening hersien en u in kennis stel sodra dit goedgekeur is!"
"Congratulations! You have successfully registered.","Veels geluk! U het suksesvol geregistreer."
"The withdraw has been canceled successfully.","Die onttrekking is suksesvol gekanselleer."
"Something went wrong while saving the request.","Iets het verkeerd gegaan terwyl die versoek gestoor is."
"Cannot find item.","Kan nie item vind nie."
"An error occur. Please contact us.","'N Fout kom voor. Kontak ons ​​asseblief."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Jou versoek is suksesvol gestuur. Ons sal jou versoek hersien en jou in kennis stel sodra dit goedgekeur is!"
"Your balance is not enough for request withdraw.","Jou balans is nie genoeg vir versoeke om terug te trek nie."
"The withdraw amount have to equal or greater than %1","Die onttrekkingsbedrag moet gelyk of groter wees as %1"
"The withdraw amount have to equal or less than %1","Die onttrekkingsbedrag moet gelyk wees aan of minder as %1"
"This account no longer exists.","Hierdie rekening bestaan ​​nie meer nie."
"The Account has been deleted.","Die rekening is verwyder."
"Account to delete was not found.","Rekening om te verwyder is nie gevind nie."
"Accounts","rekeninge"
"Edit Account ""%1""","Wysig rekening ""%1"""
"A total of %1 record(s) have been deleted.","'N Totaal van %1 rekord (s) is uitgevee."
"The customer ""%1"" has registed as an affiliate already.","Die kliënt ""%1"" het reeds geregistreer as 'n geaffilieerde."
"Cannot find account referred.","Kan nie rekening verwys nie."
"The Account has been created successfully.","Die rekening is suksesvol geskep."
"The Account has been saved successfully.","Die rekening is suksesvol gestoor."
"The Banner has been deleted.","Die banier is verwyder."
"Something went wrong while deleting banner data. Please review the action log and try again.","Iets het fout gegaan terwyl banner data verwyder is. Gaan asseblief die aksie-logboek na en probeer weer."
"We cannot find a banner to delete.","Ons kan nie 'n banier kry om te verwyder nie."
"This banner no longer exists.","Hierdie banner bestaan ​​nie meer nie."
"Banners","baniere"
"Edit Banner","Edit Banner"
"This banner does not exist.","Hierdie banner bestaan ​​nie."
"You saved the banner.","Jy het die banier gestoor."
"We cannot save the banner.","Ons kan nie die vaandel stoor nie."
"This campaign no longer exists.","Hierdie veldtog bestaan ​​nie meer nie."
"The Campaign has been deleted.","Die veldtog is verwyder."
"Campaign to delete was not found.","Veldtog om te verwyder, is nie gevind nie."
"Campaigns","veldtogte"
"Please correct the data sent.","Korrigeer asseblief die gegewe data."
"Something went wrong while saving the Campaign.","Iets het verkeerd gegaan terwyl die veldtog gestoor is."
"The Campaign has been saved successfully.","Die veldtog is suksesvol gestoor."
"Tier","Tier"
"Groups","groepe"
"Something went wrong while saving the Group.","Iets het verkeerd geloop terwyl die groep gestoor is."
"Cannot remove this group","Kan hierdie groep nie verwyder nie"
"The Group has been created successfully.","Die Groep is suksesvol geskep."
"The Transaction has been canceled.","Die transaksie is gekanselleer."
"The Transaction has been completed.","Die transaksie is voltooi."
"Transactions","transaksies"
"View Transaction ""%1""","Bekyk transaksie ""%1"""
"This Transaction no longer exists.","Hierdie transaksie bestaan ​​nie meer nie."
"A total of %1 record(s) have been canceled.","'N Totaal van %1 rekord (s) is gekanselleer."
"A total of %1 record(s) have been completed.","Altesaam %1 rekords is voltooi."
"Account balance is not enough to create this transaction.","Rekeningbalans is nie genoeg om hierdie transaksie te skep nie."
"The Transaction has been created.","Die transaksie is geskep."
"Something went wrong while saving the Transaction.","Iets het verkeerd gegaan terwyl die transaksie gestoor is."
"This withdrawal no longer exists.","Hierdie onttrekking bestaan ​​nie meer nie."
"Withdraws","onttrek"
"Edit Withdraw ""%1""","Redigeer onttrek ""%1"""
"Edit Withdraw ""#%1""","Redigeer onttrek ""# %1"""
"A total of %1 record(s) have been approved successfully.","'N Totaal van %1 rekord (s) is suksesvol goedgekeur."
"A total of %1 record(s) have been cancelled.","'N Totaal van %1 rekord (s) is gekanselleer."
"The Withdraw has been saved.","Die Onttrekking is gestoor."
"Something went wrong while saving the Withdraw.","Iets het verkeerd geloop terwyl die Onttrekking gestoor is."
"My Affiliate","My Geaffilieerde"
"My Credit (%1)","My Krediet (%1)"
"Active","aktiewe"
"Inactive","onaktiewe"
"Need Approved","Behoefte Goedgekeur"
"Enabled","enabled"
"Disabled","gestremde"
"Percent of cart total","Persentasie karre totaal"
"Fixed amount discount for whole cart","Vaste bedrag afslag vir hele kar"
"Allow Guest","Laat gas toe"
"Affiliate Member Only","Slegs geaffilieerde lid"
"-- Please Select --","-- Kies asseblief --"
"Category page","Kategorie bladsy"
"Product page","Produkbladsy"
"Footer Link","Footer Link"
"Top Link","Top Link"
"Affiliate ID","Geaffilieerde ID"
"Affiliate Code","Geaffilieerde Kode"
"Hash","hash"
"Parameter","parameter"
"Address","adres"
"Paypal Email","Paypal Email"
"Transaction Id","Transaksie ID"
"Affiliate Campaign","Geaffilieerde veldtog"
"Campaign %1","Veldtog %1"
"Affiliate account must be existed.","Geaffilieerde rekening moet bestaan."
"Transaction amount cannot be zero.","Transaksie bedrag kan nie nul wees nie."
"Account balance has been reached the limit. Please contact to store owner.","Rekeningbalans is die limiet bereik. Kontak asseblief die eienaar van die winkel."
"Invalid transaction data for canceling.","Ongeldige transaksiedata vir kansellasie."
"Account balance is not enough for canceling.","Rekeningbalans is nie genoeg vir kansellasie nie."
"Invalid transaction data to complete.","Ongeldige transaksie data om te voltooi."
"Maximum amount allowed in account balance is %1.","Maksimum bedrag toegelaat in rekeningbalans is %1."
"Action model is invalid for %1","Aksiemodel is ongeldig vir %1"
"Changed by Admin","Verander deur Admin"
"Get commission for order %1","Kry kommissie vir bestelling %1"
"Taken back commission for refunding order %1","Terugbesorg kommissie vir terugbetaling van bestelling %1"
"Subtract balance for withdraw request","Trek balans af om versoek terug te trek"
"On Hold","On Hold"
"Completed","voltooi"
"Cancelled","gekanselleer"
"Commission","kommissie"
"Paid","betaal"
"Admin","admin"
"The amount request is not enough to pay for fee.","Die bedrag versoek is nie genoeg om te betaal nie."
"Cannot create transaction for this withdraw.","Kan nie transaksie skep vir hierdie onttrekking nie."
"Invalid withdraw data for canceling.","Ongeldige onttrek data vir kansellasie."
"Invalid withdraw data for approved.","Ongeldige onttrek data vir goedgekeurde."
"Pending","hangende"
"The Account has been saved.","Die rekening is gestoor."
"Affiliate Welcome homepage content","Affiliate Welkom tuisblad inhoud"
"Affiliate referfriend description","Geaffilieerde verwysingsvriendelike beskrywing"
"Affiliate terms & conditions","Geaffilieerde terme en voorwaardes"
"Delete ""%1""","Vee ""%1"" uit"
"Are you sure?","Is jy seker?"
"Type (1st Order)","Tipe (1ste bestelling)"
"Value (1st Order)","Waarde (1e bestelling)"
"Type (Next orders)","Tik (Volgende bestellings)"
"Value (Next orders)","Waarde (Volgende bestellings)"
"Action","aksie"
"Add","Voeg"
"Delete","verwyder"
"No","Geen"
"Yes","Ja"
"Link","skakel"
"Preview","voorskou"
"Copy and past this source code into your website or forum.","Kopieer en verby hierdie bronkode na u webwerf of forum."
"No banner available","Geen banier beskikbaar nie"
"Credit Information","Kredietinligting"
"Created Date","Geskep Datum"
"No transaction found!","Geen transaksie gevind nie!"
"Referral Url and Code","Verwysings-url en kode"
"Refer Url","Verwys na Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Verwysings wat toegang tot hierdie URL is, word verwys as verwysings wanneer hulle inteken of 'n bestelling plaas."
"Refer Code","Verwys kode"
"Referrals should enter the code in Coupon form at shopping cart page.","Verwysings moet die kode in koepon vorm by die inkopies bladsy inskryf."
"Refer Email","Verwys e-pos"
"Referrals can enter your e-mail address when signing up affiliate account.","Verwysings kan jou e-posadres inskryf wanneer jy aangesloten rekening aanmeld."
"Referral Via Social Networks","Verwysing via sosiale netwerke"
"Send Invitation","Stuur uitnodiging"
"Enter your friends' emails separated by comma","Tik jou vriende se e-posse geskei met komma"
"Add from Address Book","Voeg by Adresboek"
"Subject","Onderwerp"
"Your message","Jou boodskap"
"Short Message","Kort boodskap"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} sal vervang word deur jou vriend se naam op grond van 'n e-pos rekening. Jy moet dit nie wysig voordat jy weet wat jy doen nie."
"Send","stuur"
"Affiliate Subscriptions","Geaffilieerde intekeninge"
"Receive affiliate email.","Ontvang geaffilieerde e-pos."
"Affiliate Information","Geaffilieerde Inligting"
"Customer email or Affiliate code","Kliënt e-pos of geaffilieerde kode"
"Create an Account","Maak 'n rekening oop"
"Request Withdraw","Versoek Onttrek"
"Request Amount","Versoek bedrag"
"Select Payment Method","Kies Betaalmetode"
"Withdraw Policy","Onttrek beleid"
"Send Request","Stuur versoek"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Paypal Email Address"
"Withdraw History","Onttrek Geskiedenis"
"Requested Date","Gevraagde Datum"
"Withdraw Method","Onttrek metode"
"View","Beskou"
"Are you sure you want to cancel this withdraw?","Is jy seker jy wil hierdie terugtrekking kanselleer?"
"No withdraw found!","Geen onttrekking gevind nie!"
"Requested Amount","Gevraagde Bedrag"
"Net. Amount","Net. bedrag"
"Resolve Date","Los datum op"
"Back","terug"
"%1 for first order.","%1 vir eerste bestelling."
"%1 of Order Total for first order.","%1 van Bestel Totaal vir eerste bestelling."
"%1 of Order Profit for first order.","%1 van Bestellingswins vir eerste bestelling."
"%1 for next orders.","%1 vir volgende bestellings."
"%1 of Order Total for next orders.","%1 van Order Totaal vir volgende bestellings."
"%1 of Order Profit for next orders.","%1 van Bestellingswins vir volgende bestellings."
"Discount policy","Afslagbeleid"
"Valid Date","Geldige datum"
"Always","altyd"
"from","van"
"to","om"
"Affiliate account approved","Geaffilieerde rekening goedgekeur"
"%name,","%name,"
"Welcome to our Affiliate program.","Welkom by ons affiliate program."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Jou geaffilieerde rekening is goedgekeur en laat begin met die uitstaande funksies van die geaffilieerde program."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Geaffilieer is die perfekte en interessante Magento-uitbreiding en blyk die besigheidsmodel te wees, waar jy die rol as medewerkers het. U kan ander kliënte aan die verkoper se produkte aanbeveel, en maak dan self 'n groot inkopiesentrum. Dit verdien metodes op die internet, hoewel jy geen produk of privaat webwerf benodig nie."
"Specially, you will receive the typical and wonderful benefits following as:","Spesiaal, jy sal die tipiese en wonderlike voordele ontvang soos volg:"
"Earning commission","Opbrengs kommissie"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Om te affiliate, eenvoudig, sal jy enige produk van die verkoper se webwerf kies, en saad skakel van die produk aan mense wat dit nodig het. As die aanbieder die item koop, kry jy persentasie per bestelling."
"Using available template","Gebruik beskikbare sjabloon"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Daarbenewens word u templates soos e-pos, banier, nuusbriewe, ens. By die verkoper se webwerf voorsien. U sal uitnodigings aan u teiken kliënte stuur deur hierdie templates, waardeur u die netwerk maklik en perfek kan bou."
"Tracking history activities","Opspoorgeskiedenisaktiwiteite"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Geaffilieerde ondersteun jou om die proses van die stuur van uitnodiging, ontvanger se naam, hul wins, ens. Te bestuur. Daarom kan u u werk gedetailleerd self volg."
"Giving cash when achieving the target","Om kontant te gee wanneer die teiken bereik word"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Geaffilieerde gee interessante kanse om geld te verdien, terwyl jy geen produkte of dienste benodig nie. Jy adverteer slegs die produk van die verkoper se webwerf deur beskikbare advertensiemetodes. Tot hul inkomste verdien hulle die aangebied tariewe, sal hulle geld uit hul rekeninge onttrek."
"Thank you again, %store_name","Dankie weer, %store_name"
"Welcome to our affiliate program","Welkom by ons geaffilieerde program"
"When using our affiliate program, you can use basics features in the following:","Wanneer u ons geaffilieerde program gebruik, kan u basiese kenmerke in die volgende gebruik:"
"Let come to Affiliate program to experience attractive opportunities!","Kom na Affiliate program om aantreklike geleenthede te ervaar!"
"Your balance has been updated!","Jou balans is opgedateer!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Ons het die balans vir u opgedateer sodat u relevante inligting van u kommissie of betaal kan hê. Met hierdie e-pos kan u u aktiwiteite aktief beheer."
"The transaction detail","Die transaksiebesonderhede"
"Transaction title: %title","Transaksietitel: %title"
"Transaction amount: %amount","Transaksie bedrag: %amount"
"Transaction status: %status","Transaksie status: %status"
"Current balance: %balance","Huidige saldo: %balance"
"Withdraw request complete!","Onttrek versoek volledig!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Ons wil u graag meedeel dat u versoek om onttrekking, wat op% request_at geskep is, voltooi is. U sal na sommige dae geld ontvang, afhangende van die betaalmetode wat u kies."
"The withdraw detail","Die onttrek besonderhede"
"Withdraw Id: %withdraw_id","Onttrek Id:% withdraw_id"
"Transfer Amount: %amount","Oordragbedrag: %amount"
"Request Amount: %amount","Versoek bedrag: %amount"
"Tax/fee: %fee","Belasting / fooi: %fee"
"Payment Method: %payment","Betaalmetode: %pbetaling"
"You can check your withdraw by ","U kan u intrek nagaan deur"
"logging into your account","Log in by jou rekening"
"Affiliate","affiliate"
"General","algemene"
"Enable","in staat te stel"
"Cookie Expiration","Koekie Vervaldatum"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","dag (s). Die aantal dae vir admin om koekies van hierdie program te stoor. Verstek: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">leer meer</a>"
"Allow overriding cookies","Laat oorheersende koekies toe"
"Allow overriding exist affiliate cookie.","Laat oorheersende bestaan ​​geaffilieerde koekies toe."
"Show Affiliate link on","Wys Geaffilieerde skakel op"
"Default page","Standaard bladsy"
"Affiliate homepage content","Geaffilieerde tuisblad inhoud"
"Select CMS Static Block.","Kies CMS Statiese Blok."
"Display Policy Page","Wys beleidsbladsy"
"Select CMS Page for Policy Page","Kies CMS-bladsy vir beleid bladsy"
"Select CMS page","Kies CMS-bladsy"
"Affiliate URL","Geaffilieerde URL"
"URL Style","URL-styl"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Bv .: <br />Parameter: http://voorbeeld.nl/?<strong>c=123</strong><br />Hash: http: //example.com<strong> #c123</strong>"
"Custom parameter","Aangepaste parameter"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Dit sal in URL gebruik word soos :? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Parameter waarde"
"The length of Affiliate code","Die lengte van geaffilieerde kode"
"It should be greater than 3, and smaller than 32. Default is 6.","Dit moet groter as 3 wees, en kleiner as 32. Standaard is 6."
"Account Configuration","Rekeningkonfigurasie"
"Affiliate Sign up","Geaffilieerde aanmelding"
"Default Affiliate Group","Verstek geaffilieerde groep"
"Require admin's approval","Vereis administrasie se goedkeuring"
"Checked ""Email notification"" by default","Gekontroleer ""E-pos kennisgewing"" by verstek"
"Term and condition","Termyn en voorwaarde"
"Enable Terms and Conditions","Aktiveer Terme en Voorwaardes"
"Checkbox Text","Boks teks"
"Terms and Conditions Title","Terme en voorwaardes Titel"
"Terms and Conditions Content","Terme en voorwaardes Inhoud"
"Select CMS Block.","Kies CMS Blok."
"Checkbox is checked by default","Die boks is standaard verifieer"
"Account Balance","Rekening balans"
"Maximum of Affiliate Balance","Maksimum Geaffilieerde Saldo"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Die maksimum saldo van Geaffilieerde. Die geaffilieerde kan nie kommissie kry as balans gelyk is aan hierdie waarde nie. Leë of Nul is geen beperking nie."
"Allow negative balance","Laat negatiewe balans toe"
"Commission Configuration","Kommissie Konfigurasie"
"Earn commission from tax","Verdien kommissie van belasting"
"Earn commission from shipping fee","Betaal kommissie vanaf gestuurgeld"
"Commission calculation process","Kommissie se berekeningsproses"
"Allow Affiliate receiving commission when Invoice created","Laat Affiliate ontvang kommissie wanneer Invoice geskep word"
"Hold commission transactions for","Hou kommissie transaksies vir"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Aftrek kommissie van Geaffilieerde se balans wanneer bestelling terugbetaal / gekanselleer word"
"Withdraw Configuration","Onttrek Konfigurasie"
"Allow withdraw request","Laat toe om versoek terug te trek"
"Payment Methods","Betalingsmetodes"
"The minimum balance in affiliate account for requesting withdraw","Die minimum balans in geaffilieerde rekening vir versoek om onttrek"
"Minimum withdraw amount","Minimum onttrek bedrag"
"Include Fee","Sluit fooi in"
"Maximum withdraw amount","Maksimum onttrek bedrag"
"Email Configuration","E-pos Konfigurasie"
"Email Sender","E-pos sender"
"Account Email","Rekening E-pos"
"Send Welcome Email","Stuur welkom e-pos"
"Welcome Email","Welkom E-pos"
"Welcome Email After Account Approved","Welkom Email Na Rekening Goedgekeur"
"This email will be sent instead of welcome email, after approving account.","Hierdie e-pos sal gestuur word in plaas van welkom-e-pos, nadat u rekening goedgekeur het."
"Transaction Email","Transaksie-e-pos"
"Send Transaction Email","Stuur transaksie-e-pos"
"Update Balance Email","Update balans e-pos"
"Withdraw Email","E-pos onttrek"
"Send Withdraw Email","Stuur Onttrek E-pos"
"Withdraw Complete Email","Onttrek volledige e-pos"
"Refer Friends Configuration","Verwys na Vriende-konfigurasie"
"Enable Refer Friends Feature","Aktiveer Verwys Vriende-funksie"
"Refer Sharing Email","Verwys deel e-pos"
"Default Refer Url","Verstek verwys url"
"Select block to show referfriend description","Kies blok om verwysingsvriend beskrywing te wys"
"Refer friend homepage content","Verwys na die inhoud van die vriendin se tuisblad"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Gebruik Cloudsponge om e-poskontrakte op te haal"
"Cloudsponge Key","Wolksponge Sleutel"
"Sending Email Content","Stuur e-pos inhoud"
"Default Email Subject","Verstek Email Vak"
"Default Email Body","Default Email Body"
"Default Message Shared via Social","Verstek boodskap gedeel via sosiale"
"ID","ID"
"Email","e-pos"
"Phone","Foon"
"ZIP/Post Code","Poskode / Poskode"
"Country","land"
"State/Province","Staat provinsie"
"Signed-up Point","Getekende punt"
"Website","webwerf"
"Created At","Created at"
"Add New Account","Voeg nuwe rekening by"
"Delete Accounts","Rekeninge verwyder"
"Are you sure you want to delete selected Accounts?","Is jy seker jy wil geselekteerde rekeninge uitvee?"
"Total Commission","Totale Kommissie"
"Add New Banner","Voeg nuwe banier by"
"Delete Banners","Vee baniere uit"
"Are you sure you want to delete selected banners?","Is jy seker jy wil geselekteerde baniere uitvee?"
"URL","URL"
"Campaign","veldtog"
"Created","Geskep"
"Add New Campaign","Voeg nuwe veldtog by"
"Delete Campaigns","Vee veldtogte uit"
"Are you sure you wan't to delete selected Campaigns?","Is jy seker jy wil geselekteerde veldtogte uitvee?"
"Add New Group","Voeg nuwe groep by"
"Delete Groups","Groepe verwyder"
"Are you sure you want to delete selected groups?","Is jy seker jy wil geselekteerde groepe uitvee?"
"Add New Transaction","Voeg nuwe transaksie by"
"Complete Transactions","Voltooi transaksies"
"Are you sure you want to complete selected transactions?","Is jy seker jy wil geselekteerde transaksies voltooi?"
"Cancel Transactions","Kanselleer transaksies"
"Are you sure you want to cancel selected Transactions?","Is jy seker jy wil geselekteerde transaksies kanselleer?"
"Action Type","Aksie Tipe"
"Amount Used","Bedrag gebruik"
"Amount Hold","Bedrag Hou"
"Current Balance","Huidige saldo"
"Store","Store"
"Holding Date","Hou datum"
"Add New Withdraw","Voeg nuwe onttrekking by"
"Approve","goed te keur"
"Approve Withdraws","Goedkeur Onttrekkings"
"Are you sure you want to approve selected Withdraws?","Is jy seker jy wil geselekteerde Withdraws goedkeur?"
"Cancel Withdraws","Kanselleer Onttrekkings"
"Are you sure you want to cancel selected Withdraws?","Is jy seker jy wil geselekteerde Withdraws kanselleer?"
"Transaction ID","Transaksie ID"
"Transferred","oorgedra"
"Account Dashboard","Rekeningdashboard"
"Home","huis"
"Signup","Teken aan"
"Refer Friend","Verwys vriend"
"Setting","omgewing"
