"Affiliate Banners","会员横幅"
"Something went wrong while saving the Transaction.","保存交易时发生错误。"
"This withdrawal no longer exists.","此撤回不再存在。"
"Withdraws","撤销"
"Edit Withdraw ""%1""","编辑提款“%1”"
"Edit Withdraw ""#%1""","编辑提款“＃%1”"
"A total of %1 record(s) have been approved successfully.","共有%1条记录已成功通过。"
"A total of %1 record(s) have been cancelled.","共有%1条记录已被取消。"
"The Withdraw has been saved.","提款已被保存。"
"Something went wrong while saving the Withdraw.","保存提款时出现问题。"
"My Affiliate","我的会员"
"My Credit (%1)","我的信用（%1）"
"Active","活性"
"Inactive","待用"
"Need Approved","需要批准"
"Enabled","启用"
"Disabled","残"
"Percent of cart total","车总数百分比"
"Fixed amount discount for whole cart","整车固定金额折扣"
"Allow Guest","允许访客"
"Affiliate Member Only","仅限会员会员"
"-- Please Select --","-  请选择  -"
"Category page","类别页面"
"Product page","产品页面"
"Footer Link","页脚链接"
"Top Link","热门链接"
"Affiliate ID","会员ID"
"Affiliate Code","会员代码"
"Hash","哈希"
"Parameter","参数"
"Address","地址"
"Paypal Email","贝宝电子邮件"
"Transaction Id","交易编号"
"Affiliate Campaign","联盟营销活动"
"Campaign %1","广告系列%1"
"Affiliate account must be existed.","会员帐户必须存在。"
"Transaction amount cannot be zero.","交易金额不能为零。"
"Account balance has been reached the limit. Please contact to store owner.","账户余额已达到上限。请联系店主。"
"Invalid transaction data for canceling.","交易数据无效取消。"
"Account balance is not enough for canceling.","帐户余额不足以取消。"
"Invalid transaction data to complete.","交易数据无效完成。"
"Maximum amount allowed in account balance is %1.","帐户余额中允许的最高金额为%1。"
"Action model is invalid for %1","%1的操作模式无效"
"Changed by Admin","由管理员更改"
"Get commission for order %1","获得佣金%1"
"Taken back commission for refunding order %1","取回退还佣金%1"
"Subtract balance for withdraw request","减去提款请求的余额"
"On Hold","等候接听"
"Completed","已完成"
"Cancelled","取消"
"Commission","佣金"
"Paid","付费"
"Admin","管理员"
"The amount request is not enough to pay for fee.","金额要求不足以支付费用。"
"Cannot create transaction for this withdraw.","无法为此撤回创建事务。"
"Invalid withdraw data for canceling.","退款资料无效取消。"
"Invalid withdraw data for approved.","无效的提取数据被批准。"
"Pending","有待"
"The Account has been saved.","帐户已保存。"
"Affiliate Welcome homepage content","会员欢迎主页内容"
"Affiliate referfriend description","联盟参与者介绍"
"Affiliate terms & conditions","会员条款和条件"
"Delete ""%1""","删除“%1”"
"Are you sure?","你确定？"
"Type (1st Order)","类型（一级）"
"Value (1st Order)","价值（一等）"
"Type (Next orders)","类型（下单）"
"Value (Next orders)","价值（下单）"
"Action","行动"
"Add","加"
"Delete","删除"
"No","没有"
"Yes","是"
"Link","链接"
"Preview","预习"
"Copy and past this source code into your website or forum.","将此源代码复制并通过您的网站或论坛。"
"No banner available","没有横幅可用"
"Credit Information","信用信息"
"Created Date","创建日期"
"No transaction found!","没有发现交易！"
"Referral Url and Code","推荐网址和代码"
"Refer Url","参考网址"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","访问此URL的引用在注册或下订单时将作为引用连接。"
"Refer Code","参考代码"
"Referrals should enter the code in Coupon form at shopping cart page.","推荐人应在购物车页面输入优惠券表格中的代码。"
"Refer Email","参考电子邮件"
"Referrals can enter your e-mail address when signing up affiliate account.","推荐人可以在注册会员帐户时输入您的电子邮件地址。"
"Referral Via Social Networks","通过社交网络转介"
"Send Invitation","发送邀请"
"Enter your friends' emails separated by comma","输入您的朋友的电子邮件，用逗号分隔"
"Add from Address Book","从地址簿添加"
"Subject","学科"
"Your message","你的信息"
"Short Message","短消息"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}}将由您的朋友姓名替换为基于电子邮件帐户。你不应该编辑它，直到你知道你在做什么。"
"Send","发送"
"Affiliate Subscriptions","会员订阅"
"Receive affiliate email.","接收会员电子邮件。"
"Affiliate Information","会员信息"
"Customer email or Affiliate code","客户电子邮件或会员代码"
"Create an Account","创建一个帐户"
"Request Withdraw","请求撤回"
"Request Amount","请求金额"
"Select Payment Method","选择付款方式"
"Withdraw Policy","提款政策"
"Send Request","发送请求"
"Paypal Email Associate","Paypal电子邮件助理"
"Paypal Email Address","Paypal电子邮件地址"
"Withdraw History","提款历史"
"Requested Date","申请日期"
"Withdraw Method","提款方式"
"View","视图"
"Are you sure you want to cancel this withdraw?","你确定要取消这个撤回吗？"
"No withdraw found!","没有撤回发现！"
"Requested Amount","要求金额"
"Net. Amount","净。量"
"Resolve Date","解决日期"
"Back","背部"
"%1 for first order.","%1用于第一个订单。"
"%1 of Order Total for first order.","第一批订单总额为%1。"
"%1 of Order Profit for first order.","订单利润的%1。"
"%1 for next orders.","%1用于下一个订单。"
"%1 of Order Total for next orders.","下一个订单的订单总额为%1。"
"%1 of Order Profit for next orders.","下一订单的订单利润为%1。"
"Discount policy","折扣政策"
"Valid Date","有效日期"
"Always","总是"
"from","从"
"to","至"
"Affiliate account approved","会员帐户已批准"
"%name,","%name，"
"Welcome to our Affiliate program.","欢迎来到我们的联盟计划。"
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","您的会员帐户已获得批准，并开始与联盟计划的突出特点。"
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","会员是完美和有趣的Magento扩展，似乎是商业模式，您可以在其中担任合作者的角色。您可以向卖家的产品推荐其他客户，然后为自己做大购物。这是互联网上赚钱的方法，尽管您不需要任何产品或私人网站。"
"Specially, you will receive the typical and wonderful benefits following as:","特别地，您将获得以下典型和奇妙的好处："
"Earning commission","收入佣金"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","进入会员，只需从卖家网站选择任何产品，并将产品的种子链接到需要它的人员。如果现金购买该项目，您将获得每个订单的百分比。"
"Using available template","使用可用的模板"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","此外，您还提供了卖方网站的电子邮件，横幅，简报等模板。您将通过这些模板向您的目标客户发送邀请，这使您可以轻松，完美地构建网络。"
"Tracking history activities","跟踪历史活动"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","联盟支持您管理发送邀请，收件人姓名，利润等的过程。因此，您可以自己详细地跟踪您的工作。"
"Giving cash when achieving the target","实现目标时给予现金"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","会员提供有趣的赚钱机会，而您不需要任何产品或服务，您只能通过可用的广告方式宣传卖家网站的产品。直到他们的收入达到提供的利率，他们将从他们的帐户中提款。"
"Thank you again, %store_name","再次谢谢%store_name"
"Welcome to our affiliate program","欢迎来到我们的联盟计划"
"When using our affiliate program, you can use basics features in the following:","使用我们的联属网络营销计划时，您可以使用以下基本功能："
"Let come to Affiliate program to experience attractive opportunities!","来参加联盟计划，体验迷人的机会！"
"Your balance has been updated!","您的余额已更新！"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","我们已经更新了您的余额，以便您可以获得佣金或付款的相关信息。此电子邮件可帮助您积极控制您的活动。"
"The transaction detail","交易细节"
"Transaction title: %title","交易标题：%title"
"Transaction amount: %amount","交易金额：%amount"
"Transaction status: %status","交易状态：%status"
"Current balance: %balance","当前余额：%b对等"
"Withdraw request complete!","提款请求完成！"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","我们想通知您，您在％request_at上创建的撤回请求已经完成。有些时候你会收到钱，这取决于你选择的付款方式。"
"The withdraw detail","撤回细节"
"Withdraw Id: %withdraw_id","提款ID：％withdraw_id"
"Transfer Amount: %amount","转账金额：%a元"
"Request Amount: %amount","请求金额：%amount"
"Tax/fee: %fee","税/费：%fee"
"Payment Method: %payment","付款方式：%p付款"
"You can check your withdraw by ","你可以检查你的撤回"
"logging into your account","登录到您的帐户"
"Affiliate","加盟"
"General","一般"
"Enable","启用"
"Cookie Expiration","Cookie到期"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","天）。管理员存储此程序的Cookie的天数。默认值：365，<a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">更多</a>"
"Allow overriding cookies","允许覆盖Cookie"
"Allow overriding exist affiliate cookie.","允许覆盖存在的附属cookie。"
"Show Affiliate link on","显示会员链接"
"Default page","默认页面"
"Affiliate homepage content","会员主页内容"
"Select CMS Static Block.","选择CMS静态块。"
"Display Policy Page","显示政策页"
"Select CMS Page for Policy Page","选择策略页的CMS页面"
"Select CMS page","选择CMS页面"
"Affiliate URL","会员网址"
"URL Style","网址样式"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","例如：<br />参数：http://example.com/?<strong>c=123</strong><br />哈希：http：//example.com<strong>#c123</strong>"
"Custom parameter","自定义参数"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","这将在URL中使用，如：？<span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or＃<span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","参数值"
"The length of Affiliate code","会员代码的长度"
"It should be greater than 3, and smaller than 32. Default is 6.","应大于3，小于32.默认值为6。"
"Account Configuration","帐户配置"
"Affiliate Sign up","会员注册"
"Default Affiliate Group","默认会员组"
"Require admin's approval","需要管理员的批准"
"Checked ""Email notification"" by default","默认选中“电子邮件通知”"
"Term and condition","规则与条例"
"Enable Terms and Conditions","启用条款和条件"
"Checkbox Text","复选框文本"
"Terms and Conditions Title","条款和条件标题"
"Terms and Conditions Content","条款和条件内容"
"Select CMS Block.","选择CMS块。"
"Checkbox is checked by default","默认情况下选中复选框"
"Account Balance","账户余额"
"Maximum of Affiliate Balance","最大限度的联盟余额"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","会员的最大余额。如果余额等于该值，该会员无法获得佣金。空或零是没有限制的。"
"Allow negative balance","允许负余额"
"Commission Configuration","佣金配置"
"Earn commission from tax","从税收中获得佣金"
"Earn commission from shipping fee","从运费中赚取佣金"
"Commission calculation process","佣金计算过程"
"Allow Affiliate receiving commission when Invoice created","创建发票时允许会员收到佣金"
"Hold commission transactions for","持有佣金交易"
"Deduct commission from Affiliate's balance when order is refunded/canceled","订单退还/取消时，从会员的余额扣除佣金"
"Withdraw Configuration","取款配置"
"Allow withdraw request","允许提款请求"
"Payment Methods","支付方式"
"The minimum balance in affiliate account for requesting withdraw","要求退出的会员帐户的最低余额"
"Minimum withdraw amount","最小提款量"
"Include Fee","包括费用"
"Maximum withdraw amount","最大提款量"
"Email Configuration","电子邮件配置"
"Email Sender","电子邮件发件人"
"Account Email","帐户的电子邮件"
"Send Welcome Email","发送欢迎电邮"
"Welcome Email","欢迎电邮"
"Welcome Email After Account Approved","欢迎电子邮件帐户批准后"
"This email will be sent instead of welcome email, after approving account.","批准帐户后，将发送此电子邮件，而不是欢迎电邮。"
"Transaction Email","交易电子邮件"
"Send Transaction Email","发送交易电子邮件"
"Update Balance Email","更新余额电子邮件"
"Withdraw Email","提取电子邮件"
"Send Withdraw Email","发送提取电子邮件"
"Withdraw Complete Email","提取完整的电子邮件"
"Refer Friends Configuration","推荐朋友配置"
"Enable Refer Friends Feature","启用推荐朋友功能"
"Refer Sharing Email","参考分享电子邮件"
"Default Refer Url","默认参考网址"
"Select block to show referfriend description","选择阻止以显示参与者的描述"
"Refer friend homepage content","参考朋友主页内容"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","使用Cloudsponge检索电子邮件联系人"
"Cloudsponge Key","云密钥"
"Sending Email Content","发送电子邮件内容"
"Default Email Subject","默认电子邮件主题"
"Default Email Body","默认电子邮件正文"
"Default Message Shared via Social","通过社交分享的默认消息"
"ID","ID"
"Email","电子邮件"
"Phone","电话"
"ZIP/Post Code","邮政编码"
"Country","国家"
"State/Province","州/省"
"Signed-up Point","注册点"
"Website","网站"
"Created At","创建于"
"Add New Account","添加新帐号"
"Delete Accounts","删除帐户"
"Are you sure you want to delete selected Accounts?","您确定要删除所选帐户吗？"
"Total Commission","总委员会"
"Add New Banner","添加新横幅"
"Delete Banners","删除横幅"
"Are you sure you want to delete selected banners?","您确定要删除所选横幅吗？"
"URL","网址"
"Campaign","运动"
"Created","创建"
"Add New Campaign","添加新广告系列"
"Delete Campaigns","删除广告系列"
"Are you sure you wan't to delete selected Campaigns?","您确定不会删除所选的广告系列吗？"
"Add New Group","添加新组"
"Delete Groups","删除组"
"Are you sure you want to delete selected groups?","您确定要删除所选的组吗？"
"Add New Transaction","添加新交易"
"Complete Transactions","完成交易"
"Are you sure you want to complete selected transactions?","您确定要完成所选交易吗？"
"Cancel Transactions","取消交易"
"Are you sure you want to cancel selected Transactions?","您确定要取消所选交易吗？"
"Action Type","动作类型"
"Amount Used","使用量"
"Amount Hold","金额持有"
"Current Balance","当期余额"
"Store","商店"
"Holding Date","持有日期"
"Add New Withdraw","添加新提取"
"Approve","批准"
"Approve Withdraws","批准撤回"
"Are you sure you want to approve selected Withdraws?","您确定要批准所选的提款吗？"
"Cancel Withdraws","取消提款"
"Are you sure you want to cancel selected Withdraws?","您确定要取消所选的提款吗？"
"Transaction ID","交易ID"
"Transferred","转入"
"Account Dashboard","帐户信息中心"
"Home","家"
"Signup","注册"
"Refer Friend","推荐朋友"
"Setting","设置"
