"Affiliate Banners","Partnerské bannery"
"The Transaction has been canceled.","Transakce byla zrušena."
"The Transaction has been completed.","Transakce byla dokončena."
"Transactions","Transakce"
"View Transaction ""%1""","Zobrazit transakci ""%1"""
"This Transaction no longer exists.","Tato transakce již neexistuje."
"A total of %1 record(s) have been canceled.","Celkový počet záznamů %1 byl zrušen."
"A total of %1 record(s) have been completed.","Bylo dokončeno celkem záznamů %1."
"Account balance is not enough to create this transaction.","Zůstatek na účtu nestačí k vytvoření této transakce."
"The Transaction has been created.","Transakce byla vytvořena."
"Something went wrong while saving the Transaction.","Při zachování Transakce se něco pokazilo."
"This withdrawal no longer exists.","Toto stažení už neexistuje."
"Withdraws","Vystoupí"
"Edit Withdraw ""%1""","Upravit vzít ""%1"""
"Edit Withdraw ""#%1""","Úprava odebrána ""# %1"""
"A total of %1 record(s) have been approved successfully.","Celkem bylo úspěšně schváleno celkem %1 záznamů."
"A total of %1 record(s) have been cancelled.","Celkový počet záznamů %1 byl zrušen."
"The Withdraw has been saved.","Výstup byl uložen."
"Something went wrong while saving the Withdraw.","Něco se pokazilo při ukládání výběru."
"My Affiliate","Moje affiliate"
"My Credit (%1)","Můj kredit (%1)"
"Active","Aktivní"
"Inactive","Neaktivní"
"Need Approved","Potřebujete schválení"
"Enabled","Povoleno"
"Disabled","Zakázáno"
"Percent of cart total","Procento celkového košíku"
"Fixed amount discount for whole cart","Pevná sleva na celý vozík"
"Allow Guest","Povolit hosta"
"Affiliate Member Only","Pouze členem"
"-- Please Select --","-- Prosím vyberte --"
"Category page","Stránka kategorie"
"Product page","Stránka produktu"
"Footer Link","Zápatí odkazu"
"Top Link","Nejlepší odkaz"
"Affiliate ID","Affiliate ID"
"Affiliate Code","Partnerský kód"
"Hash","Hash"
"Parameter","Parametr"
"Address","Adresa"
"Paypal Email","Paypal Email"
"Transaction Id","ID transakce"
"Affiliate Campaign","Partnerská kampaň"
"Campaign %1","Kampaň %1"
"Affiliate account must be existed.","Affiliate účet musí existovat."
"Transaction amount cannot be zero.","Částka transakce nemůže být nula."
"Account balance has been reached the limit. Please contact to store owner.","Zůstatek účtu byl dosažen limit. Kontaktujte prosím majitele obchodu."
"Invalid transaction data for canceling.","Neplatná data transakce pro zrušení."
"Account balance is not enough for canceling.","Zůstatek na účtu nestačí k zrušení."
"Invalid transaction data to complete.","Neúplné údaje o transakcích dokončíte."
"Maximum amount allowed in account balance is %1.","Maximální povolená částka v zůstatku na účtu je %1."
"Action model is invalid for %1","Akční model je neplatný pro %1"
"Changed by Admin","Změnil Admin"
"Get commission for order %1","Získat objednávku na objednávku %1"
"Taken back commission for refunding order %1","Obdržel zpět provizi za vrácení objednávky %1"
"Subtract balance for withdraw request","Odpočítat zůstatek pro stažení žádosti"
"On Hold","Pozastaveno"
"Completed","Dokončeno"
"Cancelled","Zrušeno"
"Commission","Komise"
"Paid","Placené"
"Admin","Správce"
"The amount request is not enough to pay for fee.","Žádost o částku nestačí na zaplacení poplatku."
"Cannot create transaction for this withdraw.","Nelze vytvořit transakci pro toto stahování."
"Invalid withdraw data for canceling.","Neplatné stahování dat pro zrušení."
"Invalid withdraw data for approved.","Neplatné stahování dat pro schválené."
"Pending","čekající"
"The Account has been saved.","Účet byl uložen."
"Affiliate Welcome homepage content","Affiliate Vítejte homepage obsah"
"Affiliate referfriend description","Affiliate referfriend popis"
"Affiliate terms & conditions","Affiliate podmínky a podmínky"
"Delete ""%1""","Smazat ""%1"""
"Are you sure?","Jsi si jistá?"
"Type (1st Order)","Typ (1. objednávka)"
"Value (1st Order)","Hodnota (1. objednávka)"
"Type (Next orders)","Typ (Další objednávky)"
"Value (Next orders)","Hodnota (Další objednávky)"
"Action","Akce"
"Add","Přidat"
"Delete","Vymazat"
"No","Ne"
"Yes","Ano"
"Link","Odkaz"
"Preview","Náhled"
"Copy and past this source code into your website or forum.","Kopírujte a překonte tento zdrojový kód na své webové stránky nebo fórum."
"No banner available","Není k dispozici žádný banner"
"Credit Information","Úvěrové informace"
"Created Date","Datum vytvoření"
"No transaction found!","Nebyla nalezena žádná transakce!"
"Referral Url and Code","URL url a kód"
"Refer Url","Odkaz na adresu URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Příspěvky, které přistupují k této adrese URL, jsou připojeny jako doporučení po registraci nebo zadání objednávky."
"Refer Code","Viz kód"
"Referrals should enter the code in Coupon form at shopping cart page.","Doporučení by měla zadat kód do kuponového formuláře na stránce nákupního košíku."
"Refer Email","Odkaz na e-mail"
"Referrals can enter your e-mail address when signing up affiliate account.","Doporučení mohou zadat svou e-mailovou adresu při registraci affiliate účtu."
"Referral Via Social Networks","Sdělování prostřednictvím sociálních sítí"
"Send Invitation","Poslat pozvánku"
"Enter your friends' emails separated by comma","Zadejte e-maily vašich přátel oddělené čárkou"
"Add from Address Book","Přidat z adresáře"
"Subject","Předmět"
"Your message","Vaše zpráva"
"Short Message","Krátká zpráva"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} bude nahradit vaším přítelem jméno na základě e-mailového účtu. Neměli byste to upravovat, dokud nevíte, co děláte."
"Send","Poslat"
"Affiliate Subscriptions","Partnerské předplatné"
"Receive affiliate email.","Získejte affiliate e-mail."
"Affiliate Information","Informace o přidružené společnosti"
"Customer email or Affiliate code","E-mail zákazníka nebo kód přidružené společnosti"
"Create an Account","Vytvořit účet"
"Request Withdraw","Žádost o zrušení"
"Request Amount","Požadovaná částka"
"Select Payment Method","Vyberte způsob platby"
"Withdraw Policy","Zrušit zásady"
"Send Request","Poslat žádost"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","E-mailová adresa Paypal"
"Withdraw History","Stahujte historii"
"Requested Date","Požadovaný datum"
"Withdraw Method","Metoda stažení"
"View","Pohled"
"Are you sure you want to cancel this withdraw?","Opravdu chcete tuto zrušit zrušit?"
"No withdraw found!","Žádný výběr nebyl nalezen!"
"Requested Amount","Požadovaná částka"
"Net. Amount","Síť. Množství"
"Resolve Date","Vyřešit datum"
"Back","Zadní"
"%1 for first order.","%1 pro první objednávku."
"%1 of Order Total for first order.","%1 Objednávky Celkem za první objednávku."
"%1 of Order Profit for first order.","%1 z pořadí objednávky pro první objednávku."
"%1 for next orders.","%1 pro další objednávky."
"%1 of Order Total for next orders.","%1 Objednávky Celkem pro další objednávky."
"%1 of Order Profit for next orders.","%1 z pořadí objednávek pro další objednávky."
"Discount policy","Zásady slev"
"Valid Date","Platné datum"
"Always","Vždy"
"from","z"
"to","na"
"Affiliate account approved","Affiliate účet byl schválen"
"%name,","%name,"
"Welcome to our Affiliate program.","Vítejte v našem affiliate programu."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Váš partnerský účet je schválen a začněte s vynikajícími funkcemi Affiliate programu."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Affiliate je perfektní a zajímavé rozšíření Magento a zdá se být obchodním modelem, kde máte roli spolupracovníků. Můžete doporučit jiným zákazníkům prodávající produkty, a pak udělat pro sebe velkou nákupní veřejnost. Jedná se o získávání metod na internetu, i když nepotřebujete žádný produkt nebo soukromé webové stránky."
"Specially, you will receive the typical and wonderful benefits following as:","Zvláště obdržíte typické a úžasné výhody jako:"
"Earning commission","Výdělečná provize"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Přicházíte-li do affiliate, jednoduše si vyberete jakýkoli produkt z webových stránek prodávajícího a odkaz na osivo produktu pro lidi, kteří ho potřebují. Pokud si tento dárek koupí, dostanete procento na objednávku."
"Using available template","Použití dostupné šablony"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Kromě toho vám jsou poskytovány šablony jako e-mail, banner, informační bulletiny atd. Prostřednictvím webových stránek prodávajícího. Tyto šablony zasíláte svým zákazníkům pozvánky, což vám umožní snadno a perfektně vybudovat síť."
"Tracking history activities","Sledování historických aktivit"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Affiliate vám pomůže řídit proces zasílání pozvánky, jméno příjemce, jejich zisk apod. Proto můžete svou práci podrobně sledovat sami."
"Giving cash when achieving the target","Poskytnutí hotovosti při dosažení cíle"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Affiliate poskytují zajímavé šance na vydělávání peněz, zatímco nepotřebujete žádné produkty ani služby, propagujete produkt prodejce prostřednictvím dostupných reklamních metod. Až do výnosů, které vydělávají, dosáhnou nabízených sazeb, odvedou peníze ze svých účtů."
"Thank you again, %store_name","Děkujeme vám znovu, %sto_příjemce"
"Welcome to our affiliate program","Vítejte v našem affiliate programu"
"When using our affiliate program, you can use basics features in the following:","Pokud používáte náš partnerský program, můžete použít následující základní funkce:"
"Let come to Affiliate program to experience attractive opportunities!","Přijďte do affiliate programu zažít atraktivní příležitosti!"
"Your balance has been updated!","Váš zůstatek byl aktualizován!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Aktualizovali jsme váš zůstatek, abyste mohli mít příslušné informace o vaší provizi nebo jste zaplatili. Tento e-mail vám pomůže aktivně ovládat vaše aktivity."
"The transaction detail","Detail transakce"
"Transaction title: %title","Název transakce: %title"
"Transaction amount: %amount","Částka transakce: %amount"
"Transaction status: %status","Stav transakce: %status"
"Current balance: %balance","Aktuální zůstatek: %balance"
"Withdraw request complete!","Žádost o stažení je kompletní!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Rádi bychom Vás informovali, že vaše žádost o zrušení, která byla vytvořena na% request_at, byla dokončena. Po několika dnech dostanete peníze v závislosti na způsobu platby, který si vyberete."
"The withdraw detail","Stahujte detaily"
"Withdraw Id: %withdraw_id","Odstranit Id:% withdraw_id"
"Transfer Amount: %amount","Částka převodu: %amount"
"Request Amount: %amount","Požadovaná částka: %amount"
"Tax/fee: %fee","Daň / poplatek: %fee"
"Payment Method: %payment","Způsob platby: %pplatba"
"You can check your withdraw by ","Můžete si zkontrolovat svůj výběr"
"logging into your account","Přihlášení k účtu"
"Affiliate","Affiliate"
"General","Všeobecné"
"Enable","Umožnit"
"Cookie Expiration","Platnost cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Den (y). Počet dnů pro admin uložení souborů cookie tohoto programu. Výchozí hodnota: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">pozděte více</a>"
"Allow overriding cookies","Povolit předběžné soubory cookie"
"Allow overriding exist affiliate cookie.","Povolit přepsání existující affiliate cookie."
"Show Affiliate link on","Zobrazit odkaz Affiliate"
"Default page","Výchozí stránka"
"Affiliate homepage content","Obsah domovské stránky affiliate"
"Select CMS Static Block.","Vyberte statický blok CMS."
"Display Policy Page","Zobrazit stránku zásad"
"Select CMS Page for Policy Page","Vyberte stránku CMS pro stránku zásad"
"Select CMS page","Vyberte stránku CMS"
"Affiliate URL","Adresa URL affiliate"
"URL Style","Styl adresy URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Např .: <br />Parametr: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Vlastní parametr"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Bude použito v adresách URL, jako například:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Hodnota parametru"
"The length of Affiliate code","Délka kódu Affiliate"
"It should be greater than 3, and smaller than 32. Default is 6.","Měla by být větší než 3 a menší než 32. Výchozí hodnota je 6."
"Account Configuration","Konfigurace účtu"
"Affiliate Sign up","Affiliate Zaregistrujte se"
"Default Affiliate Group","Výchozí skupina partnerů"
"Require admin's approval","Požadovat souhlas administrátora"
"Checked ""Email notification"" by default","Zaškrtávací políčko ""E-mailová oznámení"" je ve výchozím nastavení"
"Term and condition","Termín a stav"
"Enable Terms and Conditions","Povolit smluvní podmínky"
"Checkbox Text","Text zaškrtávacího políčka"
"Terms and Conditions Title","Obchodní podmínky"
"Terms and Conditions Content","Obchodní podmínky Obsah"
"Select CMS Block.","Vyberte blok CMS."
"Checkbox is checked by default","Zaškrtávací políčko je přednastaveno"
"Account Balance","Zůstatek na účtu"
"Maximum of Affiliate Balance","Maximální zůstatek pro partnery"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Maximální zůstatek Affiliate. Affiliate nemůže provést provizi, pokud se rovnováha rovná této hodnotě. Prázdné nebo Zero není žádné omezení."
"Allow negative balance","Povolit záporný zůstatek"
"Commission Configuration","Konfigurace Komise"
"Earn commission from tax","Vydělat provizi z daně"
"Earn commission from shipping fee","Získejte provizi z poštovného"
"Commission calculation process","Proces výpočtu Komise"
"Allow Affiliate receiving commission when Invoice created","Povolit Affiliate přijímat provizi, když fakturu vytvořena"
"Hold commission transactions for","Držte provize za transakce"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Odpočítte provizi z zůstatku Affiliate při vrácení / zrušení objednávky"
"Withdraw Configuration","Stažení konfigurace"
"Allow withdraw request","Povolit odvolání žádosti"
"Payment Methods","platební metody"
"The minimum balance in affiliate account for requesting withdraw","Minimální zůstatek na přidruženém účtu pro žádost o odvolání"
"Minimum withdraw amount","Minimální částka čerpání"
"Include Fee","Zahrnout poplatek"
"Maximum withdraw amount","Maximální částka pro výběr"
"Email Configuration","Konfigurace e-mailu"
"Email Sender","Odesílatel e-mailu"
"Account Email","E-mail účtu"
"Send Welcome Email","Pošlete uvítací email"
"Welcome Email","Vítejte e-mail"
"Welcome Email After Account Approved","Vítejte e-mail po schválení účtu"
"This email will be sent instead of welcome email, after approving account.","Tento e-mail bude po schválení účtu odeslán namísto vítaného e-mailu."
"Transaction Email","Transakční e-mail"
"Send Transaction Email","Odeslat e-mail s transakcí"
"Update Balance Email","Aktualizovat zůstatek e-mailu"
"Withdraw Email","Stahujte e-mail"
"Send Withdraw Email","Odeslat stažení e-mailu"
"Withdraw Complete Email","Stáhněte si kompletní e-mail"
"Refer Friends Configuration","Navštivte Konfigurace přátel"
"Enable Refer Friends Feature","Aktivovat funkci Přátelé"
"Refer Sharing Email","Odkazujte na možnost Sdílení e-mailu"
"Default Refer Url","Výchozí adresa URL odkazu"
"Select block to show referfriend description","Zvolte blok pro zobrazení popisu odkazu"
"Refer friend homepage content","Uveďte obsah domovské stránky přátel"
"AddThis.com ID","ID AddThis.com"
"Use Cloudsponge to retrieve email contacts","Pomocí služby Cloudsponge získáte e-mailové kontakty"
"Cloudsponge Key","Klávesa Cloudsponge"
"Sending Email Content","Odesílání obsahu e-mailu"
"Default Email Subject","Výchozí předmět e-mailu"
"Default Email Body","Výchozí pole e-mailu"
"Default Message Shared via Social","Výchozí zpráva byla sdílena prostřednictvím služby Social"
"ID","ID"
"Email","E-mailem"
"Phone","Telefon"
"ZIP/Post Code","ZIP / PSČ"
"Country","Země"
"State/Province","Stát / provincie"
"Signed-up Point","Zaregistrovaný bod"
"Website","webová stránka"
"Created At","Vytvořeno na"
"Add New Account","Přidat nový účet"
"Delete Accounts","Smazat účty"
"Are you sure you want to delete selected Accounts?","Opravdu chcete smazat vybrané účty?"
"Total Commission","Celková Komise"
"Add New Banner","Přidat nový banner"
"Delete Banners","Odstranit bannery"
"Are you sure you want to delete selected banners?","Opravdu chcete smazat vybrané bannery?"
"URL","URL"
"Campaign","Kampaň"
"Created","Vytvořeno"
"Add New Campaign","Přidat novou kampaň"
"Delete Campaigns","Smazat kampaně"
"Are you sure you wan't to delete selected Campaigns?","Opravdu chcete odstranit vybrané kampaně?"
"Add New Group","Přidat novou skupinu"
"Delete Groups","Odstranit skupiny"
"Are you sure you want to delete selected groups?","Opravdu chcete smazat vybrané skupiny?"
"Add New Transaction","Přidat novou transakci"
"Complete Transactions","Kompletní transakce"
"Are you sure you want to complete selected transactions?","Opravdu chcete dokončit vybrané transakce?"
"Cancel Transactions","Zrušit transakce"
"Are you sure you want to cancel selected Transactions?","Opravdu chcete zrušit vybrané transakce?"
"Action Type","Typ akce"
"Amount Used","Použité množství"
"Amount Hold","Částka Hold"
"Current Balance","Aktuální zůstatek"
"Store","Obchod"
"Holding Date","Datum držení"
"Add New Withdraw","Přidat nový výběr"
"Approve","Schválit"
"Approve Withdraws","Schválit odvolání"
"Are you sure you want to approve selected Withdraws?","Opravdu chcete schválit vybrané Výběry?"
"Cancel Withdraws","Zrušit zruší"
"Are you sure you want to cancel selected Withdraws?","Opravdu chcete zrušit vybrané výběry?"
"Transaction ID","ID transakce"
"Transferred","Přestoupil"
"Account Dashboard","Dashboard účtu"
"Home","domů"
"Signup","Přihlásit se"
"Refer Friend","Doporučit přítele"
"Setting","Nastavení"
