"Affiliate Banners","Banners de afiliados"
"Fixed amount","Cantidad fija"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla sólo si se cumplen las siguientes condiciones (dejar en blanco para todos los productos)"
"Condition","Condición"
"Conditions","Condiciones"
"Discounts","Descuentos"
"Discount","Descuento"
"Apply","Aplicar"
"Discount Amount","Importe de descuento"
"Apply to Shipping Amount","Aplicar a la cantidad de envío"
"Discount Description","Descripción del Descuento"
"Save Group","Guardar grupo"
"New Group","Nuevo grupo"
"Group Information","Información del grupo"
"Group","Grupo"
"label","etiqueta"
"Reset banner traffic","Restablecer tráfico de banner"
"Save Transaction","Guardar transacción"
"New Transaction","Nueva transacción"
"Please select an affiliate account","Seleccione una cuenta de afiliado"
"Transaction Information","información de la transacción"
"Amount","Cantidad"
"Add or subtract affiliate's balance. E.g: 99 or -99","Añadir o restar el saldo del afiliado. Por ejemplo: 99 o -99"
"Holding Transaction For","Transacción de la operación para"
"Transaction","Transacción"
"Are you sure you want to cancel this transaction?","¿Está seguro de que desea cancelar esta transacción?"
"Are you sure you want to complete this transaction?","¿Está seguro de que desea completar esta transacción?"
"Complete","Completar"
"View Transaction '%1'","Ver transacción '%1'"
"Affiliate Account","Cuenta de afiliado"
"Type","Tipo"
"Order","Orden"
"Created by","Creado por"
"This transaction will be holed to","Esta transacción será perforada para"
"Created Time","Hora creada"
"Save and Approve","Guardar y aprobar"
"Save","Salvar"
"New Withdraw","Nuevo retiro"
"Withdraw Information","Retirar información"
"Include fee.","Incluye tarifa."
"Fee","Cuota"
"If empty, configuration value will be used.","Si está vacío, se utilizará el valor de configuración."
"Payment Method","Método de pago"
"Payment Detail","Detalles de pago"
"Withdraw","Retirar"
"Edit Withdraw '%1'","Editar Retirar '%1'"
"Transfer Amount","Monto de la transferencia"
"Real amount will be transfer to affiliate.","La cantidad real será la transferencia a la filial."
"Affiliate Discount","Descuento de afiliados"
"Please input your friends email address.","Introduce la dirección de correo electrónico de tus amigos."
"Saved successfully!","¡Guardado exitosamente!"
"Something went wrong while saving the Account.","Se ha producido un error al guardar la cuenta."
"Your account is not active. Please contact us.","Su cuenta no está activa. Por favor contáctenos."
"You have to agree with term and conditions.","Tienes que estar de acuerdo con términos y condiciones."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","¡Felicitaciones! Se ha registrado exitosamente. ¡Revisaremos su cuenta de afiliado e informaremos una vez que se apruebe!"
"Congratulations! You have successfully registered.","¡Felicitaciones! Se ha registrado exitosamente."
"The withdraw has been canceled successfully.","La cancelación se ha cancelado con éxito."
"Something went wrong while saving the request.","Se ha producido un error al guardar la solicitud."
"Cannot find item.","No se puede encontrar el elemento."
"An error occur. Please contact us.","Se produce un error. Por favor contáctenos."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Su solicitud ha sido enviada correctamente. ¡Revisaremos su solicitud e informaremos una vez que se apruebe!"
"Your balance is not enough for request withdraw.","Su saldo no es suficiente para retirar la solicitud."
"The withdraw amount have to equal or greater than %1","La cantidad de retirada debe ser igual o mayor que %1"
"The withdraw amount have to equal or less than %1","La cantidad de retirada debe ser igual o menor que %1"
"This account no longer exists.","Esta cuenta ya no existe."
"The Account has been deleted.","Se ha eliminado la cuenta."
"Account to delete was not found.","La cuenta a eliminar no se encontró."
"Accounts","Cuentas"
"Edit Account ""%1""","Editar cuenta ""%1"""
"A total of %1 record(s) have been deleted.","Un total de %1 registros se han eliminado."
"The customer ""%1"" has registed as an affiliate already.","El cliente ""%1"" ha registrado como afiliado ya."
"Cannot find account referred.","No se puede encontrar la cuenta referida."
"The Account has been created successfully.","La cuenta se ha creado correctamente."
"The Account has been saved successfully.","La cuenta se ha guardado correctamente."
"The Banner has been deleted.","El Banner ha sido eliminado."
"Something went wrong while deleting banner data. Please review the action log and try again.","Se ha producido un error al eliminar datos de banners. Revise el registro de acciones e inténtelo de nuevo."
"We cannot find a banner to delete.","No podemos encontrar un banner para borrar."
"This banner no longer exists.","Este estandarte ya no existe."
"Banners","Banners"
"Edit Banner","Editar Banner"
"This banner does not exist.","Este banner no existe."
"You saved the banner.","Guardaste el estandarte."
"We cannot save the banner.","No podemos guardar el banner."
"This campaign no longer exists.","Esta campaña ya no existe."
"The Campaign has been deleted.","Se ha eliminado la campaña."
"Campaign to delete was not found.","No se encontró la campaña a eliminar."
"Campaigns","Campañas"
"Please correct the data sent.","Corrija los datos enviados."
"Something went wrong while saving the Campaign.","Se ha producido un error al guardar la campaña."
"The Campaign has been saved successfully.","La campaña se ha guardado correctamente."
"Tier","Nivel"
"Groups","Grupos"
"Something went wrong while saving the Group.","Se ha producido un error al guardar el Grupo."
"Cannot remove this group","No se puede eliminar este grupo"
"The Group has been created successfully.","El Grupo ha sido creado con éxito."
"The Transaction has been canceled.","La transacción ha sido cancelada."
"The Transaction has been completed.","Se ha completado la transacción."
"Transactions","Actas"
"View Transaction ""%1""","Ver transacción ""%1"""
"This Transaction no longer exists.","Esta transacción ya no existe."
"A total of %1 record(s) have been canceled.","Un total de %1 registros fueron cancelados."
"A total of %1 record(s) have been completed.","Un total de %1 registros fueron completados."
"Account balance is not enough to create this transaction.","El saldo de la cuenta no es suficiente para crear esta transacción."
"The Transaction has been created.","Se ha creado la transacción."
"Something went wrong while saving the Transaction.","Se produjo un error al guardar la transacción."
"This withdrawal no longer exists.","Este retiro ya no existe."
"Withdraws","Se retira"
"Edit Withdraw ""%1""","Editar Retirar ""%1"""
"Edit Withdraw ""#%1""","Editar Retirar ""# %1"""
"A total of %1 record(s) have been approved successfully.","Un total de %1 registros fueron aprobados satisfactoriamente."
"A total of %1 record(s) have been cancelled.","Un total de %1 registros fueron cancelados."
"The Withdraw has been saved.","Se ha salvado el retiro."
"Something went wrong while saving the Withdraw.","Se produjo un error al guardar la retirada."
"My Affiliate","Mi afiliado"
"My Credit (%1)","Mi crédito (%1)"
"Active","Activo"
"Inactive","Inactivo"
"Need Approved","Necesidad aprobada"
"Enabled","Habilitado"
"Disabled","Discapacitado"
"Percent of cart total","Porcentaje del total del carrito"
"Fixed amount discount for whole cart","Descuento de cantidad fija para todo el carrito"
"Allow Guest","Permitir invitado"
"Affiliate Member Only","Sólo miembros afiliados"
"-- Please Select --","- Seleccione -"
"Category page","Página de categoría"
"Product page","Página del producto"
"Footer Link","Enlace de pie de página"
"Top Link","Enlace superior"
"Affiliate ID","identificación del afiliado"
"Affiliate Code","Código de afiliación"
"Hash","Picadillo"
"Parameter","Parámetro"
"Address","Dirección"
"Paypal Email","e-mail de Paypal"
"Transaction Id","ID de transacción"
"Affiliate Campaign","Campaña de afiliados"
"Campaign %1","Campaña %1"
"Affiliate account must be existed.","Cuenta de afiliado debe existir."
"Transaction amount cannot be zero.","La cantidad de la transacción no puede ser cero."
"Account balance has been reached the limit. Please contact to store owner.","El saldo de la cuenta se ha alcanzado el límite. Póngase en contacto con el propietario de la tienda."
"Invalid transaction data for canceling.","Datos de transacción no válidos para cancelar."
"Account balance is not enough for canceling.","El saldo de la cuenta no es suficiente para cancelar."
"Invalid transaction data to complete.","Datos de transacción no válidos para completar."
"Maximum amount allowed in account balance is %1.","El importe máximo permitido en el saldo de la cuenta es %1."
"Action model is invalid for %1","El modelo de acción no es válido para %1"
"Changed by Admin","Cambiado por Admin"
"Get commission for order %1","Obtener comisión por pedido %1"
"Taken back commission for refunding order %1","Comisión quitada para el reembolso orden %1"
"Subtract balance for withdraw request","Reste el saldo de la solicitud de retirada"
"On Hold","En espera"
"Completed","Terminado"
"Cancelled","Cancelado"
"Commission","Comisión"
"Paid","Pagado"
"Admin","Administración"
"The amount request is not enough to pay for fee.","La cantidad solicitada no es suficiente para pagar la tarifa."
"Cannot create transaction for this withdraw.","No se puede crear una transacción para este retiro."
"Invalid withdraw data for canceling.","Invalid retirar datos para cancelar."
"Invalid withdraw data for approved.","Datos de retirada no válidos para aprobación."
"Pending","Pendiente"
"The Account has been saved.","Se ha guardado la cuenta."
"Affiliate Welcome homepage content","Bienvenido al contenido de la página principal"
"Affiliate referfriend description","Descripción de Referfriend de afiliados"
"Affiliate terms & conditions","Términos y condiciones del afiliado"
"Delete ""%1""","Eliminar ""%1"""
"Are you sure?","¿Estás seguro?"
"Type (1st Order)","Tipo (1ª Orden)"
"Value (1st Order)","Valor (1ª Orden)"
"Type (Next orders)","Tipo (Próximos pedidos)"
"Value (Next orders)","Valor (Próximos pedidos)"
"Action","Acción"
"Add","Añadir"
"Delete","Borrar"
"No","No"
"Yes","Sí"
"Link","Enlazar"
"Preview","Avance"
"Copy and past this source code into your website or forum.","Copie y pase este código fuente en su sitio web o foro."
"No banner available","No hay banner disponible"
"Credit Information","Información de crédito"
"Created Date","Fecha de creación"
"No transaction found!","No se encontró ninguna transacción!"
"Referral Url and Code","Url y código de referencia"
"Refer Url","URL de referencia"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Las referencias que acceden a esta URL se conectan como referencias una vez que se registran o realizan un pedido."
"Refer Code","Referir código"
"Referrals should enter the code in Coupon form at shopping cart page.","Las referencias deben introducir el código en el formulario de cupón en la página del carrito de la compra."
"Refer Email","Enviar correo electrónico"
"Referrals can enter your e-mail address when signing up affiliate account.","Las referencias pueden introducir su dirección de correo electrónico al registrarse en la cuenta de afiliado."
"Referral Via Social Networks","Referencia a través de redes sociales"
"Send Invitation","Enviar invitacion"
"Enter your friends' emails separated by comma","Introduce los correos electrónicos de tus amigos separados por una coma"
"Add from Address Book","Agregar desde la Libreta de direcciones"
"Subject","Tema"
"Your message","Tu mensaje"
"Short Message","Mensaje corto"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} será reemplazado por el nombre de su amigo basado en la cuenta de correo electrónico. No debe editarlo hasta que sepa lo que está haciendo."
"Send","Enviar"
"Affiliate Subscriptions","Suscripciones de Afiliados"
"Receive affiliate email.","Recibe correo electrónico de afiliado."
"Affiliate Information","Información del afiliado"
"Customer email or Affiliate code","Correo electrónico del cliente o código del afiliado"
"Create an Account","Crea una cuenta"
"Request Withdraw","Retirada de la solicitud"
"Request Amount","Solicitar cantidad"
"Select Payment Method","Seleccione el método de pago"
"Withdraw Policy","Política de retirada"
"Send Request","Enviar petición"
"Paypal Email Associate","Paypal Email Asociado"
"Paypal Email Address","Email de Paypal"
"Withdraw History","Historia de retirada"
"Requested Date","Fecha solicitada"
"Withdraw Method","Método de retiro"
"View","Ver"
"Are you sure you want to cancel this withdraw?","¿Seguro que quieres cancelar este retiro?"
"No withdraw found!","No se encontró retirada!"
"Requested Amount","Monto requerido"
"Net. Amount","Red. Cantidad"
"Resolve Date","Resolver Fecha"
"Back","Espalda"
"%1 for first order.","%1 para el primer pedido."
"%1 of Order Total for first order.","%1 de la Orden Total para el primer pedido."
"%1 of Order Profit for first order.","%1 de Orden Beneficio para el primer pedido."
"%1 for next orders.","%1 para los próximos pedidos."
"%1 of Order Total for next orders.","%1 de la Orden Total para pedidos siguientes."
"%1 of Order Profit for next orders.","%1 del Beneficio del Pedido para pedidos siguientes."
"Discount policy","Política de descuentos"
"Valid Date","Fecha válida"
"Always","Siempre"
"from","de"
"to","a"
"Affiliate account approved","Cuenta de afiliado aprobada"
"%name,","%name,"
"Welcome to our Affiliate program.","Bienvenido a nuestro programa de afiliados."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Su cuenta de afiliado está aprobada y permite comenzar con las características excepcionales del programa de afiliados."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Afiliado es la perfecta e interesante extensión de Magento y parece ser el modelo de negocio, donde usted tiene el papel de colaboradores. Usted puede recomendar a otros clientes a los productos del vendedor, y después hacer un público grande de las compras para se. Esto es ganar métodos en Internet, aunque usted no necesita ningún producto o sitio web privado."
"Specially, you will receive the typical and wonderful benefits following as:","Especialmente, usted recibirá los beneficios típicos y maravillosos siguientes como:"
"Earning commission","Comisión ganancia"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Viniendo a afiliarse, simplemente, usted elegirá cualquier producto del Web site del vendedor, y el acoplamiento de la semilla del producto a la gente que la necesita. Si el presentee compra el artículo, usted conseguirá el porcentaje por la orden."
"Using available template","Uso de la plantilla disponible"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Además, se le suministran plantillas como correo electrónico, banner, boletines informativos, etc. por el sitio web del vendedor. Usted enviará invitaciones a sus clientes de destino por estas plantillas, lo que te hace construir la red fácilmente y perfectamente."
"Tracking history activities","Actividades de seguimiento de la historia"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Afiliado le apoya para gestionar el proceso de envío de invitación, el nombre del destinatario, sus ganancias, etc Por lo tanto, puede seguir su trabajo detalladamente por sí mismos."
"Giving cash when achieving the target","Dar efectivo al alcanzar el objetivo"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Afiliado dar oportunidades interesantes para ganar dinero mientras no necesita ningún producto o servicio, sólo anunciar el producto del sitio web del vendedor por los métodos de publicidad disponibles. Hasta que sus ingresos ganen alcanzan las tarifas ofrecidas, retirarán el dinero de sus cuentas."
"Thank you again, %store_name","Gracias de nuevo, %store_name"
"Welcome to our affiliate program","Bienvenido a nuestro programa de afiliados"
"When using our affiliate program, you can use basics features in the following:","Al utilizar nuestro programa de afiliados, puede utilizar características básicas en lo siguiente:"
"Let come to Affiliate program to experience attractive opportunities!","Vamos a venir a programa de afiliados para experimentar oportunidades atractivas!"
"Your balance has been updated!","¡Tu saldo ha sido actualizado!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Hemos actualizado el saldo para que usted pueda tener información relevante de su comisión o pagado. Este correo electrónico le ayudará a controlar activamente sus actividades."
"The transaction detail","El detalle de la transacción"
"Transaction title: %title","Título de la transacción: %title"
"Transaction amount: %amount","Monto de la transacción: %amount"
"Transaction status: %status","Estado de la transacción: %status"
"Current balance: %balance","Saldo actual: %balance"
"Withdraw request complete!","Retirar solicitud completa!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Nos gustaría informarle que se ha completado su solicitud de retirada, que se creó en% request_at. Usted recibirá dinero después de algunos días dependiendo del método de pago que elija."
"The withdraw detail","El detalle de retirada"
"Withdraw Id: %withdraw_id","ID de retirada:% withdraw_id"
"Transfer Amount: %amount","Cantidad de la transferencia: %amount"
"Request Amount: %amount","Cantidad de la solicitud: %amount"
"Tax/fee: %fee","Impuestos / tasa: %fee"
"Payment Method: %payment","Método del pago: %payment"
"You can check your withdraw by ","Puede revisar su retirada"
"logging into your account","Iniciar sesión en su cuenta"
"Affiliate","Afiliado"
"General","General"
"Enable","Habilitar"
"Cookie Expiration","Expiración de la cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","días). El número de días para que el administrador almacene cookies de este programa. Predeterminado: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>"
"Allow overriding cookies","Permitir cookies de reemplazo"
"Allow overriding exist affiliate cookie.","Permitir que sobrepasen la cookie de afiliados."
"Show Affiliate link on","Mostrar enlace de afiliado en"
"Default page","Página por defecto"
"Affiliate homepage content","Contenido de la página principal del afiliado"
"Select CMS Static Block.","Seleccione Bloque estático CMS."
"Display Policy Page","Página de política de visualización"
"Select CMS Page for Policy Page","Página Seleccionar página de CMS para políticas"
"Select CMS page","Seleccione la página CMS"
"Affiliate URL","URL del afiliado"
"URL Style","Estilo de URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Por ejemplo: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Parámetro personalizado"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Esto se usará en URL como:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valor del parámetro"
"The length of Affiliate code","La duración del código de afiliado"
"It should be greater than 3, and smaller than 32. Default is 6.","Debe ser mayor que 3 y menor que 32. El valor predeterminado es 6."
"Account Configuration","Configuración de la cuenta"
"Affiliate Sign up","Registro de afiliados"
"Default Affiliate Group","Grupo de afiliados predeterminado"
"Require admin's approval","Solicitar la aprobación del administrador"
"Checked ""Email notification"" by default","Se ha marcado ""Notificación por correo electrónico"" por defecto"
"Term and condition","Término y condición"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Checkbox Text","Texto de la casilla de verificación"
"Terms and Conditions Title","Términos y Condiciones"
"Terms and Conditions Content","Términos y condiciones Contenido"
"Select CMS Block.","Seleccione Bloquear CMS."
"Checkbox is checked by default","La casilla de verificación está marcada de forma predeterminada"
"Account Balance","Saldo de la cuenta"
"Maximum of Affiliate Balance","Máximo saldo de afiliados"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","El saldo máximo de Afiliado. El afiliado no puede obtener comisión si el saldo es igual a este valor. Vacío o cero no es ninguna limitación."
"Allow negative balance","Permitir saldo negativo"
"Commission Configuration","Configuración de la Comisión"
"Earn commission from tax","Gane comisión de impuestos"
"Earn commission from shipping fee","Gane comisión de la tarifa de envío"
"Commission calculation process","Proceso de cálculo de la Comisión"
"Allow Affiliate receiving commission when Invoice created","Permitir que el afiliado reciba la comisión al crear la factura"
"Hold commission transactions for","Realizar transacciones de comisión por"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deducir la comisión del saldo del afiliado cuando se devuelve / cancela la orden"
"Withdraw Configuration","Retirar la configuración"
"Allow withdraw request","Permitir solicitud de retirada"
"Payment Methods","Métodos de pago"
"The minimum balance in affiliate account for requesting withdraw","El saldo mínimo en la cuenta de afiliado para solicitar la retirada"
"Minimum withdraw amount","Monto mínimo de retiro"
"Include Fee","Incluir tarifa"
"Maximum withdraw amount","Importe máximo de retiro"
"Email Configuration","Configuración de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Account Email","Cuenta de email"
"Send Welcome Email","Enviar correo electrónico de bienvenida"
"Welcome Email","Correo Electrónico de Bienvenida"
"Welcome Email After Account Approved","Correo de bienvenida después de la aprobación de la cuenta"
"This email will be sent instead of welcome email, after approving account.","Este correo electrónico se enviará en lugar de correo electrónico de bienvenida, después de aprobar la cuenta."
"Transaction Email","Correo electrónico de transacción"
"Send Transaction Email","Enviar correo electrónico de la transacción"
"Update Balance Email","Actualizar correo electrónico de saldo"
"Withdraw Email","Retirar correo electrónico"
"Send Withdraw Email","Enviar Retirar correo electrónico"
"Withdraw Complete Email","Retirar correo electrónico completo"
"Refer Friends Configuration","Configuración de Amigos"
"Enable Refer Friends Feature","Habilitar la función de referencia de amigos"
"Refer Sharing Email","Refiere compartir correo electrónico"
"Default Refer Url","URL de referencia predeterminada"
"Select block to show referfriend description","Seleccionar bloque para mostrar la descripción de referenciar"
"Refer friend homepage content","Consulte el contenido de la página principal de su amigo"
"AddThis.com ID","ID de AddThis.com"
"Use Cloudsponge to retrieve email contacts","Utilizar Cloudsponge para recuperar contactos de correo electrónico"
"Cloudsponge Key","Llave de la nube"
"Sending Email Content","Envío de contenido de correo electrónico"
"Default Email Subject","Asunto por correo electrónico predeterminado"
"Default Email Body","Cuerpo de correo electrónico predeterminado"
"Default Message Shared via Social","Mensaje predeterminado compartido a través de Social"
"ID","CARNÉ DE IDENTIDAD"
"Email","Email"
"Phone","Teléfono"
"ZIP/Post Code","Código postal"
"Country","País"
"State/Province","Estado / Provincia"
"Signed-up Point","Punto firmado"
"Website","Sitio web"
"Created At","Creado en"
"Add New Account","Añadir nueva cuenta"
"Delete Accounts","Eliminar cuentas"
"Are you sure you want to delete selected Accounts?","¿Está seguro de que desea eliminar las cuentas seleccionadas?"
"Total Commission","Total de la Comisión"
"Add New Banner","Añadir nuevo banner"
"Delete Banners","Eliminar banners"
"Are you sure you want to delete selected banners?","¿Seguro que quieres eliminar los banners seleccionados?"
"URL","URL"
"Campaign","Campaña"
"Created","Creado"
"Add New Campaign","Añadir nueva campaña"
"Delete Campaigns","Eliminar campañas"
"Are you sure you wan't to delete selected Campaigns?","¿Seguro que quieres eliminar campañas seleccionadas?"
"Add New Group","Añadir nuevo grupo"
"Delete Groups","Eliminar grupos"
"Are you sure you want to delete selected groups?","¿Seguro que desea eliminar los grupos seleccionados?"
"Add New Transaction","Añadir nueva transacción"
"Complete Transactions","Transacciones completas"
"Are you sure you want to complete selected transactions?","¿Está seguro de que desea completar las transacciones seleccionadas?"
"Cancel Transactions","Cancelar Transacciones"
"Are you sure you want to cancel selected Transactions?","¿Está seguro de que desea cancelar transacciones seleccionadas?"
"Action Type","tipo de acción"
"Amount Used","Cantidad utilizada"
"Amount Hold","Cantidad retenida"
"Current Balance","Saldo actual"
"Store","Almacenar"
"Holding Date","Fecha de celebración"
"Add New Withdraw","Añadir nuevo retiro"
"Approve","Aprobar"
"Approve Withdraws","Aprobar retira"
"Are you sure you want to approve selected Withdraws?","¿Estás seguro de que quieres aprobar retiros seleccionados?"
"Cancel Withdraws","Cancelar retira"
"Are you sure you want to cancel selected Withdraws?","¿Está seguro de que desea cancelar retiros seleccionados?"
"Transaction ID","ID de transacción"
"Transferred","Transferido"
"Account Dashboard","Cuadro de mandos de la cuenta"
"Home","Casa"
"Signup","Regístrate"
"Refer Friend","Recomendar amigo"
"Setting","Ajuste"
