"Affiliate Banners","מודעות באנרים"
"URL Style","סגנון כתובת אתר"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","לדוגמה, <br /> פרמטר: http://example.com/?<strong>c12123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","פרמטר מותאם אישית"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","פעולה זו תשתמש בכתובת אתר כגון:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br /> או # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","ערך פרמטר"
"The length of Affiliate code","אורך של קוד שותפים"
"It should be greater than 3, and smaller than 32. Default is 6.","זה צריך להיות גדול מ 3, קטן מ 32. ברירת המחדל היא 6."
"Account Configuration","תצורת חשבון"
"Affiliate Sign up","שותפים להירשם"
"Default Affiliate Group","ברירת מחדל קבוצת שותפים"
"Require admin's approval","דרוש אישור של מנהל המערכת"
"Checked ""Email notification"" by default","מסומן ""הודעת דוא""ל"" כברירת מחדל"
"Term and condition","מונח ומצב"
"Enable Terms and Conditions","הפעל תנאים והגבלות"
"Checkbox Text","טקסט תיבת סימון"
"Terms and Conditions Title","תנאי השימוש והתנאים"
"Terms and Conditions Content","תנאים והגבלות"
"Select CMS Block.","בחר בלוק CMS."
"Checkbox is checked by default","תיבת הסימון מסומנת כברירת מחדל"
"Account Balance","יתרת חשבון"
"Maximum of Affiliate Balance","מקסימום של יתרת שותפים"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","היתרה המקסימלית של שותפים. שותפים לא יכול לקבל עמלה אם איזון שווה ערך זה. ריק או אפס אין הגבלה."
"Allow negative balance","אפשר יתרה שלילית"
"Commission Configuration","תצורת הנציבות"
"Earn commission from tax","להרוויח עמלה ממס"
"Earn commission from shipping fee","להרוויח עמלה מ דמי משלוח"
"Commission calculation process","תהליך חישוב הנציבות"
"Allow Affiliate receiving commission when Invoice created","אפשר לשותף לקבל עמלה בעת יצירת חשבונית"
"Hold commission transactions for","עמלות עבור עמלות"
"Deduct commission from Affiliate's balance when order is refunded/canceled","ניכוי עמלה מיתרת השותפים בעת ביצוע החזר / ביטול"
"Withdraw Configuration","ביטול תצורה"
"Allow withdraw request","אפשר בקשת משיכה"
"Payment Methods","שיטות תשלום"
"The minimum balance in affiliate account for requesting withdraw","יתרת המינימום בחשבון שותפים עבור בקשה לסגת"
"Minimum withdraw amount","סכום משיכה מינימלי"
"Include Fee","כלול בתשלום"
"Maximum withdraw amount","סכום משיכה מקסימלי"
"Email Configuration","תצורת דוא""ל"
"Email Sender","שולח דוא""ל"
"Account Email","חשבון מייל"
"Send Welcome Email","שלח ברוכים הבאים דוא""ל"
"Welcome Email","ברוכים הבאים דוא""ל"
"Welcome Email After Account Approved","ברוכים הבאים אימייל לאחר אישור החשבון"
"This email will be sent instead of welcome email, after approving account.","הודעת אימייל זו תישלח במקום הודעת אימייל, לאחר אישור החשבון."
"Transaction Email","דוא""ל העסקה"
"Send Transaction Email","שלח דוא""ל לעסקה"
"Update Balance Email","עדכן דוא""ל איזון"
"Withdraw Email","בטל אימייל"
"Send Withdraw Email","שלח דוא""ל"
"Withdraw Complete Email","בטל אימייל מלא"
"Refer Friends Configuration","עיין בתצורת חברים"
"Enable Refer Friends Feature","אפשר התכונה 'הפנה חברים'"
"Refer Sharing Email","עיין בדוא""ל שיתוף"
"Default Refer Url","ברירת מחדל הפניה כתובת אתר"
"Select block to show referfriend description","בחר בלוק כדי להציג תיאור של הפניה"
"Refer friend homepage content","עיין בתוכן דף הבית של חבר"
"AddThis.com ID","מזהה"
"Use Cloudsponge to retrieve email contacts","השתמש ב- Cloudsponge כדי לאחזר אנשי קשר בדוא""ל"
"Cloudsponge Key","מפתח קלאוד ספוג"
"Sending Email Content","שליחת תוכן דוא""ל"
"Default Email Subject","נושא דוא""ל ברירת מחדל"
"Default Email Body","גוף דוא""ל ברירת מחדל"
"Default Message Shared via Social","הודעת ברירת מחדל משותפת באמצעות חברתי"
"ID","תְעוּדַת זֶהוּת"
"Email","אֶלֶקטרוֹנִי"
"Phone","טלפון"
"ZIP/Post Code","מיקוד"
"Country","מדינה"
"State/Province","מדינה / מחוז"
"Signed-up Point","נקודה חתומה"
"Website","אתר אינטרנט"
"Created At","נוצר ב"
"Add New Account","הוסף חשבון חדש"
"Delete Accounts","מחק חשבונות"
"Are you sure you want to delete selected Accounts?","האם אתה בטוח שברצונך למחוק את החשבונות שנבחרו?"
"Total Commission","סך כל הנציבות"
"Add New Banner","הוסף מודעת באנר חדשה"
"Delete Banners","מחיקת באנרים"
"Are you sure you want to delete selected banners?","האם אתה בטוח שברצונך למחוק כרזות שנבחרו?"
"URL","כתובת אתר"
"Campaign","קמפיין"
"Created","נוצר"
"Add New Campaign","הוסף קמפיין חדש"
"Delete Campaigns","מחק קמפיינים"
"Are you sure you wan't to delete selected Campaigns?","האם אתה בטוח שלא תמחק את מסעות הפרסום שנבחרו?"
"Add New Group","הוסף קבוצה חדשה"
"Delete Groups","מחק קבוצות"
"Are you sure you want to delete selected groups?","האם אתה בטוח שברצונך למחוק קבוצות נבחרות?"
"Add New Transaction","הוסף עסקה חדשה"
"Complete Transactions","עסקאות מלאות"
"Are you sure you want to complete selected transactions?","האם אתה בטוח שברצונך להשלים עסקאות שנבחרו?"
"Cancel Transactions","בטל עסקאות"
"Are you sure you want to cancel selected Transactions?","האם אתה בטוח שברצונך לבטל עסקאות שנבחרו?"
"Action Type","סוג פעולה"
"Amount Used","סכום משומש"
"Amount Hold","סכום החזקה"
"Current Balance","יתרה נוכחית"
"Store","חֲנוּת"
"Holding Date","תאריך החזקה"
"Add New Withdraw","הוסף משיכה חדשה"
"Approve","לְאַשֵׁר"
"Approve Withdraws","אשר את משיכתך"
"Are you sure you want to approve selected Withdraws?","האם אתה בטוח שברצונך לאשר את משיכות הבחירה שנבחרו?"
"Cancel Withdraws","ביטול משיכה"
"Are you sure you want to cancel selected Withdraws?","האם אתה בטוח שברצונך לבטל את משיכות הבחירה שנבחרו?"
"Transaction ID","מזהה עסקה"
"Transferred","הועבר"
"Account Dashboard","מרכז השליטה של ​​החשבון"
"Home","בית"
"Signup","הירשם"
"Refer Friend","הפנה לחבר"
"Setting","הגדרה"
