"Affiliate Banners","Biểu ngữ liên kết"
"Please select an affiliate account","Vui lòng chọn một tài khoản liên kết"
"Transaction Information","Thông tin giao dịch"
"Amount","Số tiền"
"Add or subtract affiliate's balance. E.g: 99 or -99","Thêm hoặc trừ số dư của liên kết. Ví dụ: 99 hoặc -99"
"Holding Transaction For","Giữ giao dịch cho"
"Transaction","Giao dịch"
"Are you sure you want to cancel this transaction?","Bạn có chắc chắn muốn hủy giao dịch này?"
"Are you sure you want to complete this transaction?","Bạn có chắc chắn muốn hoàn tất giao dịch này?"
"Complete","Hoàn thành"
"View Transaction '%1'","Xem giao dịch '%1'"
"Affiliate Account","Tài khoản liên kết"
"Type","Kiểu"
"Order","Gọi món"
"Created by","Được tạo bởi"
"This transaction will be holed to","Giao dịch này sẽ được lồng vào"
"Created Time","Thời gian tạo"
"Save and Approve","Lưu và Phê duyệt"
"Save","Tiết kiệm"
"New Withdraw","Rút mới"
"Withdraw Information","Rút thông tin"
"Include fee.","Bao gồm lệ phí."
"Fee","Chi phí"
"If empty, configuration value will be used.","Nếu trống rỗng, giá trị cấu hình sẽ được sử dụng."
"Payment Method","Phương thức thanh toán"
"Payment Detail","Chi tiết thanh toán"
"Withdraw","Rút"
"Edit Withdraw '%1'","Chỉnh sửa Rút '%1'"
"Transfer Amount","Số tiền chuyển khoản"
"Real amount will be transfer to affiliate.","Số tiền thực sẽ được chuyển sang chi nhánh."
"Affiliate Discount","Giảm giá liên kết"
"Please input your friends email address.","Vui lòng nhập địa chỉ email bạn bè của bạn."
"Saved successfully!","Đã lưu thành công!"
"Something went wrong while saving the Account.","Đã xảy ra lỗi khi lưu Tài khoản."
"Your account is not active. Please contact us.","Tài khoản của bạn không hoạt động. Xin vui lòng liên hệ với chúng tôi."
"You have to agree with term and conditions.","Bạn phải đồng ý với điều khoản và điều kiện."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Xin chúc mừng! Bạn đã đăng ký thành công. Chúng tôi sẽ xem xét tài khoản liên kết của bạn và thông báo cho bạn sau khi đã được chấp thuận!"
"Congratulations! You have successfully registered.","Xin chúc mừng! Bạn đã đăng ký thành công."
"The withdraw has been canceled successfully.","Việc rút tiền đã được hủy bỏ thành công."
"Something went wrong while saving the request.","Đã xảy ra lỗi khi lưu yêu cầu."
"Cannot find item.","Không tìm thấy mục."
"An error occur. Please contact us.","Một lỗi xảy ra. Xin vui lòng liên hệ với chúng tôi."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Yêu cầu của bạn đã được gửi thành công. Chúng tôi sẽ xem xét yêu cầu của bạn và thông báo cho bạn sau khi đã được chấp thuận!"
"Your balance is not enough for request withdraw.","Số dư của bạn không đủ để yêu cầu thu hồi."
"The withdraw amount have to equal or greater than %1","Số tiền rút tiền phải bằng hoặc lớn hơn %1"
"The withdraw amount have to equal or less than %1","Số tiền rút tiền phải bằng hoặc nhỏ hơn %1"
"This account no longer exists.","Tài khoản này không còn tồn tại."
"The Account has been deleted.","Tài khoản đã bị xóa."
"Account to delete was not found.","Không tìm thấy tài khoản để xóa."
"Accounts","Tài khoản"
"Edit Account ""%1""","Chỉnh sửa Tài khoản ""%1"""
"A total of %1 record(s) have been deleted.","Tổng số %1 bản ghi đã bị xóa."
"The customer ""%1"" has registed as an affiliate already.","Khách hàng ""%1"" đã đăng ký là một đơn vị liên kết đã có."
"Cannot find account referred.","Không thể tìm thấy tài khoản được gọi."
"The Account has been created successfully.","Tài khoản đã được tạo thành công."
"The Account has been saved successfully.","Tài khoản đã được lưu thành công."
"The Banner has been deleted.","Biểu ngữ đã bị xóa."
"Something went wrong while deleting banner data. Please review the action log and try again.","Đã xảy ra lỗi khi xóa dữ liệu biểu ngữ. Vui lòng xem lại nhật trình hành động và thử lại."
"We cannot find a banner to delete.","Chúng tôi không thể tìm thấy một biểu ngữ để xóa."
"This banner no longer exists.","Biểu ngữ này không còn tồn tại."
"Banners","Băng rôn"
"Edit Banner","Chỉnh sửa Bảng quảng cáo"
"This banner does not exist.","Biểu ngữ này không tồn tại."
"You saved the banner.","Bạn đã lưu biểu ngữ."
"We cannot save the banner.","Chúng tôi không thể lưu biểu ngữ."
"This campaign no longer exists.","Chiến dịch này không còn tồn tại."
"The Campaign has been deleted.","Chiến dịch đã bị xóa."
"Campaign to delete was not found.","Chiến dịch xóa không được tìm thấy."
"Campaigns","Chiến dịch"
"Please correct the data sent.","Vui lòng sửa dữ liệu được gửi."
"Something went wrong while saving the Campaign.","Đã xảy ra sự cố khi lưu Chiến dịch."
"The Campaign has been saved successfully.","Chiến dịch đã được lưu thành công."
"Tier","Tầng"
"Groups","Các nhóm"
"Something went wrong while saving the Group.","Đã xảy ra sự cố khi lưu Nhóm."
"Cannot remove this group","Không thể xóa nhóm này"
"The Group has been created successfully.","Nhóm đã được tạo thành công."
"The Transaction has been canceled.","Giao dịch đã bị hủy."
"The Transaction has been completed.","Giao dịch đã hoàn tất."
"Transactions","Giao dịch"
"View Transaction ""%1""","Xem giao dịch ""%1"""
"This Transaction no longer exists.","Giao dịch này không còn tồn tại."
"A total of %1 record(s) have been canceled.","Tổng số %1 bản ghi đã bị hủy."
"A total of %1 record(s) have been completed.","Tổng cộng %1 bản ghi đã được hoàn thành."
"Account balance is not enough to create this transaction.","Số dư tài khoản không đủ để tạo giao dịch này."
"The Transaction has been created.","Giao dịch đã được tạo."
"Something went wrong while saving the Transaction.","Đã xảy ra sự cố khi lưu Giao dịch."
"This withdrawal no longer exists.","Sự rút lui này không còn tồn tại."
"Withdraws","Rút tiền"
"Edit Withdraw ""%1""","Chỉnh sửa Rút lại ""%1"""
"Edit Withdraw ""#%1""","Chỉnh sửa Rút lại ""# %1"""
"A total of %1 record(s) have been approved successfully.","Tổng số %1 bản ghi đã được phê duyệt thành công."
"A total of %1 record(s) have been cancelled.","Tổng số %1 bản ghi đã bị hủy."
"The Withdraw has been saved.","Rút Rút đã được lưu."
"Something went wrong while saving the Withdraw.","Đã xảy ra lỗi khi lưu tệp Rút."
"My Affiliate","Chi nhánh của tôi"
"My Credit (%1)","Tín dụng của tôi (%1)"
"Active","Hoạt động"
"Inactive","Không hoạt động"
"Need Approved","Cần được phê duyệt"
"Enabled","Đã bật"
"Disabled","Tàn tật"
"Percent of cart total","Phần trăm tổng số giỏ hàng"
"Fixed amount discount for whole cart","Giảm giá cố định cho toàn bộ giỏ hàng"
"Allow Guest","Cho phép khách"
"Affiliate Member Only","Thành viên liên kết"
"-- Please Select --","-- Vui lòng chọn --"
"Category page","Trang loại"
"Product page","Trang sản phẩm"
"Footer Link","Liên kết chân trang"
"Top Link","Liên kết hàng đầu"
"Affiliate ID","ID liên kết"
"Affiliate Code","Mã liên kết"
"Hash","Hash"
"Parameter","Tham số"
"Address","Địa chỉ nhà"
"Paypal Email","Paypal Email"
"Transaction Id","ID giao dịch"
"Affiliate Campaign","Chiến dịch Chi nhánh"
"Campaign %1","Chiến dịch %1"
"Affiliate account must be existed.","Tài khoản liên kết phải được tồn tại."
"Transaction amount cannot be zero.","Số tiền giao dịch không được bằng không."
"Account balance has been reached the limit. Please contact to store owner.","Số dư tài khoản đã đạt đến giới hạn. Vui lòng liên hệ với chủ cửa hàng."
"Invalid transaction data for canceling.","Dữ liệu giao dịch không hợp lệ để huỷ."
"Account balance is not enough for canceling.","Số dư tài khoản không đủ để hủy."
"Invalid transaction data to complete.","Dữ liệu giao dịch không hợp lệ để hoàn tất."
"Maximum amount allowed in account balance is %1.","Số tiền tối đa cho phép trong số dư tài khoản là %1."
"Action model is invalid for %1","Mô hình hành động không hợp lệ cho %1"
"Changed by Admin","Thay đổi bởi Admin"
"Get commission for order %1","Nhận hoa hồng cho đơn đặt hàng %1"
"Taken back commission for refunding order %1","Lấy lại hoa hồng để hoàn lại lệnh %1"
"Subtract balance for withdraw request","Trừ số dư để yêu cầu rút lại"
"On Hold","Giữ lại"
"Completed","Đã hoàn thành"
"Cancelled","Đã hủy"
"Commission","Uỷ ban"
"Paid","Đã thanh toán"
"Admin","quản trị viên"
"The amount request is not enough to pay for fee.","Yêu cầu về số tiền không đủ để trả phí."
"Cannot create transaction for this withdraw.","Không thể tạo giao dịch cho việc rút lại này."
"Invalid withdraw data for canceling.","Dữ liệu thu hồi không hợp lệ để huỷ."
"Invalid withdraw data for approved.","Dữ liệu thu hồi không hợp lệ để được phê duyệt."
"Pending","Đang chờ xử lý"
"The Account has been saved.","Tài khoản đã được lưu."
"Affiliate Welcome homepage content","Liên kết"
"Affiliate referfriend description","Mô tả bạn bè chi nhánh"
"Affiliate terms & conditions","Điều khoản và điều kiện của liên kết"
"Delete ""%1""","Xóa ""%1"""
"Are you sure?","Bạn có chắc không?"
"Type (1st Order)","Loại (Đơn đặt hàng thứ nhất)"
"Value (1st Order)","Giá trị (Đặt hàng 1st)"
"Type (Next orders)","Loại (Đơn hàng tiếp theo)"
"Value (Next orders)","Giá trị (Đơn hàng tiếp theo)"
"Action","Hoạt động"
"Add","Thêm vào"
"Delete","Xóa bỏ"
"No","Không"
"Yes","Vâng"
"Link","Liên kết"
"Preview","Xem trước"
"Copy and past this source code into your website or forum.","Sao chép và chuyển mã nguồn này vào trang web hoặc diễn đàn của bạn."
"No banner available","Không có sẵn biểu ngữ"
"Credit Information","Thông tin Tín dụng"
"Created Date","ngày tạo ra"
"No transaction found!","Không tìm thấy giao dịch!"
"Referral Url and Code","Url và Mã Giới thiệu"
"Refer Url","Giới thiệu Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Các giới thiệu truy cập vào URL này được kết nối dưới dạng giới thiệu khi họ đăng ký hoặc đặt hàng."
"Refer Code","Giới thiệu Mã"
"Referrals should enter the code in Coupon form at shopping cart page.","Giới thiệu phải nhập mã vào phiếu Coupon ở trang giỏ hàng."
"Refer Email","Giới thiệu Email"
"Referrals can enter your e-mail address when signing up affiliate account.","Giới thiệu có thể nhập địa chỉ e-mail của bạn khi đăng ký tài khoản liên kết."
"Referral Via Social Networks","Giới thiệu qua mạng xã hội"
"Send Invitation","Gửi lời mời"
"Enter your friends' emails separated by comma","Nhập email của bạn bè bạn bằng dấu phẩy"
"Add from Address Book","Thêm từ Sổ Địa chỉ"
"Subject","Môn học"
"Your message","Tin nhắn của bạn"
"Short Message","Tin nhắn ngắn"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} sẽ được thay thế bởi tên người bạn của bạn dựa trên tài khoản email. Bạn không nên chỉnh sửa nó cho đến khi bạn biết bạn đang làm gì."
"Send","Gửi"
"Affiliate Subscriptions","Đăng ký liên kết"
"Receive affiliate email.","Nhận email liên kết."
"Affiliate Information","Thông tin liên kết"
"Customer email or Affiliate code","Email khách hàng hoặc Mã Affiliate"
"Create an Account","Tạo một tài khoản"
"Request Withdraw","Yêu cầu rút"
"Request Amount","Yêu cầu Số tiền"
"Select Payment Method","Chọn Phương thức thanh toán"
"Withdraw Policy","Rút lại chính sách"
"Send Request","Gửi yêu cầu"
"Paypal Email Associate","Liên kết email Paypal"
"Paypal Email Address","Địa chỉ Email Paypal"
"Withdraw History","Rút lịch sử"
"Requested Date","Ngày yêu cầu"
"Withdraw Method","Rút phương pháp"
"View","Lượt xem"
"Are you sure you want to cancel this withdraw?","Bạn có chắc chắn muốn hủy việc thu hồi này không?"
"No withdraw found!","Không tìm thấy!"
"Requested Amount","Số tiền yêu cầu"
"Net. Amount","Mạng lưới. Số tiền"
"Resolve Date","Giải quyết Ngày"
"Back","Trở lại"
"%1 for first order.","%1 cho đơn đặt hàng đầu tiên."
"%1 of Order Total for first order.","%1 của Đơn đặt hàng Tổng cho lần đặt hàng đầu tiên."
"%1 of Order Profit for first order.","%1 của Đặt hàng Lợi nhuận cho đơn hàng đầu tiên."
"%1 for next orders.","%1 cho các đơn đặt hàng tiếp theo."
"%1 of Order Total for next orders.","%1 của Đặt hàng Tổng cho các đơn đặt hàng tiếp theo."
"%1 of Order Profit for next orders.","%1 của Đặt hàng Lợi nhuận cho các đơn đặt hàng tiếp theo."
"Discount policy","Chính sách giảm giá"
"Valid Date","Ngày hợp lệ"
"Always","Luôn luôn"
"from","từ"
"to","đến"
"Affiliate account approved","Đã chấp thuận tài khoản liên kết"
"%name,","%n tên,"
"Welcome to our Affiliate program.","Chào mừng bạn đến với Chương trình liên kết của chúng tôi."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Tài khoản Chi nhánh của bạn được chấp thuận và bắt đầu bằng các tính năng nổi bật của chương trình liên kết."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Affiliate là phần mở rộng Magento hoàn hảo và thú vị và có vẻ như là mô hình kinh doanh, nơi bạn có vai trò là cộng tác viên. Bạn có thể giới thiệu khách hàng khác đến các sản phẩm của người bán và sau đó tạo ra một nơi mua sắm lớn cho chính mình. Đây là phương pháp kiếm tiền trên internet mặc dù bạn không cần bất kỳ sản phẩm hoặc trang web riêng tư."
"Specially, you will receive the typical and wonderful benefits following as:","Đặc biệt, bạn sẽ nhận được những lợi ích điển hình và tuyệt vời như sau:"
"Earning commission","Hoa hồng thu nhập"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Đến với Đơn vị liên kết, đơn giản, bạn sẽ chọn bất kỳ sản phẩm nào từ trang web của người bán, và liên kết hạt giống của sản phẩm tới những người cần nó. Nếu người thuyết minh mua vật phẩm, bạn sẽ nhận được phần trăm mỗi đơn đặt hàng."
"Using available template","Sử dụng mẫu có sẵn"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Ngoài ra, bạn được cung cấp các mẫu như email, banner, bản tin, vv theo trang web của người bán. Bạn sẽ gửi lời mời đến khách hàng mục tiêu bằng các mẫu này, giúp bạn xây dựng mạng dễ dàng và hoàn hảo."
"Tracking history activities","Theo dõi các hoạt động lịch sử"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Chi nhánh hỗ trợ bạn quản lý quá trình gửi lời mời, tên người nhận, lợi nhuận của họ, vv Vì vậy, bạn có thể tự mình làm theo công việc của mình một cách chi tiết."
"Giving cash when achieving the target","Tặng tiền mặt khi đạt được mục tiêu"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Chi nhánh cung cấp cơ hội thú vị để kiếm tiền trong khi bạn không cần bất kỳ sản phẩm hoặc dịch vụ nào, bạn chỉ quảng cáo sản phẩm của trang web của người bán bằng các phương pháp quảng cáo hiện có. Cho đến khi doanh thu của họ đạt được mức giá đề nghị, họ sẽ rút tiền từ tài khoản của họ."
"Thank you again, %store_name","Cảm ơn bạn một lần nữa, %stiêu đề"
"Welcome to our affiliate program","Chào mừng bạn đến với chương trình liên kết của chúng tôi"
"When using our affiliate program, you can use basics features in the following:","Khi sử dụng chương trình liên kết của chúng tôi, bạn có thể sử dụng các tính năng cơ bản như sau:"
"Let come to Affiliate program to experience attractive opportunities!","Hãy đến với Chương trình liên kết để trải nghiệm những cơ hội hấp dẫn!"
"Your balance has been updated!","Số dư của bạn đã được cập nhật!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Chúng tôi đã cập nhật số dư cho bạn để bạn có thể có thông tin liên quan về hoa hồng của bạn hoặc đã thanh toán. Email này giúp bạn kiểm soát hoạt động của mình một cách tích cực."
"The transaction detail","Chi tiết giao dịch"
"Transaction title: %title","Tiêu đề giao dịch: %title"
"Transaction amount: %amount","Số tiền giao dịch: %amount"
"Transaction status: %status","Trạng thái giao dịch: %stài"
"Current balance: %balance","Số dư hiện tại: %bphím"
"Withdraw request complete!","Rút yêu cầu hoàn tất!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Chúng tôi muốn thông báo cho bạn rằng yêu cầu rút lại của bạn, được tạo ra tại% request_at đã được hoàn tất. Bạn sẽ nhận được tiền sau vài ngày tùy thuộc vào phương thức thanh toán mà bạn chọn."
"The withdraw detail","Chi tiết rút tiền"
"Withdraw Id: %withdraw_id","Rút ID:% withdraw_id"
"Transfer Amount: %amount","Số tiền chuyển khoản: %amount"
"Request Amount: %amount","Yêu cầu Số tiền: %amount"
"Tax/fee: %fee","Thuế / lệ phí: %fee"
"Payment Method: %payment","Phương thức thanh toán: %payment"
"You can check your withdraw by ","Bạn có thể kiểm tra việc rút lại"
"logging into your account","Đăng nhập vào tài khoản của bạn"
"Affiliate","Liên kết"
"General","Chung"
"Enable","Bật"
"Cookie Expiration","Hạn sử dụng cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Ngày. Số ngày quản trị viên lưu trữ cookie của chương trình này. Mặc định: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">tìm thêm</a>"
"Allow overriding cookies","Cho phép ghi đè các tập tin cookie"
"Allow overriding exist affiliate cookie.","Cho phép ghi đè lên liên kết cookie."
"Show Affiliate link on","Hiển thị Liên kết liên kết trên"
"Default page","Trang chủ"
"Affiliate homepage content","Nội dung trang chủ của liên kết"
"Select CMS Static Block.","Chọn Catic Static Block."
"Display Policy Page","Trang chính sách hiển thị"
"Select CMS Page for Policy Page","Chọn Trang CMS cho Trang Chính sách"
"Select CMS page","Chọn trang CMS"
"Affiliate URL","URL liên kết"
"URL Style","URL Style"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Ví dụ: <br />Phân hồi: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Tham số tùy chỉnh"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Điều này sẽ được sử dụng trong URL như:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Giá trị tham số"
"The length of Affiliate code","Độ dài của Mã Affiliate"
"It should be greater than 3, and smaller than 32. Default is 6.","Nó phải lớn hơn 3, và nhỏ hơn 32. Mặc định là 6."
"Account Configuration","Cấu hình Tài khoản"
"Affiliate Sign up","Đăng ký thành viên"
"Default Affiliate Group","Nhóm Affiliate Mặc định"
"Require admin's approval","Yêu cầu phê duyệt của quản trị viên"
"Checked ""Email notification"" by default","Đã kiểm tra ""Thông báo qua email"" theo mặc định"
"Term and condition","Điều khoản và điều kiện"
"Enable Terms and Conditions","Bật Điều khoản và Điều kiện"
"Checkbox Text","Văn bản Checkbox"
"Terms and Conditions Title","Tiêu đề Điều khoản và Điều kiện"
"Terms and Conditions Content","Điều khoản và Điều kiện Nội dung"
"Select CMS Block.","Chọn CMS Block."
"Checkbox is checked by default","Hộp kiểm được kiểm tra theo mặc định"
"Account Balance","Số dư tài khoản"
"Maximum of Affiliate Balance","Số dư Tài khoản Liên kết Tối đa"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Số dư tối đa của Chi nhánh. Các liên kết không thể có được hoa hồng nếu cân bằng với giá trị này. Empty hoặc Zero không giới hạn."
"Allow negative balance","Cho phép số dư âm"
"Commission Configuration","Cấu hình Ủy ban"
"Earn commission from tax","Kiếm được hoa hồng từ thuế"
"Earn commission from shipping fee","Kiếm được hoa hồng từ phí vận chuyển"
"Commission calculation process","Quá trình tính phí của Ủy ban"
"Allow Affiliate receiving commission when Invoice created","Cho phép hoa hồng nhận hoa hồng khi Hoá đơn được tạo"
"Hold commission transactions for","Giữ giao dịch hoa hồng cho"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Huỷ tiền hoa hồng từ số dư của Affiliate khi đặt hàng được hoàn lại / hủy bỏ"
"Withdraw Configuration","Rút cấu hình"
"Allow withdraw request","Cho phép yêu cầu rút tiền"
"Payment Methods","Phương thức thanh toán"
"The minimum balance in affiliate account for requesting withdraw","Số dư tối thiểu trong tài khoản liên kết để yêu cầu thu hồi"
"Minimum withdraw amount","Số tiền rút tối thiểu"
"Include Fee","Bao gồm Phí"
"Maximum withdraw amount","Số tiền rút tối đa"
"Email Configuration","Cấu hình Email"
"Email Sender","Người gửi email"
"Account Email","Tai khoản thư điện tử"
"Send Welcome Email","Gửi email Chào mừng"
"Welcome Email","Chào mừng Email"
"Welcome Email After Account Approved","Chào mừng Email Sau khi Tài khoản được chấp thuận"
"This email will be sent instead of welcome email, after approving account.","Email này sẽ được gửi thay vì email chào mừng, sau khi phê duyệt tài khoản."
"Transaction Email","Email giao dịch"
"Send Transaction Email","Gửi Email giao dịch"
"Update Balance Email","Cập nhật Số dư Email"
"Withdraw Email","Rút Email"
"Send Withdraw Email","Gửi Chấm dứt Email"
"Withdraw Complete Email","Rút xong Email Hoàn thành"
"Refer Friends Configuration","Giới thiệu bạn bè cấu hình"
"Enable Refer Friends Feature","Bật Tham khảo Bạn bè Tính năng"
"Refer Sharing Email","Tham khảo Chia sẻ Email"
"Default Refer Url","Url tham khảo mặc định"
"Select block to show referfriend description","Chọn khối để hiển thị mô tả người giới thiệu"
"Refer friend homepage content","Giới thiệu nội dung trang chủ của bạn bè"
"AddThis.com ID","ID AddThis.com"
"Use Cloudsponge to retrieve email contacts","Sử dụng Cloudsponge để lấy địa chỉ liên hệ qua email"
"Cloudsponge Key","Phím Cloudsponge"
"Sending Email Content","Gửi nội dung email"
"Default Email Subject","Chủ đề Email Mặc định"
"Default Email Body","Email cơ thể mặc định"
"Default Message Shared via Social","Thông báo mặc định được chia sẻ qua Xã hội"
"ID","ID"
"Email","E-mail"
"Phone","Điện thoại"
"ZIP/Post Code","Mã bưu điện / bưu điện"
"Country","Quốc gia"
"State/Province","Tiểu bang / tỉnh"
"Signed-up Point","Điểm đăng ký"
"Website","Trang mạng"
"Created At","Tạo ra"
"Add New Account","Thêm tài khoản mới"
"Delete Accounts","Xóa Tài khoản"
"Are you sure you want to delete selected Accounts?","Bạn có chắc chắn muốn xóa các Tài khoản đã Chọn không?"
"Total Commission","Tổng Ủy ban"
"Add New Banner","Thêm Biểu ngữ mới"
"Delete Banners","Xóa Biểu ngữ"
"Are you sure you want to delete selected banners?","Bạn có chắc chắn muốn xóa các biểu ngữ đã chọn?"
"URL","URL"
"Campaign","Chiến dịch"
"Created","Tạo"
"Add New Campaign","Thêm chiến dịch mới"
"Delete Campaigns","Xóa Chiến dịch"
"Are you sure you wan't to delete selected Campaigns?","Bạn có chắc chắn không muốn xóa các Chiến dịch đã Chọn không?"
"Add New Group","Thêm nhóm mới"
"Delete Groups","Xóa các Nhóm"
"Are you sure you want to delete selected groups?","Bạn có chắc chắn muốn xóa các nhóm đã chọn không?"
"Add New Transaction","Thêm giao dịch mới"
"Complete Transactions","Hoàn tất Giao dịch"
"Are you sure you want to complete selected transactions?","Bạn có chắc chắn muốn hoàn tất giao dịch được chọn không?"
"Cancel Transactions","Hủy giao dịch"
"Are you sure you want to cancel selected Transactions?","Bạn có chắc chắn muốn hủy các Giao dịch đã Chọn không?"
"Action Type","Loại hành động"
"Amount Used","Số tiền sử dụng"
"Amount Hold","Số tiền Giữ"
"Current Balance","Số dư hiện tại"
"Store","Cửa hàng"
"Holding Date","Giữ ngày"
"Add New Withdraw","Thêm việc rút lại mới"
"Approve","Tán thành"
"Approve Withdraws","Chấp thuận rút"
"Are you sure you want to approve selected Withdraws?","Bạn có chắc chắn muốn chấp thuận các khoản rút tiền đã chọn không?"
"Cancel Withdraws","Huỷ bỏ"
"Are you sure you want to cancel selected Withdraws?","Bạn có chắc chắn muốn hủy bỏ rút tiền đã chọn?"
"Transaction ID","ID giao dịch"
"Transferred","Chuyển"
"Account Dashboard","Trang tổng quan tài khoản"
"Home","Nhà"
"Signup","Đăng ký"
"Refer Friend","Giới thiệu bạn bè"
"Setting","Cài đặt"
