"Affiliate Banners","會員橫幅"
"Preview","預習"
"Copy and past this source code into your website or forum.","將此源代碼複製並通過您的網站或論壇。"
"No banner available","沒有橫幅可用"
"Credit Information","信用信息"
"Created Date","創建日期"
"No transaction found!","沒有發現交易！"
"Referral Url and Code","推薦網址和代碼"
"Refer Url","參考網址"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","訪問此URL的引用在註冊或下訂單時將作為引用連接。"
"Refer Code","參考代碼"
"Referrals should enter the code in Coupon form at shopping cart page.","推薦人應在購物車頁面輸入優惠券表格中的代碼。"
"Refer Email","參考電子郵件"
"Referrals can enter your e-mail address when signing up affiliate account.","推薦人可以在註冊會員帳戶時輸入您的電子郵件地址。"
"Referral Via Social Networks","通過社交網絡轉介"
"Send Invitation","發送邀請"
"Enter your friends' emails separated by comma","輸入您的朋友的電子郵件，用逗號分隔"
"Add from Address Book","從地址簿添加"
"Subject","學科"
"Your message","你的信息"
"Short Message","短消息"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}}將由您的朋友姓名替換為基於電子郵件帳戶。你不應該編輯它，直到你知道你在做什麼。"
"Send","發送"
"Affiliate Subscriptions","會員訂閱"
"Receive affiliate email.","接收會員電子郵件。"
"Affiliate Information","會員信息"
"Customer email or Affiliate code","客戶電子郵件或會員代碼"
"Create an Account","創建一個帳戶"
"Request Withdraw","請求撤回"
"Request Amount","請求金額"
"Select Payment Method","選擇付款方式"
"Withdraw Policy","提款政策"
"Send Request","發送請求"
"Paypal Email Associate","Paypal電子郵件助理"
"Paypal Email Address","Paypal電子郵件地址"
"Withdraw History","提款歷史"
"Requested Date","申請日期"
"Withdraw Method","提款方式"
"View","視圖"
"Are you sure you want to cancel this withdraw?","你確定要取消這個撤回嗎？"
"No withdraw found!","沒有撤回發現！"
"Requested Amount","要求金額"
"Net. Amount","淨。量"
"Resolve Date","解決日期"
"Back","背部"
"%1 for first order.","%1用於第一個訂單。"
"%1 of Order Total for first order.","第一批訂單總額為%1。"
"%1 of Order Profit for first order.","訂單利潤的%1。"
"%1 for next orders.","%1用於下一個訂單。"
"%1 of Order Total for next orders.","下一個訂單的訂單總額為%1。"
"%1 of Order Profit for next orders.","下一訂單的訂單利潤為%1。"
"Discount policy","折扣政策"
"Valid Date","有效日期"
"Always","總是"
"from","從"
"to","至"
"Affiliate account approved","會員帳戶已批准"
"%name,","%name，"
"Welcome to our Affiliate program.","歡迎來到我們的聯盟計劃。"
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","您的會員帳戶已獲得批准，並開始與聯盟計劃的突出特點。"
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","會員是完美和有趣的Magento擴展，似乎是商業模式，您可以在其中擔任合作者的角色。您可以向賣家的產品推薦其他客戶，然後為自己做大購物。這是互聯網上賺錢的方法，儘管您不需要任何產品或私人網站。"
"Specially, you will receive the typical and wonderful benefits following as:","特別地，您將獲得以下典型和奇妙的好處："
"Earning commission","收入佣金"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","進入會員，只需從賣家網站選擇任何產品，並將產品的種子鏈接到需要它的人員。如果現金購買該項目，您將獲得每個訂單的百分比。"
"Using available template","使用可用的模板"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","此外，您還提供了賣方網站的電子郵件，橫幅，簡報等模板。您將通過這些模板向您的目標客戶發送邀請，這使您可以輕鬆，完美地構建網絡。"
"Tracking history activities","跟踪歷史活動"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","聯盟支持您管理髮送邀請，收件人姓名，利潤等的過程。因此，您可以自己詳細地跟踪您的工作。"
"Giving cash when achieving the target","實現目標時給予現金"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","會員提供有趣的賺錢機會，而您不需要任何產品或服務，您只能通過可用的廣告方式宣傳賣家網站的產品。直到他們的收入達到提供的利率，他們將從他們的帳戶中提款。"
"Thank you again, %store_name","再次謝謝%store_name"
"Welcome to our affiliate program","歡迎來到我們的聯盟計劃"
"When using our affiliate program, you can use basics features in the following:","使用我們的聯屬網絡營銷計劃時，您可以使用以下基本功能："
"Let come to Affiliate program to experience attractive opportunities!","來參加聯盟計劃，體驗迷人的機會！"
"Your balance has been updated!","您的餘額已更新！"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","我們已經更新了您的餘額，以便您可以獲得佣金或付款的相關信息。此電子郵件可幫助您積極控制您的活動。"
"The transaction detail","交易細節"
"Transaction title: %title","交易標題：%title"
"Transaction amount: %amount","交易金額：%amount"
"Transaction status: %status","交易狀態：%status"
"Current balance: %balance","當前餘額：%b對等"
"Withdraw request complete!","提款請求完成！"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","我們想通知您，您在％request_at上創建的撤回請求已經完成。有些時候你會收到錢，這取決於你選擇的付款方式。"
"The withdraw detail","撤回細節"
"Withdraw Id: %withdraw_id","提款ID：％withdraw_id"
"Transfer Amount: %amount","轉賬金額：%a元"
"Request Amount: %amount","請求金額：%amount"
"Tax/fee: %fee","稅/費：%fee"
"Payment Method: %payment","付款方式：%p付款"
"You can check your withdraw by ","你可以檢查你的撤回"
"logging into your account","登錄到您的帳戶"
"Affiliate","加盟"
"General","一般"
"Enable","啟用"
"Cookie Expiration","Cookie到期"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","天）。管理員存儲此程序的Cookie的天數。默認值：365，<a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">更多</a>"
"Allow overriding cookies","允許覆蓋Cookie"
"Allow overriding exist affiliate cookie.","允許覆蓋存在的附屬cookie。"
"Show Affiliate link on","顯示會員鏈接"
"Default page","默認頁面"
"Affiliate homepage content","會員主頁內容"
"Select CMS Static Block.","選擇CMS靜態塊。"
"Display Policy Page","顯示政策頁"
"Select CMS Page for Policy Page","選擇策略頁的CMS頁面"
"Select CMS page","選擇CMS頁面"
"Affiliate URL","會員網址"
"URL Style","網址樣式"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","例如：<br />參數：http://example.com/?<strong>c=123</strong><br />哈希：http：//example.com<strong>#c123</strong>"
"Custom parameter","自定義參數"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","這將在URL中使用，如：？<span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or＃<span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","參數值"
"The length of Affiliate code","會員代碼的長度"
"It should be greater than 3, and smaller than 32. Default is 6.","應大於3，小於32.默認值為6。"
"Account Configuration","帳戶配置"
"Affiliate Sign up","會員註冊"
"Default Affiliate Group","默認會員組"
"Require admin's approval","需要管理員的批准"
"Checked ""Email notification"" by default","默認選中“電子郵件通知”"
"Term and condition","規則與條例"
"Enable Terms and Conditions","啟用條款和條件"
"Checkbox Text","複選框文本"
"Terms and Conditions Title","條款和條件標題"
"Terms and Conditions Content","條款和條件內容"
"Select CMS Block.","選擇CMS塊。"
"Checkbox is checked by default","默認情況下選中復選框"
"Account Balance","賬戶餘額"
"Maximum of Affiliate Balance","最大限度的聯盟餘額"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","會員的最大餘額。如果餘額等於該值，該會員無法獲得佣金。空或零是沒有限制的。"
"Allow negative balance","允許負餘額"
"Commission Configuration","佣金配置"
"Earn commission from tax","從稅收中獲得佣金"
"Earn commission from shipping fee","從運費中賺取佣金"
"Commission calculation process","佣金計算過程"
"Allow Affiliate receiving commission when Invoice created","創建發票時允許會員收到佣金"
"Hold commission transactions for","持有佣金交易"
"Deduct commission from Affiliate's balance when order is refunded/canceled","訂單退還/取消時，從會員的餘額扣除佣金"
"Withdraw Configuration","取款配置"
"Allow withdraw request","允許提款請求"
"Payment Methods","支付方式"
"The minimum balance in affiliate account for requesting withdraw","要求退出的會員帳戶的最低餘額"
"Minimum withdraw amount","最小提款量"
"Include Fee","包括費用"
"Maximum withdraw amount","最大提款量"
"Email Configuration","電子郵件配置"
"Email Sender","電子郵件發件人"
"Account Email","帳戶的電子郵件"
"Send Welcome Email","發送歡迎電郵"
"Welcome Email","歡迎電郵"
"Welcome Email After Account Approved","歡迎電子郵件帳戶批准後"
"This email will be sent instead of welcome email, after approving account.","批准帳戶後，將發送此電子郵件，而不是歡迎電郵。"
"Transaction Email","交易電子郵件"
"Send Transaction Email","發送交易電子郵件"
"Update Balance Email","更新余額電子郵件"
"Withdraw Email","提取電子郵件"
"Send Withdraw Email","發送提取電子郵件"
"Withdraw Complete Email","提取完整的電子郵件"
"Refer Friends Configuration","推薦朋友配置"
"Enable Refer Friends Feature","啟用推薦朋友功能"
"Refer Sharing Email","參考共享電子郵件"
"Default Refer Url","默認參考網址"
"Select block to show referfriend description","選擇阻止以顯示參與者的描述"
"Refer friend homepage content","參考朋友主頁內容"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","使用Cloudsponge檢索電子郵件聯繫人"
"Cloudsponge Key","云密鑰"
"Sending Email Content","發送電子郵件內容"
"Default Email Subject","默認電子郵件主題"
"Default Email Body","默認電子郵件正文"
"Default Message Shared via Social","通過社交分享的默認消息"
"ID","ID"
"Email","電子郵件"
"Phone","電話"
"ZIP/Post Code","郵政編碼"
"Country","國家"
"State/Province","州/省"
"Signed-up Point","註冊點"
"Website","網站"
"Created At","創建於"
"Add New Account","添加新帳號"
"Delete Accounts","刪除帳戶"
"Are you sure you want to delete selected Accounts?","您確定要刪除所選帳戶嗎？"
"Total Commission","總委員會"
"Add New Banner","添加新橫幅"
"Delete Banners","刪除橫幅"
"Are you sure you want to delete selected banners?","您確定要刪除所選橫幅嗎？"
"URL","網址"
"Campaign","運動"
"Created","創建"
"Add New Campaign","添加新廣告系列"
"Delete Campaigns","刪除廣告系列"
"Are you sure you wan't to delete selected Campaigns?","您確定不會刪除所選的廣告系列嗎？"
"Add New Group","添加新組"
"Delete Groups","刪除組"
"Are you sure you want to delete selected groups?","您確定要刪除所選的組嗎？"
"Add New Transaction","添加新交易"
"Complete Transactions","完成交易"
"Are you sure you want to complete selected transactions?","您確定要完成所選交易嗎？"
"Cancel Transactions","取消交易"
"Are you sure you want to cancel selected Transactions?","您確定要取消所選交易嗎？"
"Action Type","動作類型"
"Amount Used","使用量"
"Amount Hold","金額持有"
"Current Balance","當期餘額"
"Store","商店"
"Holding Date","持有日期"
"Add New Withdraw","添加新提取"
"Approve","批准"
"Approve Withdraws","批准撤回"
"Are you sure you want to approve selected Withdraws?","您確定要批准所選的提款嗎？"
"Cancel Withdraws","取消提款"
"Are you sure you want to cancel selected Withdraws?","您確定要取消所選的提款嗎？"
"Transaction ID","交易ID"
"Transferred","轉入"
"Account Dashboard","帳戶信息中心"
"Home","家"
"Signup","註冊"
"Refer Friend","推薦朋友"
"Setting","設置"
