"Affiliate Banners","Συνεργάτες"
"Apply the rule only if the following conditions are met (leave blank for all products)","Εφαρμόστε τον κανόνα μόνο εάν πληρούνται οι ακόλουθες προϋποθέσεις (αφήστε κενό για όλα τα προϊόντα)"
"Condition","Κατάσταση"
"Conditions","Συνθήκες"
"Discounts","Εκπτώσεις"
"Discount","Εκπτωση"
"Apply","Ισχύουν"
"Discount Amount","Ποσό έκπτωσης"
"Apply to Shipping Amount","Εφαρμόστε το ποσό αποστολής"
"Discount Description","Περιγραφή έκπτωσης"
"Save Group","Αποθήκευση ομάδας"
"New Group","Νέα ομάδα"
"Group Information","Πληροφορίες ομάδας"
"Group","Ομάδα"
"label","επιγραφή"
"Reset banner traffic","Επαναφορά της επισκεψιμότητας των banner"
"Save Transaction","Αποθήκευση συναλλαγής"
"New Transaction","Νέα συναλλαγή"
"Please select an affiliate account","Επιλέξτε έναν λογαριασμό θυγατρικών"
"Transaction Information","Πληροφορίες συναλλαγής"
"Amount","Ποσό"
"Add or subtract affiliate's balance. E.g: 99 or -99","Προσθέστε ή αφαιρέστε την ισορροπία θυγατρικών. Π.χ.: 99 ή -99"
"Holding Transaction For","Κράτηση συναλλαγής για"
"Transaction","Συναλλαγή"
"Are you sure you want to cancel this transaction?","Είστε βέβαιοι ότι θέλετε να ακυρώσετε αυτήν τη συναλλαγή;"
"Are you sure you want to complete this transaction?","Είστε βέβαιοι ότι θέλετε να ολοκληρώσετε αυτήν τη συναλλαγή;"
"Complete","Πλήρης"
"View Transaction '%1'","Προβολή συναλλαγής '%1'"
"Affiliate Account","Λογαριασμός θυγατρικών"
"Type","Τύπος"
"Order","Σειρά"
"Created by","Δημιουργήθηκε από"
"This transaction will be holed to","Αυτή η συναλλαγή θα διοχετευτεί σε"
"Created Time","Δημιουργία ώρας"
"Save and Approve","Αποθήκευση και έγκριση"
"Save","Αποθηκεύσετε"
"New Withdraw","Νέα απόσυρση"
"Withdraw Information","Ανάληψη πληροφοριών"
"Include fee.","Συμπεριλάβετε αμοιβή."
"Fee","Τέλη"
"If empty, configuration value will be used.","Εάν είναι άδειο, θα χρησιμοποιηθεί η τιμή διαμόρφωσης."
"Payment Method","Μέθοδος πληρωμής"
"Payment Detail","Λεπτομέρειες πληρωμής"
"Withdraw","Αποσύρω"
"Edit Withdraw '%1'","Επεξεργασία λήψης '%1'"
"Transfer Amount","Ποσό μεταφοράς"
"Real amount will be transfer to affiliate.","Το πραγματικό ποσό θα μεταφερθεί στη θυγατρική."
"Affiliate Discount","Έκπτωση θυγατρικών"
"Please input your friends email address.","Εισαγάγετε τη διεύθυνση ηλεκτρονικού ταχυδρομείου των φίλων σας."
"Saved successfully!","Αποθηκεύτηκε επιτυχώς!"
"Something went wrong while saving the Account.","Κάτι πήγε στραβά κατά την αποθήκευση του λογαριασμού."
"Your account is not active. Please contact us.","Ο λογαριασμός σας δεν είναι ενεργός. Παρακαλώ επικοινωνήστε μαζί μας."
"You have to agree with term and conditions.","Πρέπει να συμφωνείτε με τους όρους και τις προϋποθέσεις."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Συγχαρητήρια! Έχετε εγγραφεί επιτυχώς. Θα ελέγξουμε το λογαριασμό θυγατρικών σας και θα σας ενημερώσουμε μόλις το εγκρίνει!"
"Congratulations! You have successfully registered.","Συγχαρητήρια! Έχετε εγγραφεί επιτυχώς."
"The withdraw has been canceled successfully.","Η ανάκληση ακυρώθηκε με επιτυχία."
"Something went wrong while saving the request.","Κάτι πήγε στραβά κατά την αποθήκευση του αιτήματος."
"Cannot find item.","Δεν είναι δυνατή η εύρεση στοιχείου."
"An error occur. Please contact us.","Παρουσιάζεται σφάλμα. Παρακαλώ επικοινωνήστε μαζί μας."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Το αίτημά σας έχει σταλεί με επιτυχία. Θα εξετάσουμε το αίτημά σας και θα σας ενημερώσουμε μόλις εγκριθεί!"
"Your balance is not enough for request withdraw.","Το υπόλοιπό σας δεν επαρκεί για την απόσυρση του αιτήματος."
"The withdraw amount have to equal or greater than %1","Το ποσό απόσυρσης πρέπει να είναι ίσο ή μεγαλύτερο από %1"
"The withdraw amount have to equal or less than %1","Το ποσό απόσυρσης πρέπει να είναι ίσο ή μικρότερο από %1"
"This account no longer exists.","Αυτός ο λογαριασμός δεν υπάρχει πλέον."
"The Account has been deleted.","Ο λογαριασμός έχει διαγραφεί."
"Account to delete was not found.","Ο λογαριασμός για διαγραφή δεν βρέθηκε."
"Accounts","Λογαριασμοί"
"Edit Account ""%1""","Επεξεργασία λογαριασμού ""%1"""
"A total of %1 record(s) have been deleted.","Έχουν διαγραφεί συνολικά %1 εγγραφές."
"The customer ""%1"" has registed as an affiliate already.","Ο πελάτης ""%1"" έχει καταχωρηθεί ήδη ως συνεργάτης."
"Cannot find account referred.","Δεν είναι δυνατή η εύρεση λογαριασμού."
"The Account has been created successfully.","Ο λογαριασμός δημιουργήθηκε με επιτυχία."
"The Account has been saved successfully.","Ο λογαριασμός έχει αποθηκευτεί με επιτυχία."
"The Banner has been deleted.","Το Διαφήμιση έχει διαγραφεί."
"Something went wrong while deleting banner data. Please review the action log and try again.","Κάτι πήγε στραβά κατά τη διαγραφή δεδομένων πανό. Ελέγξτε το αρχείο καταγραφής ενεργειών και δοκιμάστε ξανά."
"We cannot find a banner to delete.","Δεν μπορούμε να βρούμε ένα banner για διαγραφή."
"This banner no longer exists.","Αυτό το banner δεν υπάρχει πλέον."
"Banners","Διαφήμιση"
"Edit Banner","Επεξεργασία διαφήμισης"
"This banner does not exist.","Αυτό το banner δεν υπάρχει."
"You saved the banner.","Αποθηκεύσατε το πανό."
"We cannot save the banner.","Δεν μπορούμε να αποθηκεύσουμε το πανό."
"This campaign no longer exists.","Αυτή η καμπάνια δεν υπάρχει πλέον."
"The Campaign has been deleted.","Η καμπάνια έχει διαγραφεί."
"Campaign to delete was not found.","Η καμπάνια για διαγραφή δεν βρέθηκε."
"Campaigns","Καμπάνιες"
"Please correct the data sent.","Διορθώστε τα δεδομένα που αποστέλλονται."
"Something went wrong while saving the Campaign.","Κάτι πήγε στραβά κατά την αποθήκευση της καμπάνιας."
"The Campaign has been saved successfully.","Η καμπάνια έχει αποθηκευτεί με επιτυχία."
"Tier","Κερκίδα"
"Groups","Ομάδες"
"Something went wrong while saving the Group.","Κάτι πήγε στραβά κατά την αποθήκευση της ομάδας."
"Cannot remove this group","Δεν είναι δυνατή η κατάργηση αυτής της ομάδας"
"The Group has been created successfully.","Ο Όμιλος έχει δημιουργηθεί με επιτυχία."
"The Transaction has been canceled.","Η συναλλαγή ακυρώθηκε."
"The Transaction has been completed.","Η Συναλλαγή έχει ολοκληρωθεί."
"Transactions","Συναλλαγές"
"View Transaction ""%1""","Προβολή συναλλαγής ""%1"""
"This Transaction no longer exists.","Αυτή η συναλλαγή δεν υπάρχει πλέον."
"A total of %1 record(s) have been canceled.","Έχουν ακυρωθεί συνολικά %1 εγγραφές."
"A total of %1 record(s) have been completed.","Έχουν ολοκληρωθεί συνολικά %1 εγγραφές."
"Account balance is not enough to create this transaction.","Το υπόλοιπο λογαριασμού δεν είναι αρκετό για τη δημιουργία αυτής της συναλλαγής."
"The Transaction has been created.","Η συναλλαγή έχει δημιουργηθεί."
"Something went wrong while saving the Transaction.","Κάτι πήγε στραβά κατά την αποθήκευση της συναλλαγής."
"This withdrawal no longer exists.","Αυτή η απόσυρση δεν υπάρχει πλέον."
"Withdraws","Αναχωρεί"
"Edit Withdraw ""%1""","Επεξεργασία Αναρροφήστε ""%1"""
"Edit Withdraw ""#%1""","Επεξεργασία Αναρροφήστε ""# %1"""
"A total of %1 record(s) have been approved successfully.","Έχουν εγκριθεί συνολικά %1 εγγραφές."
"A total of %1 record(s) have been cancelled.","Έχουν ακυρωθεί συνολικά %1 εγγραφές."
"The Withdraw has been saved.","Η ανάκτηση έχει αποθηκευτεί."
"Something went wrong while saving the Withdraw.","Κάτι πήγε στραβά κατά την αποθήκευση της Ανάληψης."
"My Affiliate","Συνεργάτης μου"
"My Credit (%1)","Η πίστωση μου (%1)"
"Active","Ενεργός"
"Inactive","Αδρανής"
"Need Approved","Χρειάζεται Εγκρίθηκε"
"Enabled","Ενεργοποιήθηκε"
"Disabled","άτομα με ειδικές ανάγκες"
"Percent of cart total","Ποσοστό συνολικού καλαθιού"
"Fixed amount discount for whole cart","Καθορισμένη έκπτωση για ολόκληρο το καλάθι"
"Allow Guest","Επιτρέψτε Guest"
"Affiliate Member Only","Μέλος θυγατρικών μόνο"
"-- Please Select --","-- Παρακαλώ επιλέξτε --"
"Category page","Σελίδα κατηγορίας"
"Product page","Σελίδα προϊόντος"
"Footer Link","Υποσέλιδο υποσέλιδου"
"Top Link","Κορυφή Σύνδεσμος"
"Affiliate ID","Αναγνωριστικό θυγατρικών"
"Affiliate Code","Κωδικός θυγατρικών"
"Hash","Χασίσι"
"Parameter","Παράμετρος"
"Address","Διεύθυνση"
"Paypal Email","Paypal Email"
"Transaction Id","Ταυτότητα συναλλαγής"
"Affiliate Campaign","Εκστρατεία θυγατρικών"
"Campaign %1","Καμπάνια %1"
"Affiliate account must be existed.","Ο λογαριασμός θυγατρικών πρέπει να υπάρχει."
"Transaction amount cannot be zero.","Το ποσό της συναλλαγής δεν μπορεί να είναι μηδέν."
"Account balance has been reached the limit. Please contact to store owner.","Το υπόλοιπο του λογαριασμού έχει φτάσει στο όριο. Επικοινωνήστε με τον ιδιοκτήτη καταστήματος."
"Invalid transaction data for canceling.","Μη έγκυρα δεδομένα συναλλαγών για την ακύρωση."
"Account balance is not enough for canceling.","Το υπόλοιπο λογαριασμού δεν επαρκεί για την ακύρωση."
"Invalid transaction data to complete.","Μη ολοκληρωμένα δεδομένα συναλλαγών."
"Maximum amount allowed in account balance is %1.","Το μέγιστο επιτρεπόμενο ποσό στο υπόλοιπο του λογαριασμού είναι %1."
"Action model is invalid for %1","Το μοντέλο ενέργειας δεν είναι έγκυρο για το %1"
"Changed by Admin","Αλλαγή από Admin"
"Get commission for order %1","Λάβετε προμήθεια για την παραγγελία %1"
"Taken back commission for refunding order %1","Ανακτηθεί προμήθεια για την επιστροφή της παραγγελίας %1"
"Subtract balance for withdraw request","Αφαίρεση υπολοίπου για αίτημα απόσυρσης"
"On Hold","Σε κράτηση"
"Completed","Ολοκληρώθηκε το"
"Cancelled","Ακυρώθηκε"
"Commission","Επιτροπή"
"Paid","επί πληρωμή"
"Admin","διαχειριστής"
"The amount request is not enough to pay for fee.","Η αίτηση ποσού δεν αρκεί για την πληρωμή αμοιβής."
"Cannot create transaction for this withdraw.","Δεν είναι δυνατή η δημιουργία συναλλαγής για αυτή την απόσυρση."
"Invalid withdraw data for canceling.","Μη έγκυρη ανάκληση δεδομένων για ακύρωση."
"Invalid withdraw data for approved.","Μη έγκυρη ανάκληση δεδομένων για εγκεκριμένα."
"Pending","εκκρεμής"
"The Account has been saved.","Ο λογαριασμός έχει αποθηκευτεί."
"Affiliate Welcome homepage content","Affiliate Welcome homepage content"
"Affiliate referfriend description","Περιγραφή φίλου θυγατρικών"
"Affiliate terms & conditions","Όροι και προϋποθέσεις θυγατρικών"
"Delete ""%1""","Διαγραφή ""%1"""
"Are you sure?","Είσαι σίγουρος?"
"Type (1st Order)","Τύπος (1η σειρά)"
"Value (1st Order)","Τιμή (1η σειρά)"
"Type (Next orders)","Τύπος (επόμενες παραγγελίες)"
"Value (Next orders)","Τιμή (επόμενες παραγγελίες)"
"Action","Δράση"
"Add","Προσθέτω"
"Delete","Διαγράφω"
"No","Οχι"
"Yes","Ναί"
"Link","Σύνδεσμος"
"Preview","Προεπισκόπηση"
"Copy and past this source code into your website or forum.","Αντιγράψτε και περάστε τον πηγαίο κώδικα στον ιστότοπο ή στο φόρουμ σας."
"No banner available","Δεν υπάρχει διαθέσιμο πανό"
"Credit Information","Πιστωτικές πληροφορίες"
"Created Date","Ημερομηνία δημιουργίας"
"No transaction found!","Δεν βρέθηκε συναλλαγή!"
"Referral Url and Code","Διεύθυνση URL και κώδικα παραπομπής"
"Refer Url","Ανατρέξτε στην Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Οι παραπομπές που έχουν πρόσβαση σε αυτήν τη διεύθυνση URL συνδέονται ως παραπομπές μόλις εγγραφούν ή τοποθετήσουν μια παραγγελία."
"Refer Code","Ανατρέξτε στον κώδικα"
"Referrals should enter the code in Coupon form at shopping cart page.","Οι παραπομπές θα πρέπει να εισάγουν τον κωδικό σε μορφή κουπονιού στη σελίδα του καλαθιού αγορών."
"Refer Email","Ανατρέξτε στο Email"
"Referrals can enter your e-mail address when signing up affiliate account.","Οι παραπομπές μπορούν να εισαχθούν στη διεύθυνση ηλεκτρονικού ταχυδρομείου σας κατά την εγγραφή του λογαριασμού θυγατρικών."
"Referral Via Social Networks","Παραπομπή μέσω κοινωνικών δικτύων"
"Send Invitation","Στελνω ΠΡΟΣΚΛΗΣΗ"
"Enter your friends' emails separated by comma","Εισαγάγετε τα μηνύματα ηλεκτρονικού ταχυδρομείου των φίλων σας χωρισμένα με κόμμα"
"Add from Address Book","Προσθήκη από το βιβλίο διευθύνσεων"
"Subject","Θέμα"
"Your message","Το μήνυμά σου"
"Short Message","Σύντομο μήνυμα"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","Το {{friend_name}} θα αντικατασταθεί από το όνομα του φίλου σας με βάση το λογαριασμό ηλεκτρονικού ταχυδρομείου. Δεν πρέπει να το επεξεργαστείτε μέχρι να ξέρετε τι κάνετε."
"Send","Στείλετε"
"Affiliate Subscriptions","Συνδρομές θυγατρικών"
"Receive affiliate email.","Λήψη ηλεκτρονικού ταχυδρομείου θυγατρικών."
"Affiliate Information","Πληροφορίες θυγατρικών"
"Customer email or Affiliate code","Ηλεκτρονικό ταχυδρομείο πελάτη ή κωδικό θυγατρικών"
"Create an Account","Δημιουργία λογαριασμού"
"Request Withdraw","Αίτηση Ανάκληση"
"Request Amount","Αίτημα ποσού"
"Select Payment Method","Επιλέξτε τρόπο πληρωμής"
"Withdraw Policy","Ανάληψη πολιτικής"
"Send Request","Στείλε αίτημα"
"Paypal Email Associate","Συνεργάτης ηλεκτρονικού ταχυδρομείου Paypal"
"Paypal Email Address","Διεύθυνση ηλεκτρονικού ταχυδρομείου Paypal"
"Withdraw History","Ανάληψη ιστορικού"
"Requested Date","Ημερομηνία που ζητήθηκε"
"Withdraw Method","Μέθοδος ανάληψης"
"View","Θέα"
"Are you sure you want to cancel this withdraw?","Είστε βέβαιοι ότι θέλετε να ακυρώσετε αυτή την απόσυρση;"
"No withdraw found!","Δεν βρέθηκε ανάληψη!"
"Requested Amount","Απαιτούμενο ποσό"
"Net. Amount","Καθαρά. Ποσό"
"Resolve Date","Επίλυση της ημερομηνίας"
"Back","Πίσω"
"%1 for first order.","%1 για πρώτη σειρά."
"%1 of Order Total for first order.","%1 της παραγγελίας Σύνολο για πρώτη σειρά."
"%1 of Order Profit for first order.","%1 του Κέρδους Παραγγελίας για πρώτη σειρά."
"%1 for next orders.","%1 για τις επόμενες παραγγελίες."
"%1 of Order Total for next orders.","%1 της παραγγελίας Σύνολο για τις επόμενες παραγγελίες."
"%1 of Order Profit for next orders.","%1 του Παραγγελίας Κέρδος για τις επόμενες παραγγελίες."
"Discount policy","Πολιτική έκπτωσης"
"Valid Date","Εγκυρη ημερομηνία"
"Always","Πάντα"
"from","από"
"to","προς την"
"Affiliate account approved","Ο λογαριασμός θυγατρικών εγκρίθηκε"
"%name,","%name,"
"Welcome to our Affiliate program.","Καλώς ήλθατε στο πρόγραμμα συνεργατών μας."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ο λογαριασμός σας θυγατρικών έχει εγκριθεί και ξεκινήστε με τις εξαιρετικές λειτουργίες του προγράμματος θυγατρικών."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Το Affiliate είναι η τέλεια και ενδιαφέρουσα επέκταση του Magento και φαινόταν να είναι το επιχειρηματικό μοντέλο, όπου έχετε το ρόλο συνεργάτη. Μπορείτε να συστήσετε άλλους πελάτες στα προϊόντα του πωλητή και, στη συνέχεια, να κάνετε ένα μεγάλο κοινό για ψώνια για τον εαυτό σας. Αυτό είναι μέθοδοι κερδίζοντας στο διαδίκτυο, αν και δεν χρειάζεστε κανένα προϊόν ή ιδιωτικό ιστότοπο."
"Specially, you will receive the typical and wonderful benefits following as:","Ειδικά, θα λάβετε τα τυπικά και θαυμάσια οφέλη ως εξής:"
"Earning commission","Προμήθεια κερδών"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Πηγαίνοντας στη θυγατρική, απλά, θα επιλέξετε οποιοδήποτε προϊόν από τον ιστότοπο του πωλητή και τη σύνδεση σπόρων του προϊόντος σε άτομα που το χρειάζονται. Εάν ο παρουσιαστής αγοράσει το στοιχείο, θα λάβετε ποσοστό ανά παραγγελία."
"Using available template","Χρησιμοποιώντας το διαθέσιμο πρότυπο"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Επιπλέον, παρέχονται πρότυπα όπως το ηλεκτρονικό ταχυδρομείο, το banner, τα ενημερωτικά δελτία κ.λπ. από τον ιστότοπο του πωλητή. Θα στείλετε προσκλήσεις στους πελάτες-στόχους σας με αυτά τα πρότυπα, πράγμα που σας κάνει να φτιάξετε το δίκτυο εύκολα και τέλεια."
"Tracking history activities","Παρακολούθηση δραστηριοτήτων ιστορικού"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Ο συνεργάτης σας υποστηρίζει να διαχειριστείτε τη διαδικασία αποστολής προσκλήσεων, το όνομα του παραλήπτη, το κέρδος τους κλπ. Ως εκ τούτου, μπορείτε να ακολουθήσετε το έργο σας λεπτομερώς μόνοι σας."
"Giving cash when achieving the target","Δίνοντας μετρητά κατά την επίτευξη του στόχου"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Οι συνεργάτες σας δίνουν ενδιαφέρουσες πιθανότητες να κερδίσουν χρήματα, ενώ δεν χρειάζεστε προϊόντα ή υπηρεσίες, διαφημίζετε μόνο το προϊόν του ιστότοπου του πωλητή με τις διαθέσιμες μεθόδους διαφήμισης. Μέχρι να φτάσουν τα έσοδά τους στα προσφερόμενα επιτόκια, θα αποσύρουν χρήματα από τους λογαριασμούς τους."
"Thank you again, %store_name","Σας ευχαριστούμε και πάλι, %store_name"
"Welcome to our affiliate program","Καλώς ήλθατε στο πρόγραμμα θυγατρικών μας"
"When using our affiliate program, you can use basics features in the following:","Όταν χρησιμοποιείτε το πρόγραμμα θυγατρικών μας, μπορείτε να χρησιμοποιήσετε τις βασικές λειτουργίες στα ακόλουθα:"
"Let come to Affiliate program to experience attractive opportunities!","Ας έρθει στο πρόγραμμα θυγατρικών για να βιώσετε ελκυστικές ευκαιρίες!"
"Your balance has been updated!","Το υπόλοιπό σας έχει ενημερωθεί!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Έχουμε ενημερώσει το υπόλοιπο για εσάς, ώστε να μπορείτε να έχετε σχετικές πληροφορίες της προμήθειας σας ή να πληρώσετε. Αυτό το μήνυμα ηλεκτρονικού ταχυδρομείου σας βοηθά να ελέγχετε ενεργά τις δραστηριότητές σας."
"The transaction detail","Οι λεπτομέρειες της συναλλαγής"
"Transaction title: %title","Τίτλος συναλλαγής: %title"
"Transaction amount: %amount","Ποσό συναλλαγής: %aγια"
"Transaction status: %status","Κατάσταση συναλλαγής: %sτης κατάστασης"
"Current balance: %balance","Τρέχον υπόλοιπο: %bαναφορά"
"Withdraw request complete!","Η αίτηση απόσυρσης ολοκληρώθηκε!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Θα θέλαμε να σας ενημερώσουμε ότι το αίτημά σας απόσυρσης που δημιουργήθηκε στο% request_at έχει ολοκληρωθεί. Θα λάβετε χρήματα μετά από μερικές ημέρες, ανάλογα με τη μέθοδο πληρωμής που επιλέγετε."
"The withdraw detail","Η απόσυρση των λεπτομερειών"
"Withdraw Id: %withdraw_id","Απόσυρση Id:% withdraw_id"
"Transfer Amount: %amount","Ποσό μεταφοράς: %aγια"
"Request Amount: %amount","Ποσό Αίτησης: %aγια"
"Tax/fee: %fee","Φόρος / αμοιβή: %fee"
"Payment Method: %payment","Τρόπος πληρωμής: %pπληρωμή"
"You can check your withdraw by ","Μπορείτε να ελέγξετε την απόσυρσή σας"
"logging into your account","Συνδεθείτε στο λογαριασμό σας"
"Affiliate","Υιοθετώ"
"General","Γενικός"
"Enable","επιτρέπω"
"Cookie Expiration","Λήξη Cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","ημέρες). Ο αριθμός των ημερών για το admin για την αποθήκευση των cookies αυτού του προγράμματος. Προεπιλογή: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">αποσπάστε περισσότερα</a>"
"Allow overriding cookies","Να επιτρέπεται η εμφάνιση κύριων cookies"
"Allow overriding exist affiliate cookie.","Να επιτρέπεται η ύπαρξη υπερισχύοντος cookie θυγατρικών."
"Show Affiliate link on","Εμφάνιση του συνδέσμου θυγατρικών στο"
"Default page","Προεπιλεγμένη σελίδα"
"Affiliate homepage content","Περιεχόμενο αρχικής σελίδας θυγατρικών"
"Select CMS Static Block.","Επιλέξτε CMS Static Block."
"Display Policy Page","Εμφάνιση σελίδας πολιτικής"
"Select CMS Page for Policy Page","Επιλέξτε σελίδα CMS για τη σελίδα πολιτικής"
"Select CMS page","Επιλέξτε CMS σελίδα"
"Affiliate URL","Διεύθυνση URL συνεργατών"
"URL Style","Στυλ διευθύνσεων URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Π.χ.: <br />Παράμετρο: http://example.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Προσαρμοσμένη παράμετρος"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Αυτό θα χρησιμοποιηθεί σε διευθύνσεις URL όπως: <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Τιμή παραμέτρου"
"The length of Affiliate code","Το μήκος του κωδικού θυγατρικών"
"It should be greater than 3, and smaller than 32. Default is 6.","Θα πρέπει να είναι μεγαλύτερο από 3 και μικρότερο από 32. Το προεπιλεγμένο είναι 6."
"Account Configuration","Διαμόρφωση λογαριασμού"
"Affiliate Sign up","Εγγραφή θυγατρικών"
"Default Affiliate Group","Προεπιλεγμένη ομάδα συνεργατών"
"Require admin's approval","Απαιτείται η έγκριση του διαχειριστή"
"Checked ""Email notification"" by default","Έλεγχος ""Ειδοποίηση ηλεκτρονικού ταχυδρομείου"" από προεπιλογή"
"Term and condition","Οροι και Προϋποθέσεις"
"Enable Terms and Conditions","Ενεργοποίηση Όρων και Προϋποθέσεων"
"Checkbox Text","Κείμενο ελέγχου"
"Terms and Conditions Title","Όροι και προϋποθέσεις Τίτλος"
"Terms and Conditions Content","Όροι και προϋποθέσεις Περιεχόμενο"
"Select CMS Block.","Επιλέξτε CMS Block."
"Checkbox is checked by default","Το πλαίσιο ελέγχου επιλέγεται από προεπιλογή"
"Account Balance","Υπόλοιπο λογαριασμού"
"Maximum of Affiliate Balance","Μέγιστο ισορροπίας συνεργατών"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Το μέγιστο υπόλοιπο της θυγατρικής. Η θυγατρική δεν μπορεί να πάρει προμήθεια εάν η ισορροπία ισούται με αυτήν την αξία. Το κενό ή το μηδέν δεν αποτελεί περιορισμό."
"Allow negative balance","Επιτρέψτε το αρνητικό υπόλοιπο"
"Commission Configuration","Διαμόρφωση της Επιτροπής"
"Earn commission from tax","Κερδίστε προμήθειες από το φόρο"
"Earn commission from shipping fee","Κερδίστε προμήθεια από το τέλος αποστολής"
"Commission calculation process","Διαδικασία υπολογισμού της Επιτροπής"
