"Affiliate Banners","إعلانات بانر التابعة"
"Are you sure you want to cancel this transaction?","هل تريد بالتأكيد إلغاء هذه المعاملة؟"
"Are you sure you want to complete this transaction?","هل تريد بالتأكيد إكمال هذه المعاملة؟"
"Complete","اكتمال"
"View Transaction '%1'","مشاهدة ملف ترانزاكتيون '%1'"
"Affiliate Account","حساب التابع"
"Type","اكتب"
"Order","طلب"
"Created by","صنع من قبل"
"This transaction will be holed to","سيتم حجب هذه الصفقة ل"
"Created Time","خلق الوقت"
"Save and Approve","حفظ والموافقة"
"Save","حفظ"
"New Withdraw","سحب جديد"
"Withdraw Information","سحب المعلومات"
"Include fee.","تضمين رسوم."
"Fee","رسوم"
"If empty, configuration value will be used.","إذا كانت فارغة، سيتم استخدام قيمة التكوين."
"Payment Method","طريقة الدفع او السداد"
"Payment Detail","تفاصيل الدفع"
"Withdraw","سحب"
"Edit Withdraw '%1'","تحرير سحب '%1'"
"Transfer Amount","مبلغ التحويل"
"Real amount will be transfer to affiliate.","سيتم تحويل المبلغ الحقيقي إلى التابعة لها."
"Affiliate Discount","الخصم التابع"
"Please input your friends email address.","يرجى إدخال عنوان بريدك الإلكتروني للأصدقاء."
"Saved successfully!","حفظ بنجاح!"
"Something went wrong while saving the Account.","حدث خطأ ما أثناء حفظ الحساب."
"Your account is not active. Please contact us.","حسابك غير فعال. الرجاء التواصل معنا."
"You have to agree with term and conditions.","عليك أن تتفق مع المصطلح والشروط."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","تهانينا! لقد سجلت بنجاح. سنراجع حسابك التابع ونبلغك بعد الموافقة عليه!"
"Congratulations! You have successfully registered.","تهانينا! لقد سجلت بنجاح."
"The withdraw has been canceled successfully.","تم إلغاء السحب بنجاح."
"Something went wrong while saving the request.","حدث خطأ ما أثناء حفظ الطلب."
"Cannot find item.","لا يمكن العثور على العنصر."
"An error occur. Please contact us.","حدث خطأ. الرجاء التواصل معنا."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","تم ارسال طلبك بنجاح. سنقوم بمراجعة طلبك وإبلاغك بمجرد الموافقة عليه!"
"Your balance is not enough for request withdraw.","رصيدك لا يكفي لسحب الطلب."
"The withdraw amount have to equal or greater than %1","يجب أن يكون مبلغ السحب مساويا أو أكبر من %1"
"The withdraw amount have to equal or less than %1","يجب أن يكون مبلغ السحب مساويا أو أقل من %1"
"This account no longer exists.","هذا الحساب لم يعد موجودا."
"The Account has been deleted.","تم حذف الحساب."
"Account to delete was not found.","لم يتم العثور على حساب للحذف."
"Accounts","حسابات"
"Edit Account ""%1""","تعديل الحساب ""%1"""
"A total of %1 record(s) have been deleted.","تم حذف ما مجموعه %1 من السجلات."
"The customer ""%1"" has registed as an affiliate already.","تم تسجيل العميل ""%1"" كشريك تابع بالفعل."
"Cannot find account referred.","لا يمكن العثور على الحساب المشار إليه."
"The Account has been created successfully.","تم إنشاء الحساب بنجاح."
"The Account has been saved successfully.","تم حفظ الحساب بنجاح."
"The Banner has been deleted.","تم حذف إعلان بانر."
"Something went wrong while deleting banner data. Please review the action log and try again.","حدث خطأ ما أثناء حذف بيانات البانر. يرجى مراجعة سجل الإجراءات وإعادة المحاولة."
"We cannot find a banner to delete.","لا يمكننا العثور على لافتة لحذفها."
"This banner no longer exists.","لم يعد هذا البانر موجودا."
"Banners","لافتات"
"Edit Banner","تعديل بانر"
"This banner does not exist.","هذا البانر غير موجود."
"You saved the banner.","لقد حفظت البانر."
"We cannot save the banner.","لا يمكننا حفظ البانر."
"This campaign no longer exists.","لم تعد هذه الحملة موجودة."
"The Campaign has been deleted.","تم حذف الحملة."
"Campaign to delete was not found.","لم يتم العثور على حملة للحذف."
"Campaigns","حملات"
"Please correct the data sent.","يرجى تصحيح البيانات المرسلة."
"Something went wrong while saving the Campaign.","حدث خطأ ما أثناء حفظ الحملة."
"The Campaign has been saved successfully.","تم حفظ الحملة بنجاح."
"Tier","صف"
"Groups","المجموعات"
"Something went wrong while saving the Group.","حدث خطأ ما أثناء حفظ المجموعة."
"Cannot remove this group","لا يمكن إزالة هذه المجموعة"
"The Group has been created successfully.","تم إنشاء المجموعة بنجاح."
"The Transaction has been canceled.","تم إلغاء المعاملة."
"The Transaction has been completed.","تم الانتهاء من المعاملة."
"Transactions","المعاملات"
"View Transaction ""%1""","عرض المعاملات ""%1"""
"This Transaction no longer exists.","لم تعد هذه المعاملة موجودة."
"A total of %1 record(s) have been canceled.","تم إلغاء ما مجموعه %1 من السجلات."
"A total of %1 record(s) have been completed.","تم إكمال ما مجموعه %1 من السجلات."
"Account balance is not enough to create this transaction.","رصيد الحساب غير كاف لإنشاء هذه المعاملة."
"The Transaction has been created.","تم إنشاء المعاملة."
"Something went wrong while saving the Transaction.","حدث خطأ ما أثناء حفظ المعاملة."
"This withdrawal no longer exists.","هذا الانسحاب لم يعد موجودا."
"Withdraws","ينسحب"
"Edit Withdraw ""%1""","تحرير السحب ""%1"""
"Edit Withdraw ""#%1""","تحرير السحب ""# %1"""
"A total of %1 record(s) have been approved successfully.","تمت الموافقة على ما مجموعه %1 من السجلات بنجاح."
"A total of %1 record(s) have been cancelled.","تم إلغاء ما مجموعه %1 من السجلات."
"The Withdraw has been saved.","تم حفظ السحب."
"Something went wrong while saving the Withdraw.","حدث خطأ ما أثناء حفظ عملية السحب."
"My Affiliate","بلدي الشريك"
"My Credit (%1)","رصيدي (%1)"
"Active","نشيط"
"Inactive","غير نشط"
"Need Approved","تحتاج الموافقة"
"Enabled","تمكين"
"Disabled","معاق"
"Percent of cart total","النسبة المئوية لإجمالي السلة"
"Fixed amount discount for whole cart","خصم مبلغ ثابت لكامل العربة"
"Allow Guest","السماح بالضيف"
"Affiliate Member Only","العضو المنتسب فقط"
"-- Please Select --","- من فضلك اختر -"
"Category page","صفحة الفئة"
"Product page","صفحة المنتج"
"Footer Link","رابط تذييل الصفحة"
"Top Link","الرابط العلوي"
"Affiliate ID","الهوية التابعة"
"Affiliate Code","رمز المعاملة"
"Hash","مزيج"
"Parameter","معامل"
"Address","عنوان"
"Paypal Email","بريد باي بال"
"Transaction Id","معرف المعاملة"
"Affiliate Campaign","حملة تابعة"
"Campaign %1","الحملة %1"
"Affiliate account must be existed.","يجب أن يكون الحساب التابع تابعا."
"Transaction amount cannot be zero.","لا يمكن أن يكون مبلغ المعاملة صفرا."
"Account balance has been reached the limit. Please contact to store owner.","تم الوصول إلى رصيد الحساب إلى الحد الأقصى. يرجى الاتصال بمالك المتجر."
"Invalid transaction data for canceling.","بيانات المعاملات غير صالحة للإلغاء."
"Account balance is not enough for canceling.","رصيد الحساب لا يكفي لإلغائه."
"Invalid transaction data to complete.","اكتملت بيانات المعاملة غير الصالحة."
"Maximum amount allowed in account balance is %1.","الحد الأقصى للمبلغ المسموح به في رصيد الحساب هو %1."
"Action model is invalid for %1","نموذج الإجراء غير صالح ل %1"
"Changed by Admin","تم التغيير بواسطة المشرف"
"Get commission for order %1","احصل على عمولة للطلب %1"
"Taken back commission for refunding order %1","تم استرداد العمولة لاسترداد الطلب %1"
"Subtract balance for withdraw request","طرح رصيد طلب السحب"
"On Hold","في الانتظار"
"Completed","منجز"
"Cancelled","تم الالغاء"
"Commission","عمولة"
"Paid","دفع"
"Admin","مشرف"
"The amount request is not enough to pay for fee.","طلب المبلغ لا يكفي لدفع رسوم."
"Cannot create transaction for this withdraw.","لا يمكن إنشاء معاملة لهذا السحب."
"Invalid withdraw data for canceling.","بيانات سحب غير صالحة للإلغاء."
"Invalid withdraw data for approved.","بيانات سحب غير صالحة للموافقة عليها."
"Pending","قيد الانتظار"
"The Account has been saved.","تم حفظ الحساب."
"Affiliate Welcome homepage content","أفيليات ولكم هوميباج كونتنت"
"Affiliate referfriend description","وصف شريك التابعة لها"
"Affiliate terms & conditions","شروط وشروط التابعة"
"Delete ""%1""","حذف ""%1"""
"Are you sure?","هل أنت واثق؟"
"Type (1st Order)","النوع (الطلب الأول)"
"Value (1st Order)","القيمة (الدرجة الأولى)"
"Type (Next orders)","النوع (الأوامر التالية)"
"Value (Next orders)","القيمة (الأوامر التالية)"
"Action","عمل"
"Add","إضافة"
"Delete","حذف"
"No","لا"
"Yes","نعم فعلا"
"Link","حلقة الوصل"
"Preview","معاينة"
"Copy and past this source code into your website or forum.","انسخ شفرة المصدر هذه في موقع الويب أو المنتدى."
"No banner available","لا راية المتاحة"
"Credit Information","معلومات الائتمان"
"Created Date","تاريخ الإنشاء"
"No transaction found!","لم يتم العثور على أية معاملة!"
"Referral Url and Code","عنوان ورل للإحالة والرمز"
"Refer Url","يرجى الرجوع إلى عنوان ورل"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","يتم توصيل الإحالات التي تدخل إلى عنوان ورل هذا كإحالات بمجرد الاشتراك أو تقديم طلب."
"Refer Code","راجع الرمز"
"Referrals should enter the code in Coupon form at shopping cart page.","يجب أن تدخل الإحالات الرمز في نموذج قسيمة في صفحة سلة التسوق."
"Refer Email","ارجع إلى البريد الإلكتروني"
"Referrals can enter your e-mail address when signing up affiliate account.","يمكن الإحالات إدخال عنوان البريد الإلكتروني الخاص بك عند الاشتراك حساب التابعة لها."
"Referral Via Social Networks","الإحالة عبر الشبكات الاجتماعية"
"Send Invitation","إرسال دعوة"
"Enter your friends' emails separated by comma","أدخل رسائل البريد الإلكتروني لأصدقائك مفصولة بفواصل"
"Add from Address Book","إضافة من دفتر العناوين"
"Subject","موضوع"
"Your message","رسالتك"
"Short Message","رسالة قصيرة"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} سيتم استبدال اسم صديقك استنادا إلى حساب البريد الإلكتروني. يجب عليك عدم تحريره حتى تعرف ما تفعله."
"Send","إرسال"
"Affiliate Subscriptions","الاشتراكات التابعة"
"Receive affiliate email.","تلقي البريد الإلكتروني التابع."
"Affiliate Information","المعلومات التابعة"
"Customer email or Affiliate code","البريد الإلكتروني للعميل أو الشريك التابع"
"Create an Account","انشئ حساب"
"Request Withdraw","طلب سحب"
"Request Amount","طلب المبلغ"
"Select Payment Method","اختار طريقة الدفع"
"Withdraw Policy","سحب السياسة"
"Send Request","ارسل طلب"
"Paypal Email Associate","بايبال البريد الإلكتروني مشارك"
"Paypal Email Address","عنوان البريد الإلكتروني لبيبال"
"Withdraw History","سحب السجل"
"Requested Date","التاريخ المطلوب"
"Withdraw Method","سحب الأسلوب"
"View","رأي"
"Are you sure you want to cancel this withdraw?","هل تريد بالتأكيد إلغاء هذا السحب؟"
"No withdraw found!","لم يتم العثور على سحب!"
"Requested Amount","الكمية المطلوبة"
"Net. Amount","شبكة. كمية"
"Resolve Date","حل التاريخ"
"Back","الى الخلف"
"%1 for first order.","%1 للطلب الأول."
"%1 of Order Total for first order.","%1 من إجمالي الطلب من الدرجة الأولى."
"%1 of Order Profit for first order.","%1 من ترتيب الربح من الدرجة الأولى."
"%1 for next orders.","%1 للأوامر التالية."
"%1 of Order Total for next orders.","%1 من إجمالي الطلب للأوامر القادمة."
"%1 of Order Profit for next orders.","%1 من ترتيب الربح للأوامر القادمة."
"Discount policy","سياسة الخصم"
"Valid Date","تاريخ صالح"
"Always","دائما"
"from","من عند"
"to","إلى"
"Affiliate account approved","تمت الموافقة على حساب الشريك التابع"
"%name,","%name،"
"Welcome to our Affiliate program.","مرحبا بكم في برنامج الشريك التابع لنا."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","تمت الموافقة على حساب الشريك التابع لك والسماح ببدء الميزات المميزة لبرنامج الشركاء التابعين."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","الشريك هو امتداد الماجنتو المثالي والمثيرة للاهتمام ويبدو أن يكون نموذج الأعمال التجارية، حيث لديك دور المتعاونين. يمكنك يوصي العملاء الآخرين لمنتجات البائع، ومن ثم جعل الجمهور التسوق كبيرة لنفسك. هذا هو كسب وسائل على الانترنت على الرغم من أنك لا تحتاج إلى أي منتج أو موقع خاص."
"Specially, you will receive the typical and wonderful benefits following as:","خصيصا، سوف تتلقى فوائد نموذجية ورائعة التالية:"
"Earning commission","لجنة الأرباح"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","القادمة إلى التابعة لها، ببساطة، سوف تختار أي منتج من موقع البائع، والبذور رابط المنتج للناس في حاجة إليها. إذا كان كونتينتي شراء هذا البند، سوف تحصل على نسبة لكل أمر."
"Using available template","استخدام القالب المتاح"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","وبالإضافة إلى ذلك، يتم توفير لكم قوالب مثل البريد الإلكتروني، لافتة، والنشرات الإخبارية، وما إلى ذلك من قبل موقع البائع. سوف ترسل دعوات للعملاء المستهدفين من خلال هذه القوالب، مما يجعلك بناء الشبكة بسهولة وبشكل كامل."
"Tracking history activities","تتبع أنشطة التاريخ"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","الشريك يدعم لك لإدارة عملية إرسال الدعوة، اسم المستلم، أرباحهم، الخ ولذلك، يمكنك متابعة عملك بشكل مفصل من قبل أنفسهم."
"Giving cash when achieving the target","إعطاء النقدية عند تحقيق الهدف"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","الشريك يعطي فرص مثيرة للاهتمام لكسب المال في حين كنت لا تحتاج إلى أي منتجات أو خدمات، كنت فقط الإعلان عن المنتج من موقع البائع من خلال وسائل الإعلان المتاحة. حتى يحصلوا على دخلهم يصلون إلى الأسعار المعروضة، فسوف يسحبون الأموال من حساباتهم."
"Thank you again, %store_name","شكرا لك مرة أخرى، %store_name"
"Welcome to our affiliate program","مرحبا بكم في برنامج التابعة لدينا"
"When using our affiliate program, you can use basics features in the following:","عند استخدام البرنامج التابع لدينا، يمكنك استخدام الميزات الأساسية في ما يلي:"
"Let come to Affiliate program to experience attractive opportunities!","دعونا نأتي إلى برنامج التابعة لتجربة فرص جذابة!"
"Your balance has been updated!","تم تحديث رصيدك!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","قمنا بتحديث التوازن بالنسبة لك بحيث يمكن أن يكون المعلومات ذات الصلة من عمولتك أو المدفوعة. تساعدك هذه الرسالة الإلكترونية في التحكم في أنشطتك بنشاط."
"The transaction detail","تفاصيل الصفقة"
"Transaction title: %title","عنوان المعاملة: %title"
"Transaction amount: %amount","مبلغ المعاملة: %a حساب"
"Transaction status: %status","حالة المعاملة: %s تاتوس"
"Current balance: %balance","الرصيد الحالي: %b التوازن"
"Withdraw request complete!","سحب طلب كامل!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","نود إبلاغك بأن طلب السحب الذي تم إنشاؤه عند٪ request_at قد اكتمل. سوف تتلقى المال بعد بعض أيام اعتمادا على طريقة الدفع التي تختارها."
"The withdraw detail","تفاصيل الانسحاب"
"Withdraw Id: %withdraw_id","معرف السحب:٪ withdraw_id"
"Transfer Amount: %amount","مبلغ التحويل: %a حساب"
"Request Amount: %amount","مبلغ الطلب: %a حساب"
"Tax/fee: %fee","الضريبة / الرسوم: %fee"
"Payment Method: %payment","طريقة الدفع: %p الدفع"
"You can check your withdraw by ","يمكنك التحقق من سحب من قبل"
"logging into your account","تسجيل الدخول إلى حسابك"
"Affiliate","انضم"
"General","جنرال لواء"
"Enable","مكن"
"Cookie Expiration","انتهاء صلاحية ملف تعريف الارتباط"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","أيام). عدد أيام المشرف لتخزين ملفات تعريف الارتباط لهذا البرنامج. الافتراضي: 365، <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank""> اعرف المزيد </a>"
"Allow overriding cookies","السماح بتجاوز ملفات تعريف الارتباط"
"Allow overriding exist affiliate cookie.","السماح بالتجاوز موجودة لملف تعريف الارتباط التابع."
"Show Affiliate link on","عرض رابط الشركاء التابعين"
"Default page","صفحة اولية"
"Affiliate homepage content","محتوى الصفحة الرئيسية التابعة"
"Select CMS Static Block.","حدد كمس ثابت كتلة."
"Display Policy Page","صفحة سياسة العرض"
"Select CMS Page for Policy Page","حدد صفحة كمس لصفحة السياسة"
"Select CMS page","حدد صفحة كمس"
"Affiliate URL","عنوان ورل التابع"
"URL Style","نمط عنوان ورل"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","على سبيل المثال: <br /> الباراميتر: http://example.com/؟<strong>c=123</strong><br /> هاش: هتب: //example.com<strong>#c123</strong>"
"Custom parameter","المعلمة المخصصة"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","سيتم استخدام هذا في عنوان ورل مثل: <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","قيمة المعلمة"
"The length of Affiliate code","طول الشريك التابع"
"It should be greater than 3, and smaller than 32. Default is 6.","يجب أن يكون أكبر من 3، وأصغر من 32. الافتراضي هو 6."
"Account Configuration","تكوين الحساب"
"Affiliate Sign up","الاشتراك التابعة"
"Default Affiliate Group","المجموعة التابعة الافتراضية"
"Require admin's approval","يتطلب موافقة المشرف"
"Checked ""Email notification"" by default","تم التحقق من ""إشعار البريد الإلكتروني"" بشكل افتراضي"
"Term and condition","الأحكام والشروط"
"Enable Terms and Conditions","تمكين البنود والشروط"
"Checkbox Text","مربع النص"
"Terms and Conditions Title","الشروط والأحكام العنوان"
"Terms and Conditions Content","الشروط والأحكام المحتوى"
"Select CMS Block.","حدد كمس بلوك."
"Checkbox is checked by default","يتم تحديد مربع الاختيار افتراضيا"
"Account Balance","رصيد الحساب"
"Maximum of Affiliate Balance","الحد الأقصى لرصيد التابع"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","أقصى رصيد للشريك التابع. لا يمكن للهيئة التابعة الحصول على عمولة إذا كان الرصيد يساوي هذه القيمة. فارغة أو صفر لا قيود."
"Allow negative balance","السماح بالرصيد السلبي"
"Commission Configuration","تكوين اللجنة"
"Earn commission from tax","كسب عمولة من الضرائب"
"Earn commission from shipping fee","كسب عمولة من رسوم الشحن"
"Commission calculation process","عملية حساب اللجنة"
"Allow Affiliate receiving commission when Invoice created","السماح باللجنة التابعة عند استلام الفاتورة"
"Hold commission transactions for","عقد معاملات العمولات ل"
"Deduct commission from Affiliate's balance when order is refunded/canceled","خصم العمولة من رصيد الشركة التابعة عند ردها / إلغاؤها"
"Withdraw Configuration","سحب التكوين"
"Allow withdraw request","السماح بطلب السحب"
"Payment Methods","طرق الدفع"
"The minimum balance in affiliate account for requesting withdraw","الحد الأدنى للرصيد في حساب الشركة التابعة لطلب السحب"
"Minimum withdraw amount","الحد الأدنى لسحب المبلغ"
"Include Fee","تشمل الرسوم"
"Maximum withdraw amount","الحد الأقصى لمبلغ السحب"
"Email Configuration","تكوين البريد الإلكتروني"
"Email Sender","مرسل البريد الإلكتروني"
"Account Email","حساب البريد الإلكتروني"
"Send Welcome Email","إرسال بريد إلكتروني للترحيب"
"Welcome Email","مرحبا بك البريد الإلكتروني"
"Welcome Email After Account Approved","مرحبا بك البريد الإلكتروني بعد اعتماد الحساب"
"This email will be sent instead of welcome email, after approving account.","سيتم إرسال هذه الرسالة الإلكترونية بدلا من البريد الإلكتروني الترحيبي، بعد الموافقة على الحساب."
"Transaction Email","البريد الإلكتروني للمعاملات"
"Send Transaction Email","إرسال بريد إلكتروني للمعاملة"
"Update Balance Email","تحديث رصيد البريد الإلكتروني"
"Withdraw Email","سحب البريد الإلكتروني"
"Send Withdraw Email","إرسال سحب البريد الإلكتروني"
"Withdraw Complete Email","سحب البريد الإلكتروني الكامل"
"Refer Friends Configuration","ارجع إلى تهيئة الأصدقاء"
"Enable Refer Friends Feature","تمكين ميزة إحالة الأصدقاء"
"Refer Sharing Email","يرجى الرجوع إلى مشاركة البريد الإلكتروني"
"Default Refer Url","الافتراضي إحالة عنوان ورل"
"Select block to show referfriend description","حدد كتلة لإظهار وصف صديق"
"Refer friend homepage content","الرجوع محتوى صديق الصفحة الرئيسية"
"AddThis.com ID","AddThis.com إد"
"Use Cloudsponge to retrieve email contacts","استخدام كلودسبونج لاسترداد جهات الاتصال البريد الإلكتروني"
"Cloudsponge Key","مفتاح كلودسبونج"
"Sending Email Content","إرسال محتوى البريد الإلكتروني"
"Default Email Subject","عنوان البريد الإلكتروني الافتراضي"
"Default Email Body","هيئة البريد الإلكتروني الافتراضية"
"Default Message Shared via Social","الرسالة الافتراضية تمت مشاركتها عبر الشبكات الاجتماعية"
"ID","هوية شخصية"
"Email","البريد الإلكتروني"
"Phone","هاتف"
"ZIP/Post Code","الرمز البريدي / الرمز البريدي"
"Country","بلد"
"State/Province","الدولة / مقاطعة"
"Signed-up Point","نقطة تسجيل"
"Website","موقع الكتروني"
"Created At","أنشئت في"
"Add New Account","إضافة حساب جديد"
"Delete Accounts","حذف الحسابات"
"Are you sure you want to delete selected Accounts?","هل تريد بالتأكيد حذف الحسابات المحددة؟"
"Total Commission","مجموع اللجنة"
"Add New Banner","إضافة بانر جديد"
"Delete Banners","حذف لافتات"
"Are you sure you want to delete selected banners?","هل تريد بالتأكيد حذف لافتات محددة؟"
"URL","URL"
"Campaign","حملة"
"Created","خلقت"
"Add New Campaign","إضافة حملة جديدة"
"Delete Campaigns","حذف الحملات"
"Are you sure you wan't to delete selected Campaigns?","هل تريد بالتأكيد حذف الحملات المحددة؟"
"Add New Group","إضافة مجموعة جديدة"
"Delete Groups","حذف المجموعات"
"Are you sure you want to delete selected groups?","هل تريد بالتأكيد حذف مجموعات محددة؟"
"Add New Transaction","إضافة معاملة جديدة"
"Complete Transactions","المعاملات الكاملة"
"Are you sure you want to complete selected transactions?","هل تريد بالتأكيد إكمال المعاملات المحددة؟"
"Cancel Transactions","إلغاء المعاملات"
"Are you sure you want to cancel selected Transactions?","هل تريد بالتأكيد إلغاء المعاملات المحددة؟"
"Action Type","نوع الإجراء"
"Amount Used","المبلغ المستخدم"
"Amount Hold","المبلغ عقد"
"Current Balance","الرصيد الحالي"
"Store","متجر"
"Holding Date","تاريخ الحيازة"
"Add New Withdraw","إضافة سحب جديد"
"Approve","يوافق"
"Approve Withdraws","الموافقة على عمليات السحب"
"Are you sure you want to approve selected Withdraws?","هل تريد بالتأكيد الموافقة على عمليات السحب المحددة؟"
"Cancel Withdraws","إلغاء عمليات السحب"
"Are you sure you want to cancel selected Withdraws?","هل تريد بالتأكيد إلغاء عمليات السحب المحددة؟"
"Transaction ID","معرف المعاملة"
"Transferred","نقل"
"Account Dashboard","لوحة حساب"
"Home","الصفحة الرئيسية"
"Signup","سجل"
"Refer Friend","ارجع صديق"
"Setting","ضبط"
