"Affiliate Banners","партнёрская Банэры"
"Invalid withdraw data for canceling.","Invalid вывесці дадзеныя для адмены."
"Invalid withdraw data for approved.","Invalid вывесці дадзеныя для зацвярджэння."
"Pending","у чаканні"
"The Account has been saved.","Лік быў захаваны."
"Affiliate Welcome homepage content","Партнёрскае Сардэчна запрашаем ўтрыманне хатняй старонкі"
"Affiliate referfriend description","Апісанне Партнёрская referfriend"
"Affiliate terms & conditions","Партнёрскія ўмовы і ўмовы"
"Delete ""%1""","Выдаліць «%1»"
"Are you sure?","Вы ўпэўнены?"
"Type (1st Order)","Тып (першы заказ)"
"Value (1st Order)","Значэнне (першы заказ)"
"Type (Next orders)","Тып (наступныя заказы)"
"Value (Next orders)","Значэнне (наступныя заказы)"
"Action","дзеянне"
"Add","дадаваць"
"Delete","выдаляць"
"No","няма"
"Yes","ды"
"Link","спасылка"
"Preview","папярэдні прагляд"
"Copy and past this source code into your website or forum.","Капіраванне і міма гэтага зыходнага кода на свой сайт або форум."
"No banner available","Няма банер даступны"
"Credit Information","інфармацыя аб крэдытаздольнасці"
"Created Date","Дата стварэння"
"No transaction found!","Здзелка не знойдзена!"
"Referral Url and Code","Напрамак Url і код"
"Refer Url","см Url"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Пераходы, што доступ да дадзенага URL звязаны, як Рэфералы разы яны падпісваюць або размясціць заказ."
"Refer Code","см код"
"Referrals should enter the code in Coupon form at shopping cart page.","Пераходаў павінен увесці код у выглядзе купона на старонцы кошыка."
"Refer Email","см Email"
"Referrals can enter your e-mail address when signing up affiliate account.","Пераходы могуць увесці свой адрас электроннай пошты пры рэгістрацыі партнёрскага рахунку."
"Referral Via Social Networks","Рэфералы праз сацыяльныя сеткі"
"Send Invitation","адправіць запрашэнне"
"Enter your friends' emails separated by comma","Калі ласка, увядзіце электронную пошту вашых сяброў праз коску"
"Add from Address Book","Дадаць з адраснай кнігі"
"Subject","прадмет"
"Your message","ваша паведамленне"
"Short Message","кароткае паведамленне"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} будзе заменены на ваша імя аднаго на аснове ўліковага запісу электроннай пошты. Вы не павінны змяніць яго, пакуль вы не ведаеце, што вы робіце."
"Send","паслаць"
"Affiliate Subscriptions","партнёрскія падпіскі"
"Receive affiliate email.","Атрымаць партнёрскую электронную пошту."
"Affiliate Information","партнёрская інфармацыя"
"Customer email or Affiliate code","Адрас электроннай пошты кліента або Партнёрскі код"
"Create an Account","Стварыць уліковы запіс"
"Request Withdraw","запыт Выснова"
"Request Amount","запыт Сума"
"Select Payment Method","Абярыце спосаб аплаты"
"Withdraw Policy","выснову палітыкі"
"Send Request","адправіць запыт"
"Paypal Email Associate","Paypal Email Associate"
"Paypal Email Address","Paypal Адрас электроннай пошты"
"Withdraw History","выснову Гісторыя"
"Requested Date","Запытаная Дата"
"Withdraw Method","выснову метаду"
"View","выгляд"
"Are you sure you want to cancel this withdraw?","Вы ўпэўненыя, што жадаеце адмяніць гэта зняць?"
"No withdraw found!","Ня вывесці знойдзена!"
"Requested Amount","Запытаная сума"
"Net. Amount","Net. сума"
"Resolve Date","рашучасць Дата"
"Back","назад"
"%1 for first order.","%1 для першага парадку."
"%1 of Order Total for first order.","%1 Загад Усяго для першага парадку."
"%1 of Order Profit for first order.","%1 Загад прыбытку для першага парадку."
"%1 for next orders.","%1 для наступных заказаў."
"%1 of Order Total for next orders.","%1 Загад Усяго для наступных заказаў."
"%1 of Order Profit for next orders.","%1 Загад прыбытку для наступных заказаў."
"Discount policy","дысконтная палітыка"
"Valid Date","сапраўды Дата"
"Always","заўсёды"
"from","ад"
"to","у"
"Affiliate account approved","Партнёрскі рахунак зацверджаны"
"%name,","%name,"
"Welcome to our Affiliate program.","Сардэчна запрашаем у нашай партнёрскай праграме."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Ваш партнёрскі рахунак зацверджаны, і хай пачынае з выдатнымі характарыстыкамі Партнёрскай праграмы."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","Партнёрскі з'яўляецца ідэальным і цікавым пашырэннем Magento і быць, здавалася, бізнес-мадэль, дзе ў вас ёсць ролю супрацоўнікаў. Вы можаце рэкамендаваць іншыя кліент прадукты прадаўца, а затым зрабіць вялікую куплю грамадскасць для сябе. Гэта зарабіўшы метады ў Інтэрнэце, хоць вам не патрэбен якой-небудзь прадукт ці прыватны вэб-сайт."
"Specially, you will receive the typical and wonderful benefits following as:","Спецыяльна, вы атрымаеце тыповыя і выдатныя перавагі наступныя, як:"
"Earning commission","налічэнне камісіі"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Прыходзячы да Партнёру, проста, вы будзеце выбіраць любы прадукт з вэб-сайта прадаўца і нашчадкам спасылка прадукту для людзей, якія маюць патрэбу ў яго. Калі атрымальнік падарунку купіць дэталь, вы атрымаеце працэнт за заказ."
"Using available template","Выкарыстоўваючы існуючы шаблон"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Акрамя таго, пастаўляюцца шаблоны, такія як электронная пошта, банер, інфармацыйных бюлетэняў і г.д. па вэб-сайце прадаўца. Вы паслалі запрашэння для вашых мэтавых кліентаў з дапамогай гэтых шаблонаў, што робіць вам пабудаваць сетку лёгка і выдатна."
"Tracking history activities","Адсочванне дзейнасці па гісторыі"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","Партнёрская дапаможа вам кіраваць працэсам адпраўкі запрашэння, імя атрымальніка, іх прыбытак і г.д. Такім чынам, вы можаце сачыць за вашу працу detailedly самі па сабе."
"Giving cash when achieving the target","Прадастаўленне грашовых сродкаў пры дасягненні мэты"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Партнёрская даюць цікавыя шанцы зарабляць грошы, пакуль вам не патрэбныя якія-небудзь прадукты ці паслугі, вы толькі рэкламаваць прадукт вэб-сайт прадаўца з дапамогай даступных метадаў рэкламы. Да іх даход яны зарабляюць дасягнуць прапанаваных ставак, яны будуць здымаць грошы са сваіх рахункаў."
"Thank you again, %store_name","Яшчэ раз дзякуй, %store_name"
"Welcome to our affiliate program","Сардэчна запрашаем да нашай партнёрскай праграме"
"When using our affiliate program, you can use basics features in the following:","Пры выкарыстанні нашай партнёрскай праграмы, вы можаце выкарыстоўваць азам функцыю ў наступным:"
"Let come to Affiliate program to experience attractive opportunities!","Хай прыходзяць да партнёрскай праграме, каб выпрабаваць прывабныя магчымасці!"
"Your balance has been updated!","Ваш баланс быў абноўлены!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Мы абнавілі баланс для вас, так што вы можаце мець адпаведную інфармацыю аб вашай камісіі або аплочаны. Гэты ліст дапаможа вам кантраляваць сваю дзейнасць актыўна."
"The transaction detail","дэталі транзакцыі"
"Transaction title: %title","Назва аперацыі: %title"
"Transaction amount: %amount","Сума ўгоды: %amount"
"Transaction status: %status","Статус здзелкі: %status"
"Current balance: %balance","Бягучы баланс: %balance"
"Withdraw request complete!","Выснову запыту завершаны!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Мы хацелі б паведаміць вам, што ваш запыт адклікаць, які быў створаны ў% request_at быў завершаны. Вы будзеце атрымліваць грошы праз некалькі дзён, у залежнасці ад спосабу аплаты, які вы абралі."
"The withdraw detail","зняць дэталь"
"Withdraw Id: %withdraw_id","Выснову Id:% withdraw_id"
"Transfer Amount: %amount","Перадача Сума: %amount"
"Request Amount: %amount","Запыт Сума: %amount"
"Tax/fee: %fee","Падаткі / плата: %fee"
"Payment Method: %payment","Спосаб аплаты: %payment"
"You can check your withdraw by ","Вы можаце праверыць ваш адысці ад"
"logging into your account","увайшоўшы ў свой рахунак"
"Affiliate","філіял"
"General","агульны"
"Enable","ўключыць"
"Cookie Expiration","Тэрмін дзеяння файла cookie"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","дзень (ёй). Лік дзён для адміністратара, каб захоўваць печыва гэтай праграмы. Па змаўчанні: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>"
"Allow overriding cookies","Дазволіць пераазначэнне печыва"
"Allow overriding exist affiliate cookie.","Дазволіць найважнейшыя існуе партнёрскае печыва."
"Show Affiliate link on","Паказаць партнёрскую спасылку на"
"Default page","Па змаўчанні старонка"
"Affiliate homepage content","ўтрыманне Партнёрская старонку"
"Select CMS Static Block.","Выбар CMS статычны блок."
"Display Policy Page","Адлюстраванне старонкі палітыкі"
"Select CMS Page for Policy Page","Выбар CMS Старонка палітыкі Старонка"
"Select CMS page","Выбар CMS старонкі"
"Affiliate URL","партнёрская URL"
"URL Style","URL Стыль"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Напрыклад: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: HTTP: //example.com<strong>#c123</strong>"
"Custom parameter","карыстацкі параметр"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Гэта будзе выкарыстоўвацца ў URL, такія як: <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","значэнне параметру"
"The length of Affiliate code","Даўжыня Партнёрскі код"
"It should be greater than 3, and smaller than 32. Default is 6.","Яно павінна быць больш, чым 3, і менш 32. Па змаўчанні 6."
"Account Configuration","Настройка ўліковага запісу"
"Affiliate Sign up","партнёрская Зарэгістравацца"
"Default Affiliate Group","Па змаўчанні Партнёрскай групы"
"Require admin's approval","Патрабуецца адабрэнне адміна"
"Checked ""Email notification"" by default","Праверана «Апавяшчэнне па электроннай пошце» па змаўчанні"
"Term and condition","Тэрмін і ўмовы"
"Enable Terms and Conditions","Ўключыць Правілы і ўмовы"
"Checkbox Text","сцяжок Тэкст"
"Terms and Conditions Title","Правілы і ўмовы Назва"
"Terms and Conditions Content","Умовы Змест"
"Select CMS Block.","Выбар CMS Block."
"Checkbox is checked by default","Сцяжок усталяваны па змаўчанні"
"Account Balance","рэшту на рахунку"
"Maximum of Affiliate Balance","Максімальны Партнёрскі баланс"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Максімальны баланс філіяла. Філіял не можа атрымаць камісію, калі баланс роўны гэта значэнне. Пусты або нулявы няма абмежаванняў."
"Allow negative balance","Дазволіць адмоўны баланс"
"Commission Configuration","канфігурацыя камісіі"
"Earn commission from tax","Зарабіць ад падатку"
"Earn commission from shipping fee","Зарабіць ад кошту дастаўкі"
"Commission calculation process","Працэс разліку камісіі"
"Allow Affiliate receiving commission when Invoice created","Дазволіць Партнёрская прыёмнай камісіі пры стварэнні рахункі-фактуры"
"Hold commission transactions for","Утрыманне камісіі за транзакцыі"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Вылічаная камісію з балансу Партнёра калі заказ будзе вернуты / адменены"
"Withdraw Configuration","выснову канфігурацыі"
"Allow withdraw request","Дазволіць адклікаць запыт"
"Payment Methods","спосабы аплаты"
"The minimum balance in affiliate account for requesting withdraw","Мінімальны рэшту на партнёрскі рахунак для запыту адклікаць"
"Minimum withdraw amount","Мінімальная колькасць адклікаць"
"Include Fee","уключыце Плату"
"Maximum withdraw amount","Максімальную колькасць адклікаць"
"Email Configuration","Канфігурацыя E-mail"
"Email Sender","Email адпраўшчыка"
"Account Email","кошт Email"
"Send Welcome Email","Адправіць e-mail Сардэчна запрашаем"
"Welcome Email","Сардэчна запрашаем E-mail"
"Welcome Email After Account Approved","Сардэчна запрашаем E-mail Пасля пацверджанага акаўнта"
"This email will be sent instead of welcome email, after approving account.","Гэты адрас электроннай пошты будзе дасланы замест прывітання па электроннай пошце, пасля адабрэння акаўнта."
"Transaction Email","транзакцыя Email"
"Send Transaction Email","Адправіць на e-mail Transaction"
"Update Balance Email","Абнаўленне балансу Email"
"Withdraw Email","выснову Email"
"Send Withdraw Email","Адправіць на e-mail Выснова"
"Withdraw Complete Email","Выснову Complete Email"
"Refer Friends Configuration","См Сябры канфігурацыі"
"Enable Refer Friends Feature","Ўключыць Глядзі Сябры Feature"
"Refer Sharing Email","См Sharing e-mail"
"Default Refer Url","Default Глядзі Url"
"Select block to show referfriend description","Выберыце блок, каб паказаць апісанне referfriend"
"Refer friend homepage content","См ўтрыманне хатняй старонкі сябра"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Выкарыстоўвайце Cloudsponge для атрымання паведамленняў электроннай пошты кантактаў"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","Адпраўка па электроннай пошце Змест"
"Default Email Subject","Па змаўчанні E-mail Тэма"
"Default Email Body","Па змаўчанні Email Body"
"Default Message Shared via Social","Па змаўчанні Паведамленне Shared па сацыяльных"
"ID","ID"
"Email","E-mail"
"Phone","тэлефон"
"ZIP/Post Code","ZIP / Паштовы індэкс"
"Country","краіна"
"State/Province","Штат / правінцыя"
"Signed-up Point","зарэгістраваліся кропка"
"Website","вэб-сайт"
"Created At","створана У"
"Add New Account","Дадаць новы ўліковы запіс"
"Delete Accounts","Выдаленне ўліковых запісаў"
"Are you sure you want to delete selected Accounts?","Вы ўпэўненыя, што жадаеце выдаліць выбраныя уліковыя запісы?"
"Total Commission","агульная камісія"
"Add New Banner","дадаць банэр"
"Delete Banners","выдаліць банеры"
"Are you sure you want to delete selected banners?","Вы ўпэўненыя, што жадаеце выдаліць выбраныя банеры?"
"URL","URL"
"Campaign","кампанія"
"Created","створаны"
"Add New Campaign","Дадаць новую кампанію"
"Delete Campaigns","выдаліць кампаніі"
"Are you sure you wan't to delete selected Campaigns?","Вы ўпэўненыя, што wan't выдаліць абраныя кампаніі?"
"Add New Group","Дадаць новую групу"
"Delete Groups","выдаліць групы"
"Are you sure you want to delete selected groups?","Вы ўпэўненыя, што жадаеце выдаліць выбраныя групы?"
"Add New Transaction","Дадаць новую транзакцыю"
"Complete Transactions","поўныя Здзелкі"
"Are you sure you want to complete selected transactions?","Вы ўпэўненыя, што жадаеце завяршыць выбраныя аперацыі?"
"Cancel Transactions","адмяніць Здзелкі"
"Are you sure you want to cancel selected Transactions?","Вы ўпэўненыя, што жадаеце адмяніць выбраныя транзакцыі?"
"Action Type","тып дзеяння"
"Amount Used","сума Б"
"Amount Hold","сума ўтрымання"
"Current Balance","сальда бягучага рахунку"
"Store","крама"
"Holding Date","трымаючы Дата"
"Add New Withdraw","дадаць Withdraw"
"Approve","ўхваляць"
"Approve Withdraws","зацвердзіць адбірае"
"Are you sure you want to approve selected Withdraws?","Вы ўпэўненыя, што хочаце зацвердзіць выбраныя адбірае?"
"Cancel Withdraws","адмяніць адбірае"
"Are you sure you want to cancel selected Withdraws?","Вы ўпэўненыя, што жадаеце адмяніць абраны адбірае?"
"Transaction ID","ідэнтыфікатар транзакцыі"
"Transferred","перададзеныя"
"Account Dashboard","Dashboard рахункі"
"Home","дома"
"Signup","рэгістрацыя"
"Refer Friend","см сябры"
"Setting","налада"
