"Affiliate Banners","Banners d'afiliats"
"Yes","Sí"
"Link","Enllaç"
"Preview","Vista prèvia"
"Copy and past this source code into your website or forum.","Copieu i passeu aquest codi font al vostre lloc web o fòrum."
"No banner available","No hi ha bandera disponible"
"Credit Information","Informació de crèdit"
"Created Date","Data creada"
"No transaction found!","No s'ha trobat cap transacció."
"Referral Url and Code","Url i codi de referència"
"Refer Url","Consulteu l'URL"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Les referències que accedeixen a aquesta URL es connecten com a referències una vegada que s'hi registren o realitzen una comanda."
"Refer Code","Referiu el codi"
"Referrals should enter the code in Coupon form at shopping cart page.","Les referències han d'introduir el codi en el formulari de cupó a la pàgina del carretó electrònic."
"Refer Email","Consulteu el correu electrònic"
"Referrals can enter your e-mail address when signing up affiliate account.","Les referències poden introduir la vostra adreça de correu electrònic quan es registri el compte d'afiliat."
"Referral Via Social Networks","Referència a través de xarxes socials"
"Send Invitation","Enviar invitació"
"Enter your friends' emails separated by comma","Introduïu els correus electrònics dels vostres amics separats per coma"
"Add from Address Book","Afegeix a la llibreta d'adreces"
"Subject","Assignatura"
"Your message","El teu missatge"
"Short Message","Missatge breu"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}} se substituirà pel nom del vostre amic segons el compte de correu electrònic. No hauríeu d'editar-lo fins que no sàpiguen què està fent."
"Send","Enviar"
"Affiliate Subscriptions","Subscripcions d'afiliats"
"Receive affiliate email.","Rebeu correu electrònic d'afiliació."
"Affiliate Information","Informació d'afiliats"
"Customer email or Affiliate code","E-mail del client o codi d'afiliat"
"Create an Account","Crear un compte"
"Request Withdraw","Sol·licitud Retirada"
"Request Amount","Import de la sol·licitud"
"Select Payment Method","Seleccioneu el mètode de pagament"
"Withdraw Policy","Política d'extracció"
"Send Request","Enviar sol.licitud"
"Paypal Email Associate","Associat de correu electrònic de PayPal"
"Paypal Email Address","Adreça de correu electrònic de PayPal"
"Withdraw History","Esborra la història"
"Requested Date","Data sol · licitada"
"Withdraw Method","Mètode de retirada"
"View","Veure"
"Are you sure you want to cancel this withdraw?","Estàs segur que vols cancel·lar aquesta retirada?"
"No withdraw found!","No s'ha trobat cap retirada!"
"Requested Amount","Import sol·licitat"
"Net. Amount","Net. Import"
"Resolve Date","Resoldre la data"
"Back","esquena"
"%1 for first order.","%1 per al primer ordre."
"%1 of Order Total for first order.","%1 de la comanda Total per al primer ordre."
"%1 of Order Profit for first order.","%1 del benefici d'ordre per primer ordre."
"%1 for next orders.","%1 per als pròxims comandes."
"%1 of Order Total for next orders.","%1 de la comanda Total per a les comandes següents."
"%1 of Order Profit for next orders.","%1 de la comanda de beneficis per a les comandes següents."
"Discount policy","Política de descompte"
"Valid Date","Data vàlida"
"Always","Sempre"
"from","Des de"
"to","A"
"Affiliate account approved","S'ha aprovat el compte d'afiliats"
"%name,","%name,"
"Welcome to our Affiliate program.","Benvingut al nostre programa d'afiliats."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","S'aprova el vostre compte d'afiliat i deixa començar les funcions destacades del programa d'afiliats."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","L'afiliat és l'extensió de Magento perfecta i interessant i sembla que és el model de negoci, on teniu el paper de col·laboradors. Podeu recomanar altres clients als productes del venedor i, a continuació, fer una compra pública per vosaltres mateixos. Això és guanyar mètodes a Internet, encara que no necessiteu cap producte ni lloc web privat."
"Specially, you will receive the typical and wonderful benefits following as:","Especialment, rebrà els beneficis típics i meravellosos següents com:"
"Earning commission","Comissió guanyadora"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","En arribar a l'afiliat, simplement, triarà qualsevol producte del lloc web del venedor i el vincle del producte del producte a les persones que ho necessitin. Si el presente compra l'article, obtindreu percentatge per comanda."
"Using available template","Ús de la plantilla disponible"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","A més, s'ofereixen plantilles com ara el correu electrònic, el pancarta, els butlletins, etc. al lloc web del venedor. Enviarà invitacions als vostres clients objectiu per aquestes plantilles, cosa que us permetrà construir la xarxa fàcilment i perfectament."
"Tracking history activities","Seguiment de les activitats de l'historial"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","L'afiliat us permet gestionar el procés d'enviament de la invitació, el nom del destinatari, el seu benefici, etc. Per tant, podeu seguir el vostre treball detalladament per ells mateixos."
"Giving cash when achieving the target","Donar diners en efectiu a l'hora d'assolir l'objectiu"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","L'afiliat ofereix possibilitats interessants de guanyar diners mentre no necessiteu cap producte o servei, només anuncieu el producte del lloc web del venedor mitjançant els mètodes de publicitat disponibles. Fins que els ingressos que obtinguin arribin a les taxes ofertes, retiraran els diners dels seus comptes."
"Thank you again, %store_name","Gràcies de nou, %s nom_tornament"
"Welcome to our affiliate program","Benvingut al nostre programa d'afiliació"
"When using our affiliate program, you can use basics features in the following:","Quan utilitzeu el nostre programa d'afiliació, podeu utilitzar funcions bàsiques en els següents:"
"Let come to Affiliate program to experience attractive opportunities!","Vingui al programa d'afiliats per experimentar oportunitats atractives."
"Your balance has been updated!","S'ha actualitzat el saldo."
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Hem actualitzat el saldo perquè pugui tenir informació rellevant de la seva comissió o pagament. Aquest correu electrònic us ajudarà a controlar activament les vostres activitats."
"The transaction detail","El detall de la transacció"
"Transaction title: %title","Títol de la transacció: %title"
"Transaction amount: %amount","Import de la transacció: %a import"
"Transaction status: %status","Estat de la transacció: %status"
"Current balance: %balance","Saldo vigent: %balançament"
"Withdraw request complete!","S'ha completat la sol · licitud d'extracció."
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","Us informem que la vostra sol·licitud de retirada, que es va crear a% request_at, s'ha completat. Rebreu diners després d'uns dies depenent del mètode de pagament que trieu."
"The withdraw detail","Retira el detall"
"Withdraw Id: %withdraw_id","Id d'extracció:% withdraw_id"
"Transfer Amount: %amount","Import de la transferència: %a monto"
"Request Amount: %amount","Import de la sol·licitud: %a monto"
"Tax/fee: %fee","Impost / quota: %fee"
"Payment Method: %payment","Mètode de pagament: %peliment"
"You can check your withdraw by ","Podeu consultar el vostre retir per"
"logging into your account","Iniciant sessió al vostre compte"
"Affiliate","Afiliat"
"General","General"
"Enable","Habilita"
"Cookie Expiration","Caducitat de la galetes"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","Dia (s). El nombre de dies perquè l'administrador emmagatzemi galetes d'aquest programa. Per defecte: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">eleccioneu més</a>"
"Allow overriding cookies","Permet cookies primàries"
"Allow overriding exist affiliate cookie.","Hi ha galetes d'afiliats que permetin sobreescriure."
"Show Affiliate link on","Mostra l'enllaç de l'afiliat a"
"Default page","Pàgina predeterminada"
"Affiliate homepage content","Contingut de la pàgina d'inici de l'afiliat"
"Select CMS Static Block.","Seleccioneu Bloc estàtic CMS."
"Display Policy Page","Pàgina de la política de visualització"
"Select CMS Page for Policy Page","Seleccioneu la pàgina CMS per a la pàgina de directives"
"Select CMS page","Seleccioneu la pàgina CMS"
"Affiliate URL","URL de l'afiliat"
"URL Style","Estil d'URL"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Per exemple: <br />Parametre: http://exemple.com/?<strong>c=123</strong><br />Hash: http: //example.com<strong>#c123</strong>"
"Custom parameter","Paràmetre personalitzat"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Això s'utilitzarà a l'URL com ara :? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Valor de paràmetre"
"The length of Affiliate code","Durada del codi de l'afiliat"
"It should be greater than 3, and smaller than 32. Default is 6.","Hauria de ser superior a 3 i menor de 32. El valor predeterminat és 6."
"Account Configuration","Configuració del compte"
"Affiliate Sign up","Subscripció d'afiliats"
"Default Affiliate Group","Grup d'afiliats predeterminat"
"Require admin's approval","Demana l'aprovació de l'administrador"
"Checked ""Email notification"" by default","Comprovada ""Notificació per correu electrònic"" de manera predeterminada"
"Term and condition","Terme i condició"
"Enable Terms and Conditions","Habilita els Termes i condicions"
"Checkbox Text","Text de la casella de verificació"
"Terms and Conditions Title","Títol de termes i condicions"
"Terms and Conditions Content","Contingut de termes i condicions"
"Select CMS Block.","Seleccioneu el bloc CMS."
"Checkbox is checked by default","La casella de verificació està marcada de manera predeterminada"
"Account Balance","Saldo del compte"
"Maximum of Affiliate Balance","Màxim de saldo d'afiliat"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","El saldo màxim de l'afiliat. L'afiliat no pot obtenir la comissió si el saldo és igual a aquest valor. Buit o zero no és una limitació."
"Allow negative balance","Permet un saldo negatiu"
"Commission Configuration","Configuració de la Comissió"
"Earn commission from tax","Guanya comissió d'impostos"
"Earn commission from shipping fee","Guanyi la comissió des de la tarifa d'enviament"
"Commission calculation process","Procés de càlcul de la Comissió"
"Allow Affiliate receiving commission when Invoice created","Permetre a la comissió receptora d'afiliats quan es va crear la Factura"
"Hold commission transactions for","Realitzeu transaccions de comissions per a"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deducció de la comissió del saldo de l'afiliat quan es reemborsa o es cancel·la l'ordre"
"Withdraw Configuration","Retira la configuració"
"Allow withdraw request","Permetre la sol·licitud d'extracció"
"Payment Methods","Mètodes de Pagament"
"The minimum balance in affiliate account for requesting withdraw","El saldo mínim del compte d'afiliat per sol·licitar retirar"
"Minimum withdraw amount","Import mínim de retirada"
"Include Fee","Inclou una tarifa"
"Maximum withdraw amount","Import màxim de retirada"
"Email Configuration","Configuració de correu electrònic"
"Email Sender","Enviar correu electrònic"
"Account Email","Correu electrònic del compte"
"Send Welcome Email","Enviar correu electrònic de benvinguda"
"Welcome Email","Benvinguda Correu electrònic"
"Welcome Email After Account Approved","Benvinguda després de l'aprovació del compte"
"This email will be sent instead of welcome email, after approving account.","Aquest correu electrònic s'enviarà en comptes de correu electrònic de benvinguda, després d'aprovar el compte."
"Transaction Email","Email de transacció"
"Send Transaction Email","Envia correu electrònic de transacció"
"Update Balance Email","Actualitza el correu electrònic de saldo"
"Withdraw Email","Retireu el correu electrònic"
"Send Withdraw Email","Envieu el correu electrònic de retirada"
"Withdraw Complete Email","Retireu el correu electrònic complet"
"Refer Friends Configuration","Consulteu Configuració d'amics"
"Enable Refer Friends Feature","Habiliteu la funció de referències d'amics"
"Refer Sharing Email","Consulteu l'ús compartit de correu electrònic"
"Default Refer Url","URL de referència per defecte"
"Select block to show referfriend description","Seleccioneu un bloc per mostrar la descripció del referèndum"
"Refer friend homepage content","Consulta el contingut de la pàgina d'inici del teu amic"
"AddThis.com ID","ID d'AddThis.com"
"Use Cloudsponge to retrieve email contacts","Utilitzeu Cloudsponge per recuperar contactes de correu electrònic"
"Cloudsponge Key","Tecla de núvol esponjosa"
"Sending Email Content","Enviament de contingut de correu electrònic"
"Default Email Subject","Assumpte per correu electrònic per defecte"
"Default Email Body","Correu electrònic per defecte"
"Default Message Shared via Social","Missatge predeterminat compartit a través de Social"
"ID","ID"
"Email","Correu electrònic"
"Phone","Telèfon"
"ZIP/Post Code","Codi Postal / Codi postal"
"Country","País"
"State/Province","Estat / província"
"Signed-up Point","Punt de subscripció"
"Website","Lloc web"
"Created At","Creat a"
"Add New Account","Afegeix un compte nou"
"Delete Accounts","Suprimeix comptes"
"Are you sure you want to delete selected Accounts?","Esteu segur que voleu eliminar els comptes seleccionats?"
"Total Commission","Comissió total"
"Add New Banner","Afegeix un nou pancarta"
"Delete Banners","Elimina els banners"
"Are you sure you want to delete selected banners?","Esteu segur que voleu eliminar els banners seleccionats?"
"URL","URL"
"Campaign","Campanya"
"Created","Creat"
"Add New Campaign","Afegeix una nova campanya"
"Delete Campaigns","Elimina campanyes"
"Are you sure you wan't to delete selected Campaigns?","Estàs segur que no vols eliminar les campanyes seleccionades?"
"Add New Group","Afegeix un grup nou"
"Delete Groups","Elimina grups"
"Are you sure you want to delete selected groups?","Esteu segur que voleu eliminar grups seleccionats?"
"Add New Transaction","Afegeix una nova transacció"
"Complete Transactions","Transaccions completes"
"Are you sure you want to complete selected transactions?","Estàs segur que vols completar les transaccions seleccionades?"
"Cancel Transactions","Cancel·la les transaccions"
"Are you sure you want to cancel selected Transactions?","Estàs segur que vols cancel·lar les transaccions seleccionades?"
"Action Type","Tipus d'acció"
"Amount Used","Quantitat utilitzada"
"Amount Hold","Import Hold"
"Current Balance","Balanç actual"
"Store","Botiga"
"Holding Date","Data de celebració"
"Add New Withdraw","Afegeix una nova retirada"
"Approve","Aprova"
"Approve Withdraws","Aprova les retirades"
"Are you sure you want to approve selected Withdraws?","Estàs segur que vols aprovar les retirades seleccionades?"
"Cancel Withdraws","Cancel·la Retirada"
"Are you sure you want to cancel selected Withdraws?","Estàs segur que vols cancel·lar les retirades seleccionades?"
"Transaction ID","ID de transacció"
"Transferred","S'ha transferit"
"Account Dashboard","Tauler de comptes"
"Home","Inici"
"Signup","Registra't"
"Refer Friend","Recomana amics"
"Setting","Configuració"
