"Affiliate Banners","Ortaklık Afişleri"
"Please input your friends email address.","Lütfen arkadaşlarınızın e-posta adresini girin."
"Saved successfully!","Başarıyla kaydedildi!"
"Something went wrong while saving the Account.","Hesabı kaydederken bir şeyler ters gitti."
"Your account is not active. Please contact us.","Hesabınız etkin değil. Lütfen bizimle iletişime geçin."
"You have to agree with term and conditions.","Şart ve koşulları kabul etmek zorundasınız."
"Congratulations! You have successfully registered. We will review your affiliate account and inform you once it's approved!","Tebrik ederiz! Başarıyla kaydolmuşsunuzdur. Bağlı kuruluş hesabınızı inceler ve onaylandıktan sonra sizi bilgilendiririz!"
"Congratulations! You have successfully registered.","Tebrik ederiz! Başarıyla kaydolmuşsunuzdur."
"The withdraw has been canceled successfully.","Çekilme başarılı bir şekilde iptal edildi."
"Something went wrong while saving the request.","İsteği kaydetme işlemi sırasında bir sorun oluştu."
"Cannot find item.","Öğe bulamıyor."
"An error occur. Please contact us.","Bir hata oluştu. Lütfen bizimle iletişime geçin."
"Your request has been sent successfully. We will review your request and inform you once it's approved!","Talebiniz başarıyla gönderildi. İsteğinizi inceleyeceğiz ve onaylandıktan sonra size bilgi vereceğiz!"
"Your balance is not enough for request withdraw.","Talebinizin geri çekilmesi için bakiyeniz yeterli değil."
"The withdraw amount have to equal or greater than %1","Para çekme miktarı %1'den büyük veya eşit olmalıdır"
"The withdraw amount have to equal or less than %1","Para çekme miktarı %1'e eşit veya bundan az olmalıdır"
"This account no longer exists.","Bu hesap artık yok."
"The Account has been deleted.","Hesap silindi."
"Account to delete was not found.","Silinecek hesap bulunamadı."
"Accounts","Hesaplar"
"Edit Account ""%1""","Hesabı Düzenle ""%1"""
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt silindi."
"The customer ""%1"" has registed as an affiliate already.","""%1"" müşterisi zaten bir satış ortağı olarak kayıt yaptı."
"Cannot find account referred.","Sevk edilen hesap bulamıyor."
"The Account has been created successfully.","Hesap başarıyla oluşturuldu."
"The Account has been saved successfully.","Hesap başarıyla kaydedildi."
"The Banner has been deleted.","Afiş silindi."
"Something went wrong while deleting banner data. Please review the action log and try again.","Başlık verilerinin silinmesi sırasında bir sorun oluştu. Lütfen işlem günlüğünü gözden geçirin ve tekrar deneyin."
"We cannot find a banner to delete.","Silmek için bir başlık bulamıyoruz."
"This banner no longer exists.","Bu afiş artık mevcut değil."
"Banners","Afişler"
"Edit Banner","Şablonu Düzenle"
"This banner does not exist.","Bu afiş mevcut değil."
"You saved the banner.","Afişi kurtardın."
"We cannot save the banner.","Afiş kaydedemiyoruz."
"This campaign no longer exists.","Bu kampanya artık mevcut değil."
"The Campaign has been deleted.","Kampanya silindi."
"Campaign to delete was not found.","Silmek için kampanya bulunamadı."
"Campaigns","Kampanyalar"
"Please correct the data sent.","Lütfen gönderilen verileri düzeltin."
"Something went wrong while saving the Campaign.","Kampanya kaydedilirken bir şeyler ters gitti."
"The Campaign has been saved successfully.","Kampanya başarıyla kaydedildi."
"Tier","aşama"
"Groups","Gruplar"
"Something went wrong while saving the Group.","Grubumuzu kurtarırken bir şeyler ters gitti."
"Cannot remove this group","Bu grup kaldırılamıyor"
"The Group has been created successfully.","Grup başarıyla oluşturuldu."
"The Transaction has been canceled.","İşlem iptal edildi."
"The Transaction has been completed.","İşlem tamamlandı."
"Transactions","işlemler"
"View Transaction ""%1""","İşlemi Görüntüle ""%1"""
"This Transaction no longer exists.","Bu İşlem artık mevcut değil."
"A total of %1 record(s) have been canceled.","Toplam %1 kayıt iptal edildi."
"A total of %1 record(s) have been completed.","Toplam %1 kayıt tamamlandı."
"Account balance is not enough to create this transaction.","Hesap bakiyesi bu işlemi oluşturmak için yeterli değil."
"The Transaction has been created.","İşlem yapıldı."
"Something went wrong while saving the Transaction.","İşlemi kaydederken bir şeyler ters gitti."
"This withdrawal no longer exists.","Bu çekilme artık mevcut değil."
"Withdraws","ÇekildiTİRAN"
"Edit Withdraw ""%1""","Para Çekme ""%1"" düzenle"
"Edit Withdraw ""#%1""","Düzenle ""# %1"""
"A total of %1 record(s) have been approved successfully.","Toplam %1 kayıt başarıyla onaylandı."
"A total of %1 record(s) have been cancelled.","Toplam %1 kayıt iptal edildi."
"The Withdraw has been saved.","Para Çekme kaydedildi."
"Something went wrong while saving the Withdraw.","Para Çekme işlemi yapılırken bir şeyler ters gitti."
"My Affiliate","Affiliate üyem"
"My Credit (%1)","Kredilerim (%1)"
"Active","Aktif"
"Inactive","etkisiz"
"Need Approved","Onaylanması Gerekiyor"
"Enabled","Etkin"
"Disabled","engelli"
"Percent of cart total","Alışveriş sepetinin toplam yüzdesi"
"Fixed amount discount for whole cart","Bütün arabayla sabit fiyat indirimi"
"Allow Guest","Misafirlere İzin Ver"
"Affiliate Member Only","Sadece Ortaklık Üyesi"
"-- Please Select --","-- Lütfen seçin --"
"Category page","Kategori sayfası"
"Product page","Ürün sayfası"
"Footer Link","Altbilgi Bağlantısı"
"Top Link","Üst Bağlantı"
"Affiliate ID","Ortaklık Kimliği"
"Affiliate Code","İştirak Kodu"
"Hash","esrar"
"Parameter","Parametre"
"Address","Adres"
"Paypal Email","Paypal E-postası"
"Transaction Id","İşlem Kimliği"
"Affiliate Campaign","Ortaklık Kampanyası"
"Campaign %1","Kampanya %1"
"Affiliate account must be existed.","Ortaklık hesabı mevcut olmalıdır."
"Transaction amount cannot be zero.","İşlem tutarı sıfır olamaz."
"Account balance has been reached the limit. Please contact to store owner.","Hesap bakiyesi sınıra ulaştı. Mağazanın sahibine başvurun."
"Invalid transaction data for canceling.","İptal etmek için geçersiz işlem verileri."
"Account balance is not enough for canceling.","Hesap bakiyesi iptal etmek için yeterli değil."
"Invalid transaction data to complete.","İşlemin tamamlanması geçersiz veri."
"Maximum amount allowed in account balance is %1.","Hesap bakiyesinde izin verilen azami tutar %1."
"Action model is invalid for %1","%1 için eylem modeli geçersiz"
"Changed by Admin","Yönetici tarafından değiştirildi"
"Get commission for order %1","Sipariş için komisyon alın %1"
"Taken back commission for refunding order %1","Geri ödeme emri için komisyon geri alındı ​​%1"
"Subtract balance for withdraw request","Geri çekme talebi için denge çıkartın"
"On Hold","Beklemede"
"Completed","Tamamlanan"
"Cancelled","iptal edildi"
"Commission","Komisyon"
"Paid","ödenmiş"
"Admin","yönetim"
"The amount request is not enough to pay for fee.","Miktar talebi ücret ödemek için yeterli değil."
"Cannot create transaction for this withdraw.","Bu çekilme için işlem yaratamazsınız."
"Invalid withdraw data for canceling.","İptal etmek için geçersiz veri çekildi."
"Invalid withdraw data for approved.","Onaylanmış veriler geçersiz olarak çekildi."
"Pending","kadar"
"The Account has been saved.","Hesap kaydedildi."
"Affiliate Welcome homepage content","Bağlı Kuruluş Ana Sayfası içeriğine hoşgeldiniz"
"Affiliate referfriend description","Ortaklık başvurusu açıklaması"
"Affiliate terms & conditions","Affiliate şartlar ve koşullar"
"Delete ""%1""","""%1"" sil"
"Are you sure?","Emin misiniz?"
"Type (1st Order)","Tip (1. Sipariş)"
"Value (1st Order)","Değer (1. Sipariş)"
"Type (Next orders)","Tipi (Sonraki siparişler)"
"Value (Next orders)","Değer (Sonraki siparişler)"
"Action","Aksiyon"
"Add","Eklemek"
"Delete","silmek"
"No","Yok hayır"
"Yes","Evet"
"Link","bağlantı"
"Preview","Önizleme"
"Copy and past this source code into your website or forum.","Bu kaynak kodu web sitenize veya forumunuza kopyalayıp geçmeyin."
"No banner available","Banner yok"
"Credit Information","Kredi Bilgileri"
"Created Date","Oluşturulan Tarih"
"No transaction found!","İşlem bulunamadı!"
"Referral Url and Code","Yönlendirme URL'si ve Kodu"
"Refer Url","URL'ye bakın"
"Referrals that access this URL are connected as referrals once they sign up or place an order.","Bu URL'ye erişen yönlendirmeler, üye olduktan veya sipariş verdikten sonra yönlendirmeler olarak bağlanır."
"Refer Code","Koda Başvurun"
"Referrals should enter the code in Coupon form at shopping cart page.","Tavsiyeler, kodu alışveriş sepeti sayfasında kupon formunda girmelidir."
"Refer Email","E-postaya Bak"
"Referrals can enter your e-mail address when signing up affiliate account.","Tavsiyeler, bağlı kuruluş hesabına kaydolurken e-posta adresinizi girebilir."
"Referral Via Social Networks","Sosyal Ağlar Üzerinden Sevk"
"Send Invitation","Davetiye gönder"
"Enter your friends' emails separated by comma","Arkadaşınızın e-postalarını virgül ile ayırarak girin"
"Add from Address Book","Adres Defterinden Ekle"
"Subject","konu"
"Your message","Mesajın"
"Short Message","Kısa mesaj"
"{{friend_name}} will be replaced by your friend name based on email account. You should not edit it until you know what you are doing.","{{friend_name}}, e-posta hesabına dayalı arkadaşınızın adıyla değiştirilecek. Ne yaptığınızı öğrenene kadar onu düzenlememelisiniz."
"Send","göndermek"
"Affiliate Subscriptions","Bağlı Kuruluş Abonelikleri"
"Receive affiliate email.","Ortaklık e-postası alın."
"Affiliate Information","İştirak Bilgileri"
"Customer email or Affiliate code","Müşteri e-postası veya Ortaklık kodu"
"Create an Account","Hesap oluştur"
"Request Withdraw","Para Çekme İste"
"Request Amount","Talep Miktarı"
"Select Payment Method","ödeme türünü seçin"
"Withdraw Policy","Para Çekme Politikası"
"Send Request","İstek gönder"
"Paypal Email Associate","Paypal E-posta Ortak"
"Paypal Email Address","Paypal E-posta Adresi"
"Withdraw History","Geçmişten çek"
"Requested Date","Talep edilen tarih"
"Withdraw Method","Çekilme Yöntemi"
"View","Görünüm"
"Are you sure you want to cancel this withdraw?","Bu çekimi iptal etmek istediğinizden emin misiniz?"
"No withdraw found!","Çekilme yok!"
"Requested Amount","İstenen Tutar"
"Net. Amount","Ağ. Tutar"
"Resolve Date","Çözüm Tarihi"
"Back","Geri"
"%1 for first order.","%1 ilk sipariş için."
"%1 of Order Total for first order.","Birinci sipariş için %1 sipariş toplamı."
"%1 of Order Profit for first order.","%1 sipariş karı birinci sipariş için."
"%1 for next orders.","%1 sonraki siparişler için."
"%1 of Order Total for next orders.","Sonraki siparişler için %1 sipariş toplamı."
"%1 of Order Profit for next orders.","%1 sonraki siparişler için Sipariş Karı."
"Discount policy","İndirim politikası"
"Valid Date","Geçerli tarih"
"Always","Her zaman"
"from","itibaren"
"to","için"
"Affiliate account approved","Affiliate hesabı onaylandı"
"%name,","%name,"
"Welcome to our Affiliate program.","Affiliate programımıza hoş geldiniz."
"Your Affiliate account is approved and let begin with Affiliate program's outstanding features.","Affiliate hesabınız onaylandı ve Affiliate programının seçkin özellikleri ile başlayalım."
"Affiliate is the perfect and interesting Magento extension and be seemed to be the business model, where you have the role as collaborators. You can recommend other customers to seller's products, and then make a big shopping public for yourself. This is earning methods on internet although you don't need any product or private website.","İştirakçi, mükemmel ve ilginç Magento uzantısıdır ve ortak olarak rolü olan iş modeli gibi görünmektedir. Diğer müşterileri satıcı ürünlerine tavsiye edebilir ve daha sonra kendiniz için büyük bir alışveriş yapabilirsiniz. Herhangi bir ürüne veya özel bir web sitesine ihtiyacınız olmamasına rağmen, internet üzerinden yöntem kazanma yöntemidir."
"Specially, you will receive the typical and wonderful benefits following as:","Özellikle, aşağıdaki gibi tipik ve harika avantajlardan yararlanacaksınız:"
"Earning commission","Kazanç komisyonu"
"Coming to Affiliate, simply, you will choose any product from seller's website, and seed link of the product to people needing it. If the presentee buy the item, you will get percentage per order.","Bağlı Olduğunuzda, basitçe, satıcının web sitesinden herhangi bir ürünü seçeceksiniz ve ürünün ihtiyacını olan kişilere tohum linkini seçeceksiniz. Hediyeyi öğe satın alırsanız, sipariş başına yüzdesi alırsınız."
"Using available template","Mevcut şablonu kullanma"
"In addition,you are supplied templates such as email, banner, newsletters, etc. by seller's website. You will send invitations to your target customers by these templates, which makes you build the network easily and perfectly.","Buna ek olarak, satıcının web sitesinde e-posta, afiş, bülten gibi şablonlar verilir. Bu şablonlarla hedef müşterilerinize davetiye gönderirsiniz; bu da şebekeyi kolayca ve mükemmel bir şekilde kurmanızı sağlar."
"Tracking history activities","İzleme geçmişi etkinlikleri"
"Affiliate supports you to manage the process of sending invitation, recipient's name, their profit, etc. Therefore, you can follow your work detailedly by themselves.","İştirakçi, davet gönderme sürecini, alıcının adını, kârını vb. Yöneterek sizi destekliyor. Dolayısıyla, çalışmalarınızı kendileri tarafından ayrıntılı olarak takip edebilirsiniz."
"Giving cash when achieving the target","Hedefi elde ettiğinde nakit vermek"
"Affiliate give interesting chances to earning money while you don't need any products or services, you only advertise the product of seller's website by available advertising methods. Until their revenue they earn reach  the offered rates, they will withdraw money from their accounts.","Affiliate herhangi bir ürün ya da hizmete ihtiyaç duymadan para kazanmak için ilginç şanslar verir, yalnızca satıcının web sitesinin ürününü mevcut reklamcılık yöntemleriyle tanıtırsınız. Kazandıkları gelir, teklif edilen oranlara ulaşıncaya kadar, hesaplarından para çekecektir."
"Thank you again, %store_name","Tekrar teşekkür ederiz, %stor_adi"
"Welcome to our affiliate program","Ortaklık programımıza hoş geldiniz"
"When using our affiliate program, you can use basics features in the following:","Bağlı kuruluş programımızı kullanırken, aşağıdaki temel özellikleri kullanabilirsiniz:"
"Let come to Affiliate program to experience attractive opportunities!","Cazip fırsatlar yaşamak için Affiliate programına gelelim!"
"Your balance has been updated!","Bakiyeniz güncellendi!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","Komisyonunuzla ilgili bilgileri alabilmeniz veya ödemeniz için teraziyi güncelledik. Bu e-posta, etkinliklerinizi aktif bir şekilde kontrol etmenize yardımcı olur."
"The transaction detail","İşlem ayrıntısı"
"Transaction title: %title","İşlem başlığı: %title"
"Transaction amount: %amount","İşlem tutarı: %aount"
"Transaction status: %status","İşlem durumu: %status"
"Current balance: %balance","Şu andaki bakiye: %balans"
"Withdraw request complete!","Talebi tamamlayın!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","% Request_at adresinde oluşturulmuş geri çekme talebinizin tamamlandığını size bildirmek isteriz. Seçtiğiniz ödeme yöntemine bağlı olarak birkaç gün sonra para kazanacaksınız."
"The withdraw detail","Çekilme ayrıntısı"
"Withdraw Id: %withdraw_id","Para Çekme Kimliği:% withdraw_id"
"Transfer Amount: %amount","Transfer Tutarı: %aount"
"Request Amount: %amount","Talep Miktarı: %aount"
"Tax/fee: %fee","Vergi / ücret: %fee"
"Payment Method: %payment","Ödeme Şekli: %payment"
"You can check your withdraw by ","Çekerek kontrol edebilirsiniz."
"logging into your account","Hesabınıza girme"
"Affiliate","bağlı şirket"
"General","Genel"
"Enable","etkinleştirme"
"Cookie Expiration","Çerez Sona Ermesi"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","gün (ler). Yöneticinin bu programın çerezlerini depolaması için geçen gün sayısı. Varsayılan: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">daha fazla bilgi edinin</a>"
"Allow overriding cookies","Çerezlerin geçersiz kılmasına izin ver"
"Allow overriding exist affiliate cookie.","Var olan bağlı kuruluş çerezini geçersiz kılmaya izin ver."
"Show Affiliate link on","Üzerinde Ortaklık bağlantısını göster"
"Default page","Varsayılan sayfa"
"Affiliate homepage content","Bağlı kuruluş ana sayfası içeriği"
"Select CMS Static Block.","CMS Static Block'u seçin."
"Display Policy Page","İlke Politikası Sayfası"
"Select CMS Page for Policy Page","İlke Sayfası için CMS Sayfasını seçin"
"Select CMS page","CMS sayfası seçin"
"Affiliate URL","Ortaklık URL'si"
"URL Style","URL Stili"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","Örneğin: <br />Parametre: http://example.com/?<strong>c=123</strong><br />Uygulamış: http: //example.com<strong>#c123</strong>"
"Custom parameter","Özel parametre"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","Bu URL'de kullanılacaktır:? <span style=""font-weight:bold;color:red;"">c</span> = 123 <br />Or # <span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Parametre değeri"
"The length of Affiliate code","Ortaklık kodunun uzunluğu"
"It should be greater than 3, and smaller than 32. Default is 6.","3'den büyük ve 32'den küçük olmalıdır. Varsayılan değer 6'dır."
"Account Configuration","Hesap Yapılandırması"
"Affiliate Sign up","Affiliate Kaydolun"
"Default Affiliate Group","Varsayılan İştirak Grubu"
"Require admin's approval","Yöneticinin onayını talep et"
"Checked ""Email notification"" by default","Varsayılan olarak ""E-posta bildirimi"" kontrol edildi"
"Term and condition","Hüküm ve koşullar"
"Enable Terms and Conditions","Şartlar ve Koşulları etkinleştir"
"Checkbox Text","Onay Kutusu Metni"
"Terms and Conditions Title","Şartlar ve Koşullar Başlık"
"Terms and Conditions Content","Şartlar ve Koşullar İçerik"
"Select CMS Block.","CMS Bloğu'nu seçin."
"Checkbox is checked by default","Onay kutusu varsayılan olarak işaretlidir."
"Account Balance","Hesap bakiyesi"
"Maximum of Affiliate Balance","Maksimum Affiliate Dengesi"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","Bağlı Kuruluşun maksimum bakiyesi. Bakiyenin bu değere eşit olması durumunda bağlı kuruluş komisyon alamaz. Boş veya Sıfır hiçbir sınırlama değildir."
"Allow negative balance","Negatif bakiye izin ver"
"Commission Configuration","Komisyon Yapılandırması"
"Earn commission from tax","Vergi komisyonu kazanın"
"Earn commission from shipping fee","Nakliye ücreti ile komisyon kazanın"
"Commission calculation process","Komisyon hesaplama süreci"
"Allow Affiliate receiving commission when Invoice created","Fatura oluşturulduğunda Ortaklığın komisyon almasına izin ver"
"Hold commission transactions for","Için komisyon işlemlerini sürdürmek"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Sipariş iadesi / iptali durumunda İştirakin bakiyesinden kesinti komisyonu"
"Withdraw Configuration","Yapılandırmayı Geri Çek"
"Allow withdraw request","Çekme talebine izin ver"
"Payment Methods","Ödeme metodları"
"The minimum balance in affiliate account for requesting withdraw","Üyelik hesabındaki geri çekilmeyi talep eden asgari bakiye"
"Minimum withdraw amount","Minimum çekilme miktarı"
"Include Fee","Ücreti Dahil Et"
"Maximum withdraw amount","Maksimum çekilme miktarı"
"Email Configuration","E-posta Yapılandırması"
"Email Sender","E-posta Gönderen"
"Account Email","Hesap E-posta"
"Send Welcome Email","Hoş Geldiniz E-postası gönder"
"Welcome Email","E-posta Hoş Geldiniz"
"Welcome Email After Account Approved","Hesap Onaylandıktan Sonra Hoş Geldiniz E-postası"
"This email will be sent instead of welcome email, after approving account.","Bu e-posta hesabı onayladıktan sonra karşılama e-postası yerine gönderilecek."
"Transaction Email","İşlem E-postası"
"Send Transaction Email","İşlem E-postası gönder"
"Update Balance Email","Bakiyeyi Güncelle E-postasını güncelle"
"Withdraw Email","E-postayı geri çekin"
"Send Withdraw Email","Çekilişi E-postayla Gönder"
"Withdraw Complete Email","E-postanın Tamamını Geri Çek"
"Refer Friends Configuration","Arkadaş Konfigürasyonuna Başvurma"
"Enable Refer Friends Feature","Arkadaşlara Tavsiye Özelliğini Etkinleştir"
"Refer Sharing Email","E-postayı Paylaşma konusuna bakın"
"Default Refer Url","Varsayılan URL'yi Varsın"
"Select block to show referfriend description","Referfriend açıklamasını göstermek için blok seçin"
"Refer friend homepage content","Arkadaş ana sayfasının içeriğine bakın"
"AddThis.com ID","AddThis.com kimliği"
"Use Cloudsponge to retrieve email contacts","E-posta kişilerini almak için Cloudsponge'yi kullanın"
"Cloudsponge Key","Cloudsponge Anahtarı"
"Sending Email Content","E-posta İçeriğini Gönderme"
"Default Email Subject","Varsayılan E-posta Konusu"
"Default Email Body","Varsayılan Email Body"
"Default Message Shared via Social","Varsayılan Mesaj Sosyal Paylaşılan"
"ID","İD"
"Email","E-posta"
"Phone","Telefon"
"ZIP/Post Code","Posta Kodu"
"Country","ülke"
"State/Province","Eyalet / İl"
"Signed-up Point","Kayıtlı Nokta"
"Website","Web sitesi"
"Created At","Oluşturuldu"
"Add New Account","Yeni Hesap Ekle"
"Delete Accounts","Hesapları Sil"
"Are you sure you want to delete selected Accounts?","Seçilen Hesapları silmek istediğinizden emin misiniz?"
"Total Commission","Toplam Komisyon"
"Add New Banner","Yeni Afiş Ekle"
"Delete Banners","Afiş Sil"
"Are you sure you want to delete selected banners?","Seçilen banner'ları silmek istediğinizden emin misiniz?"
"URL","URL"
"Campaign","Kampanya"
"Created","düzenlendi"
"Add New Campaign","Yeni Kampanya Ekle"
"Delete Campaigns","Kampanyaları Sil"
"Are you sure you wan't to delete selected Campaigns?","Seçili Kampanyaları silmeyeceğinize emin misiniz?"
"Add New Group","Yeni Grup Ekle"
"Delete Groups","Grupları Sil"
"Are you sure you want to delete selected groups?","Seçilen grupları silmek istediğinizden emin misiniz?"
"Add New Transaction","Yeni İşlem Ekle"
"Complete Transactions","Komple İşlemler"
"Are you sure you want to complete selected transactions?","Seçilen işlemleri tamamlamak istediğinizden emin misiniz?"
"Cancel Transactions","İşlemleri İptal Et"
"Are you sure you want to cancel selected Transactions?","Seçilen İşlemleri iptal etmek istediğinizden emin misiniz?"
"Action Type","İşlem Türü"
"Amount Used","Kullanılan Miktar"
"Amount Hold","Tutar Tut"
"Current Balance","Mevcut Bakiye"
"Store","mağaza"
"Holding Date","Holding Tarihi"
"Add New Withdraw","Yeni Para Çekme Ekleyin"
"Approve","onaylamak"
"Approve Withdraws","Geri Çekmeyi Onaylayın"
"Are you sure you want to approve selected Withdraws?","Seçilmiş Para Çekme İşlemlerini onaylamak istediğinizden emin misiniz?"
"Cancel Withdraws","Para Çekme İşlemlerini İptal Et"
"Are you sure you want to cancel selected Withdraws?","Seçilen Para Çekme İşlemlerini iptal etmek istediğinizden emin misiniz?"
"Transaction ID","İşlem Kimliği"
"Transferred","aktarılan"
"Account Dashboard","Hesap Gösterge Tablosu"
"Home","Ev"
"Signup","Kaydol"
"Refer Friend","Arkadaşa Tavsiye Et"
"Setting","Ayar"
