"Thank you again, %store_name","Thank you again, %store_name"
"Welcome to our affiliate program","Welcome to our affiliate program"
"When using our affiliate program, you can use basics features in the following:","When using our affiliate program, you can use basics features in the following:"
"Let come to Affiliate program to experience attractive opportunities!","Let come to Affiliate program to experience attractive opportunities!"
"Your balance has been updated!","Your balance has been updated!"
"We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively.","We have updated the balance for you so that you can have relevant information of your commission or paid. This email help you control your activities actively."
"The transaction detail","The transaction detail"
"Transaction title: %title","Transaction title: %title"
"Transaction amount: %amount","Transaction amount: %amount"
"Transaction status: %status","Transaction status: %status"
"Current balance: %balance","Current balance: %balance"
"Withdraw request complete!","Withdraw request complete!"
"We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose.","We would like to inform you that your withdraw request,which was created at %request_at has been completed. You will receive money after some days depending on the payment method which you choose."
"The withdraw detail","The withdraw detail"
"Withdraw Id: %withdraw_id","Withdraw Id: %withdraw_id"
"Transfer Amount: %amount","Transfer Amount: %amount"
"Request Amount: %amount","Request Amount: %amount"
"Tax/fee: %fee","Tax/fee: %fee"
"Payment Method: %payment","Payment Method: %payment"
"You can check your withdraw by ","You can check your withdraw by "
"logging into your account","logging into your account"
"Affiliate","Affiliate"
"General","General"
"Enable","Enable"
"Cookie Expiration","Cookie Expiration"
"day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>","day(s). The number of days for admin to store cookies of this program. Default: 365, <a href=""http://wiki.magecheckout.com/affiliate/kb/affiliate-tracking/enabling-lifetime-tracking.html"" target=""_blank"">learn more</a>"
"Allow overriding cookies","Allow overriding cookies"
"Allow overriding exist affiliate cookie.","Allow overriding exist affiliate cookie."
"Show Affiliate link on","Show Affiliate link on"
"Default page","Default page"
"Affiliate homepage content","Affiliate homepage content"
"Select CMS Static Block.","Select CMS Static Block."
"Display Policy Page","Display Policy Page"
"Select CMS Page for Policy Page","Select CMS Page for Policy Page"
"Select CMS page","Select CMS page"
"Affiliate URL","Affiliate URL"
"URL Style","URL Style"
"E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>","E.g: <br />Parameter: http://example.com/?<strong>c=123</strong><br />Hash: http://example.com<strong>#c123</strong>"
"Custom parameter","Custom parameter"
"This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123","This will be used in URL such as: ?<span style=""font-weight:bold;color:red;"">c</span>=123 <br />Or #<span style=""font-weight:bold;color:red;"">c</span>123"
"Parameter value","Parameter value"
"The length of Affiliate code","The length of Affiliate code"
"It should be greater than 3, and smaller than 32. Default is 6.","It should be greater than 3, and smaller than 32. Default is 6."
"Account Configuration","Account Configuration"
"Affiliate Sign up","Affiliate Sign up"
"Default Affiliate Group","Default Affiliate Group"
"Require admin's approval","Require admin's approval"
"Checked ""Email notification"" by default","Checked ""Email notification"" by default"
"Term and condition","Term and condition"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Checkbox Text","Checkbox Text"
"Terms and Conditions Title","Terms and Conditions Title"
"Terms and Conditions Content","Terms and Conditions Content"
"Select CMS Block.","Select CMS Block."
"Checkbox is checked by default","Checkbox is checked by default"
"Account Balance","Account Balance"
"Maximum of Affiliate Balance","Maximum of Affiliate Balance"
"The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation.","The maximum balance of Affiliate. The affiliate cannot get commission if balance equal this value. Empty or Zero is no limitation."
"Allow negative balance","Allow negative balance"
"Commission Configuration","Commission Configuration"
"Earn commission from tax","Earn commission from tax"
"Earn commission from shipping fee","Earn commission from shipping fee"
"Commission calculation process","Commission calculation process"
"Allow Affiliate receiving commission when Invoice created","Allow Affiliate receiving commission when Invoice created"
"Hold commission transactions for","Hold commission transactions for"
"Deduct commission from Affiliate's balance when order is refunded/canceled","Deduct commission from Affiliate's balance when order is refunded/canceled"
"Withdraw Configuration","Withdraw Configuration"
"Allow withdraw request","Allow withdraw request"
"Payment Methods","Payment Methods"
"The minimum balance in affiliate account for requesting withdraw","The minimum balance in affiliate account for requesting withdraw"
"Minimum withdraw amount","Minimum withdraw amount"
"Include Fee","Include Fee"
"Maximum withdraw amount","Maximum withdraw amount"
"Email Configuration","Email Configuration"
"Email Sender","Email Sender"
"Account Email","Account Email"
"Send Welcome Email","Send Welcome Email"
"Welcome Email","Welcome Email"
"Welcome Email After Account Approved","Welcome Email After Account Approved"
"This email will be sent instead of welcome email, after approving account.","This email will be sent instead of welcome email, after approving account."
"Transaction Email","Transaction Email"
"Send Transaction Email","Send Transaction Email"
"Update Balance Email","Update Balance Email"
"Withdraw Email","Withdraw Email"
"Send Withdraw Email","Send Withdraw Email"
"Withdraw Complete Email","Withdraw Complete Email"
"Refer Friends Configuration","Refer Friends Configuration"
"Enable Refer Friends Feature","Enable Refer Friends Feature"
"Refer Sharing Email","Refer Sharing Email"
"Default Refer Url","Default Refer Url"
"Select block to show referfriend description","Select block to show referfriend description"
"Refer friend homepage content","Refer friend homepage content"
"AddThis.com ID","AddThis.com ID"
"Use Cloudsponge to retrieve email contacts","Use Cloudsponge to retrieve email contacts"
"Cloudsponge Key","Cloudsponge Key"
"Sending Email Content","Sending Email Content"
"Default Email Subject","Default Email Subject"
"Default Email Body","Default Email Body"
"Default Message Shared via Social","Default Message Shared via Social"
"ID","ID"
"Email","Email"
"Phone","Phone"
"ZIP/Post Code","ZIP/Post Code"
"Country","Country"
"State/Province","State/Province"
"Signed-up Point","Signed-up Point"
"Website","Website"
"Created At","Created At"
"Add New Account","Add New Account"
"Delete Accounts","Delete Accounts"
"Are you sure you want to delete selected Accounts?","Are you sure you want to delete selected Accounts?"
"Total Commission","Total Commission"
"Add New Banner","Add New Banner"
"Delete Banners","Delete Banners"
"Are you sure you want to delete selected banners?","Are you sure you want to delete selected banners?"
"URL","URL"
"Campaign","Campaign"
"Created","Created"
"Add New Campaign","Add New Campaign"
"Delete Campaigns","Delete Campaigns"
"Are you sure you wan't to delete selected Campaigns?","Are you sure you wan't to delete selected Campaigns?"
"Add New Group","Add New Group"
"Delete Groups","Delete Groups"
"Are you sure you want to delete selected groups?","Are you sure you want to delete selected groups?"
"Add New Transaction","Add New Transaction"
"Complete Transactions","Complete Transactions"
"Are you sure you want to complete selected transactions?","Are you sure you want to complete selected transactions?"
"Cancel Transactions","Cancel Transactions"
"Are you sure you want to cancel selected Transactions?","Are you sure you want to cancel selected Transactions?"
"Action Type","Action Type"
"Amount Used","Amount Used"
"Amount Hold","Amount Hold"
"Current Balance","Current Balance"
"Store","Store"
"Holding Date","Holding Date"
"Add New Withdraw","Add New Withdraw"
"Approve","Approve"
"Approve Withdraws","Approve Withdraws"
"Are you sure you want to approve selected Withdraws?","Are you sure you want to approve selected Withdraws?"
"Cancel Withdraws","Cancel Withdraws"
"Are you sure you want to cancel selected Withdraws?","Are you sure you want to cancel selected Withdraws?"
"Transaction ID","Transaction ID"
"Transferred","Transferred"
"Account Dashboard","Account Dashboard"
"Home","Home"
"Signup","Signup"
"Refer Friend","Refer Friend"
"Setting","Setting"
